 , C000, C002, C004, C005, C006, C008, C009, C011, C013, C014, C018, C019, C022, C023, C024, C025, C029, C030, C031, C033, C034, C035, C036, C037, C040, C041, C043, C045, C046, C049, C053, C054, C055, C056, C057, C058, C061, C066, C068, C069, C070, C071, C073, C074, C076, C079, C080, C082, C088, C090, C091, C092, C098, C111, C132, C141
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
383.8, 370.687, 959.1954, 488.6261, 485.448, 0.003706397, 220.6126, 567.0129, 589.3297, 238.5791, 446.782, 97.78408, 594.2001, 0.1672317, 56.30399, 677.1517, 21.19347, 943.3123, 1366.709, 283.1659, 551.9864, 110.5336, 373.6205, 2831.425, 464.9951, 1018.804, 248.7842, 0.0008333105, 0.7772608, 574.2898, 744.9133, 21.01034, 2116.279, 1.195297, 4.426635, 0.4882833, 27.78018, 5.677686, 840.9548, 1299.84, 546.2228, 302.4626, 352.7635, 635.3503, 1547.836, 598.8945, 61.21769, 842.2638, 652.2043, 856.249, 767.3663, 1703.22, 1357.793, 1234.917, 578.7192, 2310.161, 2181.962
383.9, 354.4136, 917.4044, 467.6951, 465.3969, 0.003549539, 210.115, 569.6946, 564.4746, 228.1932, 501.6918, 93.02236, 567.9749, 0.1599988, 53.79457, 642.8727, 20.27571, 952.0024, 1309.828, 270.015, 525.2043, 105.6773, 358.3605, 2705.619, 444.9842, 976.023, 235.9996, 0.0007975475, 0.7447093, 547.7838, 777.5225, 20.14349, 2027.01, 1.146246, 4.23056, 0.4682672, 26.60727, 5.415554, 805.6751, 1268.617, 521.8212, 289.234, 337.2671, 608.3802, 1586.262, 572.0312, 58.53393, 861.0844, 623.2081, 819.6978, 731.5934, 1762.224, 1384.985, 1219.393, 552.045, 2213.741, 2131.767
384, 436.5656, 903.5687, 499.4765, 446.174, 0.003399319, 200.117, 580.0132, 540.6678, 218.2594, 477.3836, 88.49252, 542.907, 0.1530786, 51.397, 664.032, 19.39769, 910.7086, 1255.315, 257.4749, 499.7217, 101.0344, 537.1702, 2702.401, 425.8344, 1043.635, 223.8721, 0.0007633193, 0.713521, 522.5012, 742.7083, 19.31241, 2125.379, 1.099208, 4.043169, 0.4490717, 25.48388, 5.165524, 771.8755, 1334.969, 498.5096, 276.584, 322.4514, 582.5549, 1549.649, 546.3729, 55.96783, 823.3201, 645.3373, 784.7069, 697.4882, 1850.49, 1371.384, 1166.899, 526.6003, 2212.518, 2122.47
384.1, 458.8218, 912.6349, 510.8162, 462.429, 0.003255457, 190.5947, 554.2238, 517.8651, 208.7581, 454.2532, 84.18327, 518.9456, 0.1464578, 49.10629, 630.4171, 18.55769, 940.7565, 1203.071, 245.5172, 475.4755, 96.5955, 515.2302, 2582.329, 407.5088, 999.8112, 212.3677, 0.00073056, 0.6836389, 498.3855, 709.4529, 18.51562, 2035.727, 1.054101, 3.864079, 0.430663, 24.40792, 215.6332, 739.4938, 1267.707, 476.2394, 332.7833, 308.2867, 557.8258, 1484.811, 521.8654, 53.51422, 787.2121, 616.6463, 843.2269, 730.0999, 1903.801, 1315.223, 1116.665, 567.6594, 2120.173, 2034.006
384.2, 485.0128, 872.8726, 508.2267, 443.3287, 0.003117683, 181.5256, 529.5809, 511.1367, 199.6703, 497.4945, 80.08387, 746.1556, 0.1401234, 75.39342, 598.5039, 17.75406, 899.9506, 1266.657, 234.1149, 498.8813, 92.3516, 494.1864, 2610.934, 389.9718, 957.8278, 201.4545, 0.0006992067, 0.6550082, 699.0015, 756.0135, 17.7517, 2135.491, 1.010844, 3.692921, 0.4130089, 23.37739, 233.2968, 708.4706, 1203.834, 553.7834, 318.2286, 294.7441, 534.1465, 1455.056, 526.6088, 51.16818, 838.1796, 589.2309, 825.5421, 696.0643, 1966.83, 1413.193, 1068.594, 589.9431, 2232.635, 2127.417
384.3, 463.7204, 834.8427, 515.5096, 460.6844, 0.00298574, 172.888, 506.0338, 549.4359, 190.9782, 473.3897, 76.18409, 783.7052, 0.1340629, 72.03321, 612.0626, 16.98524, 934.7493, 1295.042, 288.5262, 474.6759, 88.29415, 474.0021, 2494.926, 373.1895, 1028.027, 191.1022, 0.0006691989, 0.6275766, 666.7395, 722.1624, 17.0193, 2045.412, 0.9693624, 3.529345, 0.3960786, 22.39037, 222.5258, 678.7488, 1184.643, 529.044, 304.3105, 281.7964, 511.4724, 1493.413, 526.1488, 48.92499, 801.4199, 582.0889, 824.6602, 663.6154, 1908.333, 1355.321, 1109.849, 578.5037, 2378.311, 2107.571
384.4, 443.3628, 798.4696, 653.2053, 445.3743, 0.002859381, 237.3359, 622.3522, 536.4877, 182.6645, 479.8225, 72.47421, 749.116, 0.1282645, 68.82276, 608.8096, 16.24971, 944.8406, 1284.666, 364.9702, 451.6449, 84.41497, 454.6422, 2435.549, 410.9732, 984.8585, 181.2818, 0.000640479, 0.6012938, 665.7021, 689.827, 16.31711, 2014.301, 0.9295831, 3.373015, 0.3798422, 21.44502, 212.252, 650.274, 1300.324, 505.4098, 291.0011, 269.4175, 489.7607, 1521.966, 644.826, 46.78014, 766.2723, 626.2546, 863.5183, 680.3292, 1940.923, 1369.121, 1189.987, 656.704, 2395.75, 2019.728
384.5, 423.8989, 815.1067, 625.2242, 433.9803, 0.002738369, 226.0426, 594.6801, 595.5086, 174.7127, 461.8951, 68.94499, 716.0535, 0.1227169, 91.52737, 709.0276, 15.54603, 978.1118, 1352.847, 348.0202, 507.8012, 80.70622, 436.073, 2567.08, 445.3289, 1017.69, 266.9998, 0.0006129917, 0.5761117, 662.0153, 753.8938, 15.6439, 2104.831, 0.8914363, 3.223609, 0.3642715, 20.53959, 235.6214, 622.9937, 1234.807, 482.8313, 278.2738, 257.5824, 538.3164, 1551.895, 615.9024, 44.72932, 732.6661, 680.6329, 826.6568, 678.6943, 1858.048, 1313.054, 1138.759, 725.4094, 2344.372, 2016.836
384.6, 405.2895, 779.5935, 598.4418, 416.0551, 0.002622479, 215.2867, 568.2385, 578.8984, 167.1071, 459.5774, 65.58763, 684.4501, 0.1174093, 87.44809, 673.1349, 14.87282, 993.4937, 1296.543, 331.8574, 555.7249, 196.5043, 418.2622, 2629.003, 457.4984, 974.9555, 253.2792, 0.000586684, 0.5519843, 688.826, 739.0328, 14.99846, 2045.316, 0.8548549, 3.080821, 0.349339, 19.67239, 420.0851, 875.9108, 1172.592, 461.2616, 266.1031, 246.2672, 669.3939, 1486.963, 588.2762, 42.7684, 782.2534, 650.3727, 877.033, 685.1563, 1886.077, 1421.14, 1089.736, 691.9741, 2268.864, 2131.798
384.7, 387.497, 745.6276, 572.8067, 456.3649, 0.002511493, 205.0426, 542.9725, 630.6636, 159.8325, 437.3098, 62.39376, 654.2416, 0.1123312, 83.55061, 697.3569, 14.22877, 974.0792, 1446.497, 316.4452, 528.7614, 278.2042, 401.1789, 2657.009, 488.3042, 1052.078, 329.8287, 0.0005615054, 0.5288672, 723.5515, 705.942, 14.37966, 1984.158, 0.8197746, 2.944357, 0.3350186, 18.84179, 400.6902, 839.1647, 1113.512, 440.6554, 254.4648, 235.449, 640.9786, 1504.402, 644.3368, 40.89345, 747.9464, 621.4579, 839.5946, 653.2159, 1814.455, 1413.198, 1085.066, 660.0798, 2362.621, 2250.296
