 , C000, C001, C002, C004, C005, C007, C009, C010, C011, C012, C015, C016, C017, C018, C019, C021, C022, C024, C025, C030, C040, C042, C045, C047, C049, C050, C053, C060, C062, C065, C067, C068, C074, C092, C094, C100, C110
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
350.4, 4454.285, 2025.284, 684.4474, 710.4207, 270.6635, 1949.43, 755.7021, 628.1141, 1.902763, 229.1401, 8.552248, 490.4056, 890.1368, 870.3878, 2681.153, 1596.16, 1936.239, 0.05490089, 975.4493, 124.7408, 657.1655, 661.3604, 1804.661, 953.0134, 2447.2, 1558.438, 1576.682, 705.872, 266.6978, 2398.338, 1106.475, 359.4844, 2683.043, 2142.333, 1140.038, 1916.992, 1247.611
350.5, 4541.721, 1993.048, 648.5266, 676.301, 291.8697, 2073.343, 717.7927, 689.9005, 1.824508, 219.1921, 8.173592, 464.924, 852.7998, 834.1819, 2566.354, 1846.765, 1982.104, 0.05265165, 935.9422, 118.657, 630.087, 634.3181, 1753.113, 911.9586, 2788.238, 1490.726, 1671.974, 744.9658, 253.4638, 2292.697, 1048.992, 341.7061, 2743.663, 2225.003, 1168.091, 2026.403, 1192.337
350.6, 4701.5, 1927.327, 614.4908, 911.791, 275.4716, 2042.147, 681.7849, 658.5179, 1.749472, 209.676, 7.8117, 593.9644, 1009.713, 907.5126, 2637.131, 1770.96, 2031.675, 0.05049457, 898.0352, 112.8699, 604.1242, 829.901, 1719.061, 872.6724, 2822.58, 1768.047, 1593.293, 974.9866, 298.0352, 2406.375, 994.4954, 324.807, 2932.674, 2220.915, 1225.141, 2183.365, 1197.539
350.7, 4945.643, 1842.277, 582.2414, 935.3857, 259.9949, 1961.866, 647.5834, 810.9093, 1.677522, 270.686, 7.465832, 588.5427, 1152.346, 890.8877, 2524.217, 1698.267, 1942.478, 0.04842585, 990.1815, 107.3651, 579.2313, 847.0616, 1897.661, 835.0787, 2900.662, 1758.848, 1800.026, 1227.007, 283.2462, 2384.63, 942.8299, 308.7437, 2790.418, 2234.084, 1169.617, 2127.25, 1213.78
350.8, 4889.209, 1760.981, 551.6844, 994.5695, 356.2694, 2029.388, 615.0977, 860.5479, 1.608531, 258.9344, 7.135277, 612.3527, 1187.182, 927.8026, 2440.794, 1742.479, 1937.539, 0.04644189, 950.0777, 102.1287, 555.364, 812.4262, 1865.22, 799.1044, 2814.159, 1776.922, 1886.388, 1259.003, 324.3789, 2377.369, 893.8485, 293.4747, 2944.026, 2488.495, 1147.85, 2104.336, 1160.005
350.9, 4984.031, 1683.272, 701.3785, 996.5049, 336.2532, 2000.716, 584.2415, 821.4028, 1.542377, 247.6929, 6.819357, 580.5347, 1187.7, 912.4591, 2351.081, 1826.264, 1867.379, 0.04453921, 911.5982, 97.14776, 532.4802, 796.9501, 1794.122, 923.8063, 2820.562, 1738.613, 1797.617, 1299.478, 308.2827, 2339.044, 847.4117, 278.9609, 2878.401, 2383.364, 1299.006, 2114.33, 1175.547
351, 4912.216, 1695.189, 664.5691, 1042.762, 317.3616, 2057.713, 554.9333, 784.0384, 1.478944, 236.9394, 6.517426, 550.3699, 1300.049, 901.3939, 2383.127, 1751.301, 1970.015, 0.04271448, 980.7501, 92.40971, 510.5393, 850.2535, 1857.004, 884.0097, 2830.109, 1722.397, 1799.313, 1266.287, 292.9852, 2512.613, 803.3875, 265.1649, 3024.651, 2282.673, 1240.135, 2045.348, 1223.04
351.1, 4881.476, 1694.62, 629.6915, 992.6805, 299.5314, 2109.611, 527.0953, 748.3737, 1.41812, 226.6528, 6.228862, 633.5059, 1245.518, 999.0535, 2344.572, 1679.415, 1906.053, 0.0409645, 941.0284, 87.90275, 489.5025, 895.4965, 1832.403, 845.9276, 2760.364, 1761.915, 1714.64, 1203.495, 329.6487, 2502.392, 761.6503, 362.4533, 2877.933, 2260.409, 1183.932, 2075.885, 1168.855
351.2, 4901.728, 1644.253, 621.7308, 1054.768, 282.703, 2005.486, 584.2577, 714.3312, 1.359797, 216.8128, 5.953074, 600.5887, 1193.274, 957.4955, 2339.536, 1610.479, 1950.972, 0.03928623, 902.9154, 83.61559, 469.3326, 858.8806, 1850.096, 856.1346, 2761.151, 1685.362, 1863.857, 1261.16, 343.6384, 2469.702, 851.7029, 344.5281, 2768.01, 2643.089, 1164.238, 2062.905, 1229.342
351.3, 4758.078, 1724.879, 716.8991, 1004.11, 266.82, 2126.939, 646.8925, 681.8373, 1.303873, 207.4, 5.689498, 569.382, 1327.109, 917.6663, 2264.457, 1544.374, 1934.667, 0.03767671, 866.3461, 79.53753, 449.9937, 823.7619, 1791.426, 819.2532, 2827.018, 1806.202, 1897.402, 1198.622, 326.5865, 2360.918, 807.4557, 327.4895, 2911.932, 2775.8, 1111.474, 2160.405, 1174.878
351.4, 4641.854, 1661.071, 679.2751, 955.8857, 251.8293, 2021.959, 730.9894, 650.8215, 1.250249, 198.3958, 5.437592, 539.7967, 1271.443, 879.4939, 2229.093, 1480.981, 1918.035, 0.03613313, 831.2578, 75.65836, 431.4517, 790.0792, 1843.616, 882.6965, 2706.87, 1727.725, 1808.114, 1139.185, 310.3808, 2256.925, 870.275, 440.845, 2770.682, 2658.53, 1149.844, 2061.521, 1122.826
351.5, 4619.058, 1587.771, 643.6257, 951.8751, 237.6809, 1958.344, 694.3196, 621.2166, 1.19883, 189.7826, 5.196838, 529.4595, 1218.112, 842.9093, 2349.396, 1420.191, 1850.843, 0.03465278, 797.5907, 71.96838, 413.6737, 757.7737, 1806.12, 844.6709, 2833.988, 1652.658, 1723.027, 1082.696, 294.9792, 2237.709, 825.063, 419.043, 2636.283, 2774.284, 1154.578, 2003.701, 1073.081
351.6, 4557.327, 1528.689, 609.8472, 1117.748, 224.3274, 1861.686, 659.4893, 592.9584, 1.149526, 181.5433, 4.966745, 501.9487, 1209.218, 807.8466, 2248.802, 1571.421, 1946.863, 0.03323309, 765.2872, 68.45837, 396.6282, 779.3825, 1747.628, 846.4796, 2737.991, 1701.135, 1831.703, 1029.008, 280.3418, 2213.454, 782.1998, 398.3192, 2508.404, 2657.079, 1206.112, 1949.15, 1025.54
351.7, 4552.895, 1461.231, 577.8414, 1205.426, 211.7241, 1937.097, 822.5883, 565.9856, 1.10225, 173.6617, 4.746839, 616.8447, 1211.733, 774.2423, 2152.515, 1574.366, 1896.775, 0.03187156, 848.4355, 65.11955, 380.2852, 747.5144, 1870.921, 841.6176, 2854.27, 1660.254, 1745.506, 977.9821, 266.4308, 2161.004, 741.5634, 378.6203, 2643.208, 2743.913, 1151.451, 1943.243, 980.1044
351.8, 4522.02, 1499.501, 547.5154, 1147.532, 250.6595, 1884.704, 781.3235, 540.2397, 1.056918, 166.1222, 4.536669, 616.3076, 1160.907, 827.7127, 2351.257, 1509.742, 1845.449, 0.03056581, 814.0727, 61.94357, 364.6155, 752.4805, 1816.681, 924.5638, 2732.964, 1606.952, 1663.365, 929.4865, 339.0689, 2065.817, 703.038, 359.8956, 2514.993, 2810.329, 1099.267, 1890.171, 1043.854
351.9, 4378.999, 1558.051, 702.1105, 1226.689, 236.5768, 1791.68, 742.1288, 515.665, 1.01345, 179.7903, 4.335804, 584.2841, 1149.009, 793.2821, 2320.01, 1447.771, 1764.428, 0.02931356, 781.1016, 58.92249, 349.5915, 721.7124, 1805.454, 884.7347, 2744.155, 1681.507, 1585.09, 883.3956, 322.2437, 2060.28, 803.934, 342.097, 2428.563, 3073.224, 1049.448, 2064.422, 997.6075
352, 4347.495, 1505.664, 665.2626, 1167.774, 241.6371, 1809.722, 704.9002, 492.2082, 0.9717703, 171.9848, 4.143834, 727.3824, 1100.813, 760.2837, 2241.74, 1388.344, 1741.69, 0.02811261, 749.4659, 56.04874, 335.1866, 692.2024, 1738.148, 846.6213, 2723.741, 1653.857, 1810.938, 839.5903, 306.2535, 1994.102, 762.1685, 325.1786, 2438.378, 2943.389, 1089.921, 2005.685, 953.4099
352.1, 4251.764, 1544.116, 733.7551, 1159.87, 228.0613, 1792.754, 776.249, 469.8184, 0.9318045, 164.5182, 3.960362, 797.5566, 1152.043, 728.658, 2314.467, 1331.356, 1809.322, 0.02696086, 719.1115, 53.31516, 321.3752, 663.899, 1664.713, 969.2838, 2734.677, 1581.999, 1803.314, 797.9572, 291.0567, 1951.103, 783.5142, 309.0968, 2320.099, 2900.947, 1116.885, 2041.427, 991.5498
