 , C001, C002, C003, C004, C005, C006, C007, C008, C009, C010, C011, C012, C013, C016, C018, C020, C021, C022, C023, C026, C027, C030, C031, C032, C034, C035, C036, C037, C038, C039, C040, C044, C045, C046, C049, C050, C060, C062, C063, C064, C072, C081, C082, C083, C086, C093
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
220.6, 6200.189, 657.6528, 395.8533, 2.845694, 174.6208, 277.9955, 285.1903, 789.9474, 560.728, 571.1229, 276.1339, 343.0283, 382.3705, 113.9739, 2897.772, 208.6345, 1121.259, 54.334, 414.6296, 980.5862, 993.7195, 2535.16, 4038.374, 1067.055, 6559.426, 2081.024, 2557.118, 3122.979, 849.1836, 1557.321, 5539.393, 3360.899, 829.7192, 194.6867, 865.1341, 1206.803, 1115.193, 91.82773, 2024.591, 2184.382, 379.777, 1342.476, 3130.281, 1999.375, 3043.753, 1504.59
220.7, 6218.487, 754.1925, 404.8126, 2.719689, 167.0252, 265.9002, 269.0003, 939.3644, 537.2631, 544.2232, 254.9782, 326.9198, 363.4183, 108.3118, 2793.793, 199.7316, 1213.066, 351.1691, 396.754, 1067.911, 1023.433, 2606.664, 4097.322, 1114.28, 6623.628, 2026.748, 2573.132, 3264.977, 871.7041, 1482.6, 5587.125, 3532.045, 887.5335, 185.9301, 1010.883, 1360.504, 1134.001, 88.02602, 2030.566, 2090.252, 362.7324, 1364.474, 3097.351, 1953.251, 3056.773, 1529.779
220.8, 6138.692, 713.2672, 385.1592, 2.599264, 159.7599, 254.3313, 253.7293, 932.9705, 514.7802, 518.5905, 235.4433, 311.5677, 345.4055, 102.931, 2901.396, 191.2086, 1373.2, 333.5457, 379.649, 1122.374, 1178.921, 2901.106, 4270.688, 1066.93, 6627.293, 2051.179, 2460.882, 3131.948, 976.6736, 1411.464, 5533.369, 3584.953, 878.4877, 230.9104, 1069.491, 1510.754, 1177.243, 84.38171, 2138.936, 2257.546, 346.4527, 1413.829, 3145.104, 1959.613, 3129.257, 1590.843
220.9, 5997.33, 674.5626, 366.46, 2.484172, 152.8107, 243.2657, 239.3253, 891.8099, 493.2381, 507.1933, 217.405, 296.9366, 375.4838, 97.81752, 2979.79, 183.0494, 1356.671, 478.9791, 363.2815, 1154.957, 1126.717, 3006.343, 4252.2, 1021.591, 6654.567, 1964.344, 2353.528, 3177.545, 958.0623, 1343.741, 5632.213, 3697.428, 941.025, 220.5245, 1285.32, 1650.92, 1119.719, 80.88827, 2108.609, 2318.809, 330.9037, 1348.217, 3180.078, 1958.22, 3225.777, 1517.911
221, 5888.608, 637.9583, 348.6686, 2.374175, 146.1638, 232.6815, 225.739, 913.6093, 509.9501, 486.9008, 200.7487, 282.9926, 356.873, 92.95805, 2979.97, 175.2383, 1477.795, 454.9416, 347.6195, 1100.903, 1169.212, 3151.138, 4231.251, 1061.525, 6676.984, 1953.214, 2576.152, 3267.74, 912.0798, 1279.268, 6019.607, 3837.504, 988.9458, 210.6058, 1218.883, 1723.058, 1065.006, 77.53946, 2287.598, 2249.681, 316.0525, 1417.6, 3100.772, 1872.491, 3219.756, 1448.323
221.1, 5740.924, 748.1289, 352.3962, 2.269049, 139.806, 222.5578, 212.924, 922.1243, 488.6102, 463.9679, 185.3685, 269.7034, 387.935, 88.34, 2872.029, 167.7605, 1491.685, 485.2531, 332.6328, 1178.592, 1146.595, 3381.126, 4417.14, 1016.416, 6794.883, 1920.637, 2536.345, 3134.598, 1057.742, 1217.888, 5928.582, 3990.991, 976.4344, 201.1332, 1229.67, 1876.004, 1012.966, 74.32929, 2184.453, 2439.551, 301.8678, 1424.024, 3115.366, 1790.515, 3251.647, 1381.926
221.2, 5579.06, 707.5326, 335.2876, 2.168578, 133.7247, 212.8746, 403.2229, 881.4422, 528.1515, 561.4708, 171.1666, 257.0382, 368.707, 83.95137, 2784.509, 160.6018, 1556.67, 581.6153, 318.2923, 1123.431, 1095.823, 3338.433, 4417.109, 973.2246, 6883.611, 1839.328, 2642.65, 3128.777, 1006.976, 1159.453, 6440.301, 4095.476, 1204.412, 231.0598, 1182.919, 2151.177, 963.4692, 71.25203, 2165.839, 2334.425, 288.3198, 1443.345, 3019.296, 1712.129, 3343.042, 1318.572
221.3, 5618.006, 696.4819, 319.0096, 2.072555, 127.908, 203.6128, 380.3323, 842.5549, 541.7787, 559.9617, 158.0529, 244.9678, 382.1964, 79.78076, 2818.925, 153.7486, 1550.497, 604.3735, 304.5699, 1294.048, 1100.146, 3492.195, 4414.889, 974.566, 6826.19, 1842.356, 2527.367, 3196.346, 1058.817, 1103.822, 6267.243, 3926.336, 1171.373, 220.6673, 1187.338, 2162.865, 983.4016, 68.30216, 2136.385, 2390.721, 275.3798, 1654.496, 3043.967, 1775.62, 3433.074, 1258.122
221.4, 5498.852, 658.6882, 354.4092, 1.980785, 122.3442, 194.7538, 358.7411, 952.6802, 563.2518, 593.034, 145.9438, 233.4642, 475.2983, 75.81734, 2809.642, 147.1878, 1505.187, 632.9058, 291.4392, 1308.318, 1107.193, 3514.519, 4481.346, 961.5277, 6907.933, 1826.966, 2614.176, 3258.478, 1007.999, 1050.86, 6121.86, 3970.285, 1116.076, 210.7421, 1144.442, 2055.131, 1003.465, 65.47443, 2220.934, 2481.442, 263.0205, 1577.716, 3049.073, 1842.751, 3464.385, 1409.352
221.5, 5433.039, 680.1518, 352.296, 1.893077, 117.0225, 186.2804, 338.3757, 910.65, 539.6813, 565.1023, 134.7624, 222.5008, 451.7402, 72.05083, 2680.041, 140.907, 1464.163, 801.8391, 278.8746, 1458.724, 1058.165, 3704.036, 4621.005, 920.6685, 7064.541, 1936.904, 2576.686, 3506.57, 1168.593, 1000.439, 6537.723, 3972.838, 1143.504, 201.2634, 1205.76, 2023.357, 954.4321, 62.76376, 2195.126, 2468.425, 251.216, 1599.171, 2919.208, 1811.703, 3554.025, 1344.741
