 , C000, C001, C002, C003, C004, C006, C008, C009, C010, C011, C012, C013, C014, C022, C024, C025, C029, C030, C031, C033, C034, C035, C038, C039, C040, C043, C050, C051, C053, C054, C055, C057, C059, C062, C068, C070, C074, C076, C080, C090, C095, C096, C100, C117
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
276.4, 1.042873, 718.3989, 606.4656, 494.7713, 71.64758, 1121.981, 1401.573, 413.5661, 185.3009, 938.3203, 13.18377, 422.6946, 436.1059, 3286.054, 1137.845, 0.7969428, 244.7947, 169.9754, 2050.856, 1608.203, 928.2361, 1541.008, 2023.87, 1507.963, 459.9767, 0.8213384, 203.7452, 292.0982, 427.6753, 1197.284, 1022.934, 1398.074, 1122.456, 374.7642, 0.02457541, 953.152, 2438.176, 0.2764231, 1666.104, 967.1238, 283.3627, 42.70882, 0.0009031846, 1778.08
276.5, 0.9933224, 684.7451, 695.147, 768.5595, 68.25864, 1067.05, 1387.959, 393.7675, 176.5209, 971.0721, 12.51506, 403.4385, 415.621, 3372.99, 1087.084, 0.761446, 233.3263, 160.1746, 2070.856, 1572.449, 880.7482, 1611.615, 2126.332, 1499.094, 469.1382, 0.7865893, 193.1824, 279.4479, 409.3956, 1244.511, 1070.567, 1402.97, 1075.434, 359.0686, 0.023531, 907.8244, 2445.742, 0.263813, 1654.822, 998.825, 271.0138, 40.62376, 0.0008584896, 1695.136
276.6, 0.9461257, 690.4987, 659.509, 731.7771, 65.03001, 1147.207, 1336.751, 374.9167, 168.157, 923.5557, 11.88027, 386.1245, 472.5724, 3343.335, 1071.821, 0.7275303, 222.3952, 150.939, 2060.475, 1606.619, 835.6898, 1527.483, 2168.852, 1434.991, 442.5467, 0.7533104, 183.1672, 267.3455, 391.8972, 1184.881, 1025.936, 1518.21, 1160.278, 344.0304, 0.02253098, 864.6523, 2532.848, 0.2517781, 1585.52, 989.5738, 259.2031, 38.6405, 0.0008160063, 1712.277
276.7, 0.9011716, 761.9879, 625.6981, 696.7551, 61.95409, 1142.208, 1296.391, 436.2295, 160.1894, 878.3643, 11.27768, 368.0942, 613.6577, 3358.243, 1055.199, 0.6951252, 211.9762, 142.2358, 2004.302, 1628.858, 792.9365, 1447.744, 2078.371, 1408.172, 417.4625, 0.7214395, 173.6713, 255.7673, 375.1467, 1233.372, 983.1661, 1450.582, 1111.672, 329.622, 0.02157346, 823.5334, 2491.675, 0.2402923, 1551.645, 976.0746, 247.907, 36.75406, 0.0007756254, 1666.702
276.8, 0.8583534, 726.2921, 613.7704, 663.4091, 59.02367, 1135.14, 1324.366, 415.3459, 152.5993, 946.5501, 10.70565, 350.9059, 603.1257, 3430.206, 1008.125, 0.6641635, 202.0453, 134.0345, 1962.926, 1586.494, 942.8433, 1461.086, 2012.481, 1477.266, 393.8001, 0.6909169, 164.6676, 244.6904, 359.1121, 1263.313, 942.1788, 1459.364, 1184.852, 315.8171, 0.02065663, 784.3698, 2400.142, 0.2293304, 1523.86, 957.1505, 237.1033, 34.95972, 0.0007372427, 1688.162
276.9, 0.8175697, 763.9933, 606.2218, 631.6591, 56.23185, 1079.564, 1437.768, 395.462, 202.5147, 900.2336, 10.16264, 334.5201, 629.0633, 3420.49, 1074.715, 0.6345809, 192.5796, 126.3061, 2057.323, 1518.43, 894.6081, 1446.712, 1998.719, 1414.096, 453.0131, 0.6616857, 156.1308, 234.0933, 343.7629, 1258.385, 950.3134, 1472.975, 1135.216, 302.5903, 0.01977877, 747.0687, 2529.082, 0.2188686, 1534.041, 943.8513, 226.7703, 33.25298, 0.0007007595, 1693.874
277, 0.7787238, 728.2037, 575.1427, 601.4286, 53.57208, 1026.71, 1371.038, 376.5301, 277.7123, 899.0801, 356.6346, 416.1362, 599.5148, 3380.194, 1026.771, 0.6063159, 232.0505, 119.0233, 2042.116, 1643.762, 848.8406, 1371.189, 2034.897, 1353.628, 639.2898, 0.6336912, 148.0365, 223.9551, 329.0698, 1272.232, 910.6957, 1407.362, 1141.345, 289.9175, 0.01893821, 770.4025, 2420.976, 0.208884, 1560.243, 1150.84, 216.8877, 31.62956, 0.0006660817, 1614.858
277.1, 0.7417236, 811.2759, 607.1403, 572.6449, 51.03812, 976.4431, 1475.326, 358.5045, 264.5537, 855.0864, 364.551, 409.7394, 571.3543, 3383.293, 980.9655, 0.5793099, 221.1791, 112.1604, 2070.125, 1582.491, 805.4145, 1499.208, 2201.394, 1425.708, 603.0539, 0.6068811, 222.2733, 214.256, 315.0047, 1227.199, 944.2239, 1376.101, 1103.958, 277.7754, 0.01813337, 887.9224, 2342.609, 0.199355, 1642.767, 1491.537, 207.4358, 30.0854, 0.00063312, 1592.355
277.2, 0.7064814, 773.2712, 576.0141, 545.2388, 48.62402, 928.6373, 1406.853, 341.3418, 331.8839, 866.1546, 470.1204, 390.6064, 544.5165, 3566.832, 937.2036, 0.5535067, 210.817, 105.6932, 2059.615, 1566.777, 901.9302, 1420.944, 2109.555, 1391.628, 568.8719, 0.5812052, 210.75, 204.977, 301.5407, 1404.238, 932.9684, 1436.379, 1081.648, 266.1418, 0.01736274, 845.6968, 2378.576, 0.1902606, 1767.734, 1416.016, 198.3958, 28.61662, 0.0006017893, 1696.023
277.3, 0.6729137, 737.0469, 546.4836, 519.1442, 46.32411, 883.1721, 1451.273, 325.0008, 485.6559, 1025.284, 629.9251, 372.3669, 518.9395, 3981.537, 935.8715, 0.5288529, 251.0332, 99.59892, 2100.721, 1546.728, 900.0396, 1346.766, 2079.936, 1354.707, 536.6274, 0.5566157, 199.8241, 196.0998, 288.6522, 1336.955, 922.2177, 1512.33, 1132.917, 254.9955, 0.01662486, 805.4793, 2467.128, 0.1815811, 1949.991, 1344.319, 189.7497, 579.655, 0.0005720092, 1616.907
