 , C000, C001, C002, C006, C008, C009, C010, C011, C013, C016, C017, C018, C020, C026, C030, C033, C034, C038, C039, C040, C045, C053, C055, C056, C063, C064, C083, C085, C086, C089, C091, C094, C095, C098, C107, C121, C125
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
42.6, 219.1688, 21.20482, 1157.922, 537.1337, 16.96644, 1471.753, 1809.942, 332.1485, 522.8763, 259.0837, 597.8868, 723.9019, 1487.214, 419.744, 299.0992, 263.7008, 890.6853, 381.1151, 615.1613, 159.5565, 46.60307, 1012.419, 71.21159, 1136.808, 1608.216, 1599.204, 1440.543, 1915.375, 1765.072, 547.952, 1120.726, 348.0162, 703.5209, 1270.001, 1527.877, 2205.717, 2101.067
42.7, 209.6448, 20.31002, 1135.067, 515.1441, 16.25043, 1401.055, 1728.366, 317.5336, 608.9081, 248.3905, 667.748, 692.6995, 1422.806, 402.6088, 285.6552, 251.7709, 904.1249, 364.2714, 587.5642, 152.5556, 44.72284, 1061.156, 68.238, 1086.67, 1536.821, 1676.181, 1379.141, 1832.099, 1788.665, 520.5817, 1071.781, 349.1205, 671.6638, 1215.165, 1499.514, 2200.767, 2078.862
42.8, 200.5347, 19.45298, 1155.204, 494.0548, 15.56465, 1333.754, 1650.466, 341.958, 765.5603, 238.1386, 674.2119, 662.8421, 1361.188, 386.1731, 272.8156, 240.3808, 863.4391, 348.1721, 561.2051, 145.8619, 42.91847, 1014.94, 65.38858, 1038.744, 1568.475, 1599.255, 1430.482, 1752.442, 1729.183, 494.5786, 1102.691, 334.3759, 641.2492, 1237.369, 1496.864, 2109.973, 2045.588
42.9, 191.8205, 18.6321, 1129.832, 473.8288, 14.9078, 1408.081, 1623.767, 326.9114, 883.0354, 228.3098, 646.1442, 645.4972, 1467.498, 370.4083, 260.5531, 229.5059, 942.1833, 340.6518, 635.7497, 139.4619, 41.1869, 970.7361, 62.65814, 992.9307, 1525.428, 1556.466, 1369.51, 1764.215, 1745.571, 469.8744, 1054.535, 392.0429, 612.2119, 1183.942, 1600.53, 2162.864, 2095.069
43, 183.4849, 17.84587, 1082.333, 454.4309, 14.27867, 1417.771, 1666.272, 312.5269, 844.3342, 218.8867, 649.0907, 617.6743, 1525.766, 355.2871, 308.9855, 219.1231, 899.7849, 383.4062, 607.2289, 133.3426, 39.5252, 928.4578, 60.04172, 949.1382, 1626.957, 1519.345, 1311.136, 1687.51, 1671.72, 446.4041, 1008.481, 496.8131, 655.7916, 1132.822, 1531.267, 2215.766, 1999.235
43.1, 175.5116, 17.09281, 1121.123, 522.2278, 13.6761, 1377.715, 1591.171, 298.7754, 841.9476, 209.8526, 666.4028, 591.0507, 1459.689, 340.7832, 295.0972, 209.2099, 859.2943, 366.4612, 579.9877, 127.4919, 37.93054, 888.0209, 57.53455, 907.2772, 1640.768, 1554.955, 1255.251, 1662.653, 1733.879, 424.1061, 964.4386, 475.831, 626.0958, 1290.946, 1465.001, 2336.563, 1907.785
43.2, 167.8847, 16.37153, 1073.99, 522.3826, 13.09895, 1420.238, 1519.454, 285.6289, 805.0471, 201.1913, 638.6602, 565.5746, 1496.188, 326.8713, 288.3211, 458.021, 820.6259, 350.2651, 682.0394, 121.8979, 36.40021, 986.203, 55.13207, 867.2625, 1567.928, 1483.592, 1313.282, 1707.012, 1750.093, 402.922, 922.3196, 455.735, 597.7447, 1235.206, 1435.254, 2535.693, 2073.888
43.3, 160.5892, 15.68069, 1110.728, 563.6927, 12.54616, 1352.015, 1550.428, 273.0609, 769.7639, 192.8874, 612.0726, 610.2625, 1431.392, 313.5274, 275.3616, 457.3936, 975.097, 387.9678, 705.9603, 116.5494, 34.93163, 1072.86, 52.82992, 986.2238, 1498.322, 1546.266, 1257.305, 1766.325, 1676.052, 382.796, 967.9401, 516.6516, 570.6774, 1181.873, 1450.849, 2628.217, 2189.538
43.4, 153.6108, 15.01899, 1092.097, 565.4896, 12.0167, 1366.852, 1634.941, 261.046, 736.0271, 184.9263, 586.5918, 583.9584, 1369.402, 300.7283, 262.9846, 575.2296, 931.2174, 370.8212, 755.0159, 111.4355, 33.52229, 1026.134, 50.62389, 942.7272, 1476.849, 1550.426, 1203.714, 1689.528, 1705.433, 533.6359, 1093.169, 494.8316, 544.8358, 1130.842, 1425.678, 2662.298, 2206.887
43.5, 146.9357, 17.34662, 1146.583, 542.3392, 11.50958, 1301.193, 1589.748, 249.5596, 703.7689, 177.2938, 562.1718, 678.9277, 1412.959, 371.4004, 278.6566, 790.5438, 935.5919, 354.4325, 721.1447, 106.546, 32.16982, 1057.439, 48.50999, 999.9431, 1586.055, 1540.289, 1372.58, 1616.071, 1650.767, 506.9807, 1045.428, 473.9332, 520.1643, 1111.773, 1363.982, 2700.534, 2411.807
