 , C000, C005, C006, C007, C008, C010, C015, C016, C018, C019, C020, C021, C027, C028, C030, C031, C032, C033, C036, C044, C048, C049, C053, C057, C059, C063, C064, C066, C069, C070, C075, C076, C077, C078, C083, C102, C103, C105
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
78.2, 2150.379, 126.5027, 1292.97, 540.1906, 440.7344, 109.3784, 1114.335, 55.66922, 1231.099, 1964.916, 381.0999, 273.9164, 454.4471, 281.114, 1064.359, 491.0612, 1718.424, 1411.941, 49.78783, 1177.086, 647.8513, 2454.241, 435.3893, 1294.798, 736.6078, 564.6379, 1794.897, 956.9487, 543.0744, 908.483, 1348.314, 1824.374, 352.8781, 2535.016, 1333.511, 690.3397, 655.9073, 1170.656
78.3, 2269.579, 227.5115, 1351.228, 743.2048, 420.6665, 104.8618, 1143.348, 53.10559, 1302.907, 1880.609, 512.1982, 377.1613, 434.204, 340.067, 1011.689, 478.4319, 1647.691, 1354.562, 47.00831, 1425.142, 615.126, 2409.581, 413.4547, 1237.784, 765.0566, 629.0793, 1906.071, 1146.043, 519.1339, 1025.361, 1528.739, 1796.688, 335.8984, 2546.018, 1510.892, 803.4211, 623.8468, 1214.349
78.40000000000001, 2224.263, 280.9165, 1401.445, 786.6038, 401.5124, 100.5317, 1096.231, 50.66002, 1336.614, 2014.042, 490.8823, 478.424, 492.2783, 433.8167, 961.625, 457.8806, 1662.002, 1324.206, 44.38397, 1351.106, 584.0537, 2358.41, 392.6251, 1216.685, 790.4022, 600.0629, 1827.766, 1249.951, 496.2487, 1126.447, 1594.827, 1828.14, 319.7357, 2493.851, 1629.87, 975.5237, 593.3534, 1161.244
78.5, 2204.002, 268.974, 1475.78, 874.908, 383.2303, 216.0179, 1083.048, 48.32707, 1456.353, 2038.325, 470.4535, 456.9772, 470.35, 415.0494, 914.0386, 438.212, 1636.149, 1313.928, 41.90613, 1494.77, 623.9225, 2455.942, 372.8449, 1328.923, 864.8957, 596.5175, 2019.922, 1319.419, 474.3723, 1077.651, 1524.118, 1871.938, 304.3508, 2403.654, 1551.325, 953.1025, 752.285, 1110.462
78.59999999999999, 2294.483, 257.5392, 1410.656, 1034.623, 365.7808, 258.6598, 1083.211, 46.10155, 1397.521, 2089.474, 450.8749, 436.4917, 449.3985, 397.0939, 868.8069, 473.0963, 1609.979, 1260.533, 39.56663, 1513.455, 592.4059, 2484.057, 354.0612, 1404.741, 825.8999, 569.0029, 1960.974, 1257.571, 453.4604, 1030.968, 1456.544, 1817.036, 289.7061, 2555.316, 1476.566, 903.6806, 715.5135, 1165.392
78.7, 2201.525, 246.5906, 1488.311, 992.318, 542.3266, 295.1641, 1238.294, 43.97852, 1341.066, 2093.528, 467.1385, 416.9246, 429.3803, 399.758, 994.9731, 452.7742, 1543.71, 1339.407, 37.35773, 1477.612, 562.4813, 2474.284, 336.2239, 1342.886, 788.6624, 572.6436, 1953.928, 1198.622, 433.4703, 986.3078, 1496.481, 1803.843, 290.1252, 2521.859, 1502.376, 927.0255, 680.5395, 1341.307
78.8, 2285.253, 236.1074, 1461.749, 941.429, 621.8953, 282.9757, 1187.264, 149.6607, 1286.891, 2129.424, 481.8197, 398.2346, 410.2538, 469.8645, 966.4034, 433.325, 1558.683, 1284.976, 35.27215, 1565.821, 571.8745, 2371.094, 319.2852, 1324.777, 824.6007, 546.2303, 1873.657, 1142.437, 414.3614, 943.5822, 1430.132, 1804.158, 276.165, 2532.919, 1623.646, 878.9557, 647.275, 1282.65
78.90000000000001, 2185.885, 226.0698, 1397.244, 945.6062, 593.5786, 271.2907, 1138.337, 259.6542, 1360.79, 2049.554, 564.3693, 380.3825, 408.8616, 449.5377, 1005.969, 488.5544, 1494.526, 1258.171, 33.30301, 1530.592, 567.7239, 2451.158, 303.1998, 1322.812, 787.4217, 521.0353, 1995.243, 1200.466, 396.0949, 924.6392, 1366.725, 1818.126, 269.1807, 2429.078, 1561.728, 900.0958, 615.6364, 1226.559
79, 2099.022, 388.4054, 1436.886, 897.1127, 602.0694, 332.6291, 1160.703, 247.6968, 1490.093, 2072.127, 540.8823, 426.689, 390.6491, 517.7303, 982.9546, 576.9231, 1704.498, 1253.406, 31.44379, 1707.826, 718.3019, 2368.494, 287.9248, 1264.565, 825.6599, 497.0024, 2026.258, 1507.961, 378.6337, 920.9977, 1360.383, 1805.823, 256.2283, 2329.494, 1828.941, 853.4224, 810.1255, 1261.511
79.09999999999999, 2263.091, 371.8933, 1644.666, 1098.151, 574.6555, 318.8936, 1251.549, 350.6984, 1513.478, 2323.136, 726.9449, 650.3094, 664.2569, 495.3328, 934.3126, 640.2917, 1911.794, 1202.47, 29.68837, 2250.877, 682.0178, 2443.65, 273.4194, 1348.216, 788.4332, 520.7581, 2245.364, 2129.9, 361.9423, 910.2288, 1656.343, 1949.246, 243.8992, 2466.902, 2011.095, 954.2235, 770.5269, 1245.106
