 , C000, C001, C002, C003, C004, C007, C008, C009, C010, C011, C013, C017, C018, C019, C020, C021, C022, C023, C026, C028, C029, C033, C034, C036, C039, C040, C044, C045, C046, C054, C055, C057, C060, C061, C063, C066, C069, C075, C080, C087, C093, C101
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
271.8, 12.99819, 535.2849, 399.0683, 837.9106, 1430.209, 943.1722, 222.1036, 1178.342, 444.029, 647.0536, 1826.922, 766.8061, 809.9958, 468.0035, 2755.212, 485.9246, 414.5509, 0.005824925, 1651.987, 200.3993, 31.7822, 1792.405, 1777.266, 21.45063, 280.5634, 798.1747, 137.4338, 0.3028668, 1112.607, 98.1708, 0.4422039, 1628.692, 1729.472, 1443.658, 1650.685, 1851.477, 1530.995, 2082.837, 1116.138, 1042.494, 2272.338, 1619.999
271.9, 12.429, 508.5023, 381.7861, 785.5566, 1360.28, 900.9359, 211.7723, 1125.211, 546.5403, 618.0609, 1956.905, 729.8858, 883.5941, 445.3742, 2827.777, 463.9037, 396.6323, 0.005578877, 1620.883, 191.3321, 30.21374, 1719.682, 1828.162, 20.44699, 268.9038, 860.954, 130.4791, 0.2896926, 1065.871, 93.7233, 0.4239236, 1600.938, 1746.47, 1383.413, 1604.229, 2006.036, 1624.406, 2052.112, 1069.75, 999.7278, 2306.064, 1552.273
272, 11.88474, 619.9929, 365.2524, 736.4738, 1415.905, 860.5909, 201.9216, 1128.716, 583.7802, 590.3672, 1871.313, 694.7432, 935.5595, 423.8391, 2709.129, 442.8807, 379.4881, 0.005343223, 1551.546, 182.6751, 28.72268, 1844.91, 1748.456, 19.49031, 257.7288, 823.2844, 123.8763, 0.2770913, 1092.719, 89.47729, 0.406399, 1736.028, 1775.829, 1325.682, 1692.583, 2102.131, 1600.372, 2026.76, 1025.29, 958.7162, 2269.285, 1654.363
272.1, 11.3643, 588.972, 349.4346, 759.9485, 1346.676, 822.0527, 192.529, 1177.354, 554.7185, 657.1295, 1830.375, 720.0065, 893.9971, 403.3452, 2703.548, 422.8105, 465.207, 0.005117523, 1506.126, 174.4098, 27.30521, 1770.057, 1782.407, 18.57839, 247.0182, 816.8143, 117.6076, 0.2650383, 1173.378, 85.42365, 0.3895988, 1759.873, 1700.749, 1282.035, 1681.389, 2058.428, 1548.653, 2112.519, 982.6771, 919.387, 2270.515, 1629.406
272.2, 10.86666, 628.6845, 334.3019, 871.9091, 1333.121, 857.7661, 183.5734, 1124.267, 527.1036, 640.0134, 1819.723, 884.5215, 854.2812, 383.8423, 2808.818, 403.6497, 445.0988, 0.004901357, 1503.408, 166.5185, 25.95769, 1698.241, 1704.696, 17.70914, 236.7527, 877.0107, 111.6562, 0.2535095, 1124.09, 81.55364, 0.3734932, 1684.152, 1661.444, 1228.534, 1606.429, 2194.068, 1540.511, 2194.398, 968.5189, 889.0415, 2281.962, 1561.287
272.3, 10.39081, 633.5345, 319.8245, 817.4308, 1423.841, 854.9308, 175.0343, 1202.135, 500.8634, 630.73, 1838.119, 841.9335, 861.7979, 365.2824, 2856.717, 385.3573, 484.6486, 0.004694321, 1512.154, 158.9842, 24.67667, 1740.858, 1693.071, 16.88057, 226.9138, 838.6385, 106.0059, 0.2424822, 1076.872, 77.85896, 0.3580533, 1635.208, 1798.786, 1273.614, 1666.137, 2251.768, 1599.127, 2099.262, 1037.391, 875.837, 2329.742, 1709.401
272.4, 9.935803, 601.836, 305.9741, 766.3564, 1354.224, 816.6461, 341.5904, 1232.996, 475.9295, 696.3909, 1856.531, 801.3959, 823.5124, 347.62, 2736.854, 367.8939, 463.7, 0.004496031, 1447.468, 151.7908, 23.45887, 1670.226, 1619.255, 16.09075, 327.4001, 801.9452, 100.6416, 0.2319345, 1031.638, 74.33167, 0.3432517, 1654.541, 1830.753, 1220.465, 1754.964, 2180.51, 1614.727, 2186.573, 994.2758, 882.7415, 2287.115, 1637.937
272.5, 9.500716, 597.1456, 292.7234, 756.4438, 1496.036, 970.4558, 325.701, 1177.4, 452.2368, 736.296, 1853.16, 762.8102, 786.9277, 330.8115, 2740.928, 351.2219, 443.6569, 0.004306117, 1555.641, 144.9229, 22.30117, 1641.182, 1585.653, 15.3379, 313.7941, 766.8573, 95.54868, 0.2218457, 988.3032, 70.96417, 0.329062, 1626.952, 1911.169, 1169.534, 1700.121, 2139.674, 1567.833, 2172.304, 952.9522, 956.6226, 2306.82, 1569.461
272.6, 9.084682, 777.1187, 280.0467, 908.1889, 1518.054, 926.9977, 310.5508, 1124.311, 495.4799, 703.3045, 1936.34, 726.0823, 788.0311, 314.8158, 2685.231, 335.3054, 493.9845, 0.004124224, 1608.123, 138.3658, 21.2006, 1739.392, 1561.691, 14.62026, 300.7535, 733.3046, 90.71352, 0.2121957, 1103.243, 67.74924, 0.3154589, 1623.674, 1851.11, 1172.905, 1649.425, 2249.232, 1638.453, 2211.606, 924.8883, 917.3793, 2341.501, 1647.229
272.7, 8.686865, 738.2361, 267.9189, 851.4438, 1443.83, 885.4857, 296.1053, 1260.946, 534.0945, 671.7913, 2186.57, 803.9967, 915.7094, 299.5936, 2746.985, 320.1101, 543.1395, 0.003950015, 1539.332, 132.1053, 20.15435, 1668.821, 1619.014, 13.93621, 407.6934, 701.22, 86.12303, 0.2029655, 1157.195, 64.67995, 0.3024181, 1700.281, 1994.2, 1123.959, 1575.889, 2284.182, 1606.543, 2115.725, 1020.286, 879.7458, 2326.385, 1793.52
