 , C000, C001, C002, C003, C005, C006, C007, C008, C010, C011, C012, C013, C014, C015, C016, C017, C018, C019, C020, C021, C023, C025, C028, C029, C030, C031, C033, C039, C045, C046, C051, C054, C097
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
232.7, 1166.777, 117.4959, 1015.79, 207.2189, 46.33875, 244.5884, 341.5026, 448.2942, 396.8066, 0.5742723, 594.2639, 8.35098, 65.28038, 1182.114, 1273.357, 599.9445, 371.5548, 350.2469, 1111.062, 692.5145, 2134.01, 211.4756, 197.5639, 706.8719, 1378.61, 986.8931, 478.8939, 1053.701, 1054.256, 1242.567, 894.7507, 1770.716, 1052.205
232.8, 1280.626, 111.5639, 968.9864, 198.0864, 43.91189, 232.6573, 325.2746, 444.3324, 419.7758, 0.5410424, 688.1772, 7.860101, 61.885, 1184.248, 1443.573, 620.1856, 349.8533, 344.5093, 1056.623, 657.3663, 2100.297, 200.7435, 277.6804, 672.1884, 1312.758, 937.0403, 456.049, 996.6749, 1002.833, 1255.738, 849.622, 1796.348, 1066.397
232.9, 1217.666, 105.9314, 971.8022, 189.3564, 41.61213, 221.3083, 309.8178, 539.2725, 396.2005, 0.5097355, 656.051, 7.398076, 58.66623, 1210.123, 1388.875, 585.8329, 329.4193, 464.4743, 1060.981, 624.002, 2040.872, 190.5561, 264.202, 639.2066, 1399.667, 889.7059, 434.2939, 942.7352, 1055.162, 1261.541, 978.0889, 1792.297, 1014.302
233, 1278.207, 100.5833, 927.0257, 224.1023, 39.43282, 345.4168, 295.0955, 506.8067, 373.9493, 0.48024, 625.4246, 6.96321, 55.61486, 1157.835, 1321.288, 553.383, 310.1787, 443.0305, 1025.34, 592.331, 2114.212, 249.3302, 251.3779, 607.8431, 1380.248, 844.7626, 413.5765, 919.1027, 1400.363, 1246.935, 928.7568, 1741.304, 1068.603
233.1, 1215.365, 95.50523, 884.3123, 214.2257, 37.36763, 328.5674, 412.5309, 476.2955, 352.9478, 0.4524513, 714.8555, 6.553905, 52.72221, 1123.961, 1336.538, 522.7305, 292.062, 440.5937, 975.1011, 562.2675, 2100.447, 236.677, 239.1761, 578.0186, 1380.89, 802.0895, 393.8475, 897.4277, 1332.058, 1179.433, 881.9129, 1765.648, 1016.399
233.2, 1309.496, 90.68349, 843.567, 240.083, 35.41061, 349.6138, 505.7426, 513.2216, 333.1257, 0.4262706, 718.7552, 6.16866, 49.98001, 1075.395, 1271.498, 493.7759, 275.0034, 420.2524, 1105.667, 609.4391, 2014.247, 224.666, 227.5667, 569.5668, 1314.929, 761.5721, 375.0596, 848.8591, 1267.085, 1115.586, 837.4317, 1745.892, 1051.332
233.3, 1384.306, 86.10519, 914.2523, 229.5021, 33.55608, 332.5596, 481.7101, 482.3242, 314.4168, 0.4016048, 711.6017, 5.806059, 47.38044, 1329.663, 1238.649, 466.4252, 258.9412, 400.8503, 1051.492, 636.0696, 2186.67, 213.2645, 216.5208, 605.3037, 1315.782, 723.1014, 357.1679, 868.8265, 1205.281, 1055.195, 861.8795, 1766.069, 999.9725
233.4, 1465.328, 81.75804, 872.1274, 219.3875, 31.79868, 316.3373, 458.8195, 480.8131, 296.7587, 0.3783663, 712.191, 5.464773, 44.91608, 1352.905, 1233.149, 440.5894, 243.8172, 382.3439, 1018.264, 630.1799, 2125.187, 202.4416, 206.011, 575.6038, 1291.381, 686.5741, 340.1298, 1009.781, 1146.492, 1038.16, 890.0669, 1685.599, 951.1218
233.5, 1393.287, 77.63036, 831.9435, 209.7187, 30.13331, 301.8467, 437.0167, 451.8668, 280.0923, 0.3564724, 678.9438, 5.143548, 42.5799, 1306.282, 1305.67, 416.1847, 229.5764, 364.692, 968.3717, 623.6901, 2165.32, 192.168, 196.0114, 547.361, 1321.145, 651.8919, 323.9044, 955.1324, 1090.57, 1171.521, 845.1744, 1804.472, 1012.583
233.6, 1324.787, 73.71107, 830.9806, 245.7414, 28.55516, 287.1226, 416.25, 424.6631, 264.3619, 0.3358454, 647.2487, 4.841205, 40.36522, 1249.838, 1242.132, 393.1317, 216.1675, 347.8549, 920.924, 592.035, 2133.146, 182.4158, 186.4971, 520.5041, 1258.038, 618.9617, 308.453, 903.4409, 1037.376, 1108.102, 802.5461, 1722.252, 1005.83
233.7, 1374.613, 69.98965, 821.2449, 234.9111, 27.05967, 273.1167, 396.4701, 399.0971, 249.5149, 0.316412, 617.0331, 4.556634, 38.26574, 1308.538, 1181.686, 371.3557, 203.5417, 331.7952, 1065.401, 606.9604, 2231.576, 199.9184, 177.4447, 494.9649, 1197.945, 587.695, 293.7387, 854.5469, 986.7761, 1048.116, 823.407, 1643.779, 956.6927
233.8, 1307.032, 66.45611, 807.7285, 224.5581, 25.6425, 259.7941, 377.6301, 375.0703, 235.5018, 0.2981031, 588.2281, 4.28879, 36.27545, 1340.573, 1124.181, 350.7859, 191.6534, 316.477, 1160.105, 576.1544, 2139.995, 218.0313, 168.8317, 470.6788, 1175.368, 558.0077, 279.7263, 857.7958, 938.6446, 991.3768, 820.7475, 1653.64, 909.9563
233.9, 1343.293, 63.10097, 770.5118, 214.6614, 24.29954, 247.1213, 359.6853, 352.49, 222.2756, 0.2808536, 560.7679, 4.036691, 34.38869, 1345.683, 1069.475, 331.3555, 180.4594, 333.5087, 1172.963, 546.912, 2302.202, 206.9665, 160.6367, 447.5844, 1119.224, 529.82, 266.3824, 867.7315, 892.8608, 937.7096, 779.3513, 1632.149, 865.5031
234, 1420.391, 59.91521, 760.6811, 205.2009, 23.02692, 235.0667, 397.2475, 331.2691, 209.7923, 0.2646022, 534.5895, 3.79941, 32.60006, 1287.537, 1017.431, 313.0014, 169.9192, 318.2383, 1115.49, 519.1537, 2261.996, 196.4633, 152.8395, 425.6231, 1092.974, 503.0562, 253.675, 994.4308, 849.3101, 886.9476, 740.043, 1602.153, 823.2216
234.1, 1350.559, 56.8903, 725.6322, 196.1573, 21.82096, 223.6001, 378.3706, 311.3257, 198.01, 0.2492912, 730.2296, 3.576077, 30.90446, 1240.1, 1011.545, 295.6639, 159.9947, 303.546, 1115.642, 492.8043, 2247.892, 273.3468, 145.4208, 404.7394, 1198.19, 707.3572, 241.5739, 940.6125, 807.8837, 838.9335, 702.7173, 1591.65, 895.0822
234.2, 1377.33, 54.0181, 692.1982, 187.5123, 20.67814, 212.6929, 360.3907, 308.4742, 186.8895, 0.2348662, 696.1403, 3.365871, 29.29705, 1240.119, 1069.352, 279.2868, 150.6498, 289.5319, 1060.979, 467.7923, 2207.766, 259.4749, 138.3622, 524.29, 1140.956, 671.6252, 230.0499, 889.7068, 768.478, 793.5186, 801.0353, 1656.412, 851.3557
234.3, 1362.822, 51.29092, 841.1017, 179.2483, 19.59519, 207.712, 343.2651, 438.1961, 176.3935, 0.2212759, 747.0164, 3.168022, 27.77324, 1186.534, 1100.254, 263.8168, 141.8508, 276.1649, 1008.994, 534.9124, 2181.666, 246.3069, 131.6462, 498.5651, 1086.456, 637.6982, 219.0757, 876.5062, 730.9943, 750.5622, 818.1735, 1580.939, 809.7652
234.4, 1365.194, 48.70142, 802.3474, 274.6118, 18.56894, 220.4928, 326.9534, 411.8154, 166.487, 0.2084719, 712.1434, 2.981802, 26.3287, 1159.808, 1154.502, 249.2037, 133.5657, 279.2995, 959.5555, 507.7631, 2251.475, 233.8071, 125.2562, 474.1024, 1034.559, 696.7044, 208.6251, 860.475, 695.339, 709.9312, 776.907, 1655.015, 770.2065
234.5, 1386.612, 46.24265, 817.1574, 262.5092, 17.59645, 209.7371, 311.4168, 387.0229, 157.1368, 0.1964089, 678.8984, 2.806529, 24.95928, 1278, 1271.361, 235.4, 125.7644, 350.6897, 912.5397, 481.9918, 2159.077, 221.9418, 119.1763, 450.84, 1084.875, 661.5105, 198.6729, 830.0236, 661.4228, 671.4998, 858.0912, 1579.605, 732.5804
234.6, 1427.344, 43.90802, 779.5063, 250.9399, 16.67488, 199.5061, 296.6185, 406.0662, 148.3118, 0.1850438, 709.8395, 2.641558, 23.66109, 1222.779, 1209.493, 222.3609, 118.4189, 334.4991, 867.8276, 457.5285, 2230.021, 210.6785, 113.3916, 428.7189, 1033.054, 628.0944, 189.1955, 831.0253, 629.1609, 635.1487, 814.8115, 1507.631, 696.7924
234.7, 1414.852, 41.69125, 803.2201, 239.8805, 15.80159, 189.7742, 282.5234, 381.6198, 175.0736, 0.1743364, 676.702, 2.486285, 22.43043, 1310.028, 1167.932, 210.0441, 111.5023, 319.0561, 825.3063, 434.3069, 2251.183, 199.9869, 107.8876, 407.6833, 983.7081, 596.3663, 180.1702, 786.0504, 598.4726, 600.7656, 773.7147, 1548.638, 723.8866
234.8, 1446.235, 39.5864, 875.5588, 229.3086, 14.97402, 180.517, 269.0981, 358.6452, 176.5822, 0.1642486, 645.1115, 2.340138, 21.26377, 1253.423, 1132.624, 198.4096, 104.9898, 304.326, 784.8685, 412.2638, 2257.268, 189.8378, 102.6509, 387.6798, 972.1212, 566.241, 171.5755, 839.2753, 569.2812, 568.2437, 734.6907, 1487.896, 802.6963
234.9, 1587.123, 37.58782, 835.2169, 219.2025, 14.1898, 171.7114, 311.4994, 466.1889, 166.6651, 0.1547445, 614.9958, 2.202583, 20.1578, 1199.263, 1077.507, 290.8149, 98.8576, 290.2759, 746.4119, 448.2346, 2164.983, 180.2038, 97.66826, 443.2817, 925.6859, 537.6374, 163.3907, 846.7142, 541.5136, 537.4823, 697.635, 1474.348, 1066.391
235, 1588.446, 35.69014, 796.7336, 209.5419, 13.44665, 163.3353, 296.6971, 438.123, 157.3049, 0.1457903, 586.2859, 2.073112, 19.10934, 1259.505, 1107.924, 274.7064, 93.08359, 276.8745, 709.8397, 425.4847, 2307.812, 232.0193, 92.92751, 421.5315, 881.4687, 510.4787, 155.5964, 800.8903, 515.1005, 508.3862, 662.4482, 1407.17, 1014.296
235.1, 1612.211, 33.88827, 789.954, 200.307, 12.74242, 155.3678, 282.5983, 411.7467, 148.4704, 0.1373543, 599.6105, 1.951253, 18.11543, 1223.792, 1054.009, 259.4901, 87.64682, 264.0918, 675.0594, 403.8894, 2267.407, 220.2446, 88.41688, 400.8485, 839.3636, 639.5861, 148.1739, 801.2056, 489.9757, 480.8652, 629.0362, 1493.518, 964.7451
235.2, 1633.202, 32.17737, 753.5563, 191.4791, 12.07507, 147.7889, 269.1694, 386.9583, 140.1321, 0.1294064, 571.6188, 1.836556, 17.1732, 1233.776, 1150.689, 297.2924, 82.5276, 251.8993, 641.9832, 383.3902, 2174.356, 209.0675, 84.12518, 381.1804, 908.3822, 607.2775, 269.7633, 803.0941, 466.0764, 454.834, 597.3094, 1530.202, 917.6154
235.3, 1636.541, 30.55284, 718.8356, 183.0402, 11.44267, 140.5798, 256.3786, 363.6623, 258.9766, 0.1219184, 575.5947, 1.728602, 16.27999, 1241.752, 1094.693, 280.8251, 77.70738, 240.2697, 610.5277, 363.9314, 2199.526, 198.4576, 80.04181, 362.4773, 864.9915, 576.601, 256.8947, 809.2638, 443.3428, 430.212, 567.1827, 1488.891, 872.788
235.4, 1568.987, 29.01034, 685.7148, 174.9733, 10.8434, 133.7223, 282.027, 346.743, 248.3736, 0.1148637, 655.0888, 1.626993, 15.43323, 1188.096, 1041.422, 265.2699, 73.1687, 241.6116, 580.6135, 345.4602, 2247.635, 188.3862, 118.6414, 391.0521, 917.5945, 547.4741, 244.6399, 765.4667, 421.7181, 406.9229, 538.5756, 1561.981, 830.1505
235.5, 1537.663, 27.5457, 715.5305, 167.2619, 10.2755, 127.1993, 268.6252, 325.8681, 265.336, 0.1082172, 624.5073, 1.531356, 14.63051, 1136.76, 990.7429, 285.0319, 68.89511, 252.6994, 590.7955, 327.9265, 2218.498, 178.8259, 112.8826, 371.8646, 978.0386, 519.8185, 232.9697, 741.506, 401.1481, 384.8945, 511.4114, 1524.984, 789.596
235.6, 1540.444, 26.15502, 725.1985, 159.8904, 9.737353, 120.9945, 289.6573, 363.4684, 250.4343, 0.1019553, 649.4842, 1.441342, 13.86955, 1087.641, 1021.299, 340.3428, 64.87113, 241.0328, 561.8481, 311.2828, 2238.515, 169.7507, 212.925, 353.6186, 931.3207, 531.549, 221.8562, 974.104, 381.5815, 364.0586, 485.6172, 1455.499, 751.0226
235.7, 1464.71, 24.83454, 691.7845, 152.8437, 9.227387, 115.0924, 275.893, 341.5866, 236.3696, 0.09605571, 619.1643, 1.356618, 13.14816, 1040.645, 1069.156, 321.4909, 61.08218, 229.9048, 534.319, 295.4838, 2203.455, 161.1361, 202.5898, 368.6862, 886.8343, 504.6978, 211.2729, 921.3858, 362.9693, 344.3506, 461.1241, 1443.35, 714.3337
235.8, 1392.699, 23.58073, 659.91, 146.1076, 8.744129, 109.4782, 262.7827, 321.0221, 223.0947, 0.09049752, 590.2598, 1.276875, 12.4643, 1048.166, 1017.128, 303.6831, 57.51453, 219.2906, 508.1387, 280.4866, 2313.138, 152.9586, 192.7562, 350.5962, 1071.501, 527.0359, 201.1945, 871.5207, 345.2649, 325.7095, 437.8662, 1426.954, 679.437
235.9, 1431.191, 22.39022, 629.5042, 139.6684, 8.28618, 104.1378, 250.2955, 301.6956, 210.5653, 0.08526096, 648.0513, 1.201819, 11.816, 1043.916, 967.6309, 286.8618, 54.15526, 279.4391, 483.2412, 266.2507, 2266.981, 145.1962, 183.3999, 333.3937, 1090.635, 500.4128, 191.5968, 824.3542, 328.4241, 308.0775, 676.5146, 1493.777, 646.2451
236, 1399.369, 21.25981, 600.4994, 133.5129, 7.852215, 99.05795, 238.4016, 359.1114, 198.7397, 0.0803274, 665.1183, 1.131175, 11.20143, 1011.146, 920.5429, 270.9722, 155.0113, 266.538, 459.5637, 252.7372, 2218.162, 253.6312, 174.4978, 317.0354, 1038.538, 613.8536, 182.457, 866.8719, 312.4047, 291.4, 642.3931, 1446.762, 614.6747
236.1, 1330.571, 20.18648, 572.8309, 127.6288, 7.440978, 94.2259, 227.0729, 337.4918, 240.0658, 0.07567932, 634.0686, 1.064683, 10.61881, 996.9478, 875.7464, 255.9628, 145.9575, 281.2937, 437.0463, 239.9097, 2202.256, 240.7598, 166.0278, 301.4796, 988.9305, 666.4993, 173.7531, 909.9927, 297.1667, 275.6253, 609.9926, 1601.521, 584.6466
236.2, 1265.155, 19.16733, 546.4373, 122.0039, 7.051278, 89.62955, 216.2826, 317.1738, 226.5833, 0.07130019, 604.4684, 1.0021, 10.06651, 992.5992, 833.1298, 241.7847, 142.6962, 268.307, 415.6321, 227.7332, 2163.579, 305.9885, 157.969, 286.6872, 995.4924, 632.8312, 165.4645, 860.7442, 282.672, 260.7046, 579.2263, 1528.548, 556.0854
236.3, 1202.955, 18.19964, 521.2598, 166.4702, 6.681987, 85.25742, 206.005, 298.079, 308.2933, 0.06717446, 576.25, 0.9431953, 9.542925, 949.7097, 792.5871, 228.392, 134.3617, 258.0335, 395.2672, 216.1747, 2160.223, 300.0024, 150.3013, 304.8265, 1119.403, 600.8639, 157.5712, 814.1609, 268.8842, 246.5916, 550.0117, 1481.136, 528.9196
236.4, 1143.813, 17.2808, 527.0303, 190.9542, 377.7112, 81.09855, 289.2351, 280.1338, 290.9791, 0.06328747, 549.3489, 0.8877533, 9.046576, 908.6733, 754.0173, 215.7411, 183.7863, 246.1206, 531.8889, 205.2028, 2251.399, 284.7777, 143.0058, 289.8698, 1065.933, 570.5114, 150.0546, 770.0988, 255.769, 233.2426, 522.2707, 1515.396, 503.0807
236.5, 1169.247, 16.40835, 613.1022, 182.5385, 398.2896, 77.14256, 275.4908, 349.8621, 303.2317, 0.05962539, 523.7037, 0.8355703, 8.576044, 869.4101, 717.3245, 203.791, 173.0518, 254.66, 568.9556, 194.7879, 2159.004, 270.3257, 136.0644, 275.647, 1140.944, 541.6921, 142.8964, 728.4213, 243.2935, 220.6162, 495.9288, 1515.738, 478.5042
236.6, 1111.763, 15.57995, 584.8531, 225.6714, 475.3105, 73.37953, 262.3997, 328.7994, 286.2017, 0.05617521, 499.2556, 0.7864546, 8.129985, 831.8434, 682.4172, 192.5028, 162.9444, 242.9029, 541.0783, 184.9015, 2139.577, 256.607, 129.4599, 262.122, 1086.444, 514.3286, 136.0798, 688.9993, 231.4265, 208.6734, 470.9155, 1575.276, 455.1283
236.7, 1118.311, 14.79337, 581.9532, 287.3198, 450.4174, 69.80007, 249.9306, 309.0047, 306.3831, 0.05292468, 475.9489, 0.740226, 7.707127, 930.5095, 649.2086, 181.8399, 153.4272, 231.6886, 549.3444, 175.5169, 2263.246, 343.1755, 123.176, 249.2607, 1132.78, 488.3474, 129.5883, 651.7109, 220.1383, 197.377, 631.8322, 1503.5, 432.8944
