 , C001, C002, C003, C004, C005, C006, C008, C009, C010, C012, C013, C015, C016, C017, C020, C021, C024, C028, C032, C034, C036, C037, C038, C039, C043, C045, C046, C047, C050, C052, C053, C055, C061, C063, C064, C065, C070, C071, C076, C078, C087, C089, C097, C108
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
8.1, 1487.744, 189.93, 3017.81, 612.3289, 0, 68.55695, 172.7338, 207.1064, 592.9351, 450.735, 1043.903, 819.8281, 641.2252, 302.0634, 564.077, 397.9958, 378.724, 203.188, 0, 820.6131, 933.4222, 176.8834, 235.5394, 255.7783, 854.9844, 553.9075, 2324.6, 56.62506, 525.4521, 8.86898, 1935.91, 614.3595, 458.2263, 1126.797, 164.7803, 2498.446, -6.67572e-06, 1537.407, 631.4034, 1403.312, 1300.652, 25.27403, 40.74031, 328.9437
8.199999999999999, 1587.727, 180.6447, 2940.046, 582.7798, 0, 65.6761, 164.9169, 197.2744, 563.1764, 431.8765, 999.2408, 905.4615, 652.1232, 288.1063, 547.8975, 379.7382, 361.6823, 194.872, 0, 786.3588, 980.6774, 168.7823, 301.8506, 242.1174, 818.6181, 528.0026, 2228.089, 54.25405, 558.8567, 8.491891, 1956.5, 586.7054, 437.8596, 1076.887, 156.1704, 2456.407, -6.67572e-06, 1499.602, 601.1365, 1341.682, 1387.966, 24.17233, 39.04575, 314.8299
8.300000000000001, 1572.034, 180.8008, 3016.188, 554.6567, 4.768372e-07, 62.91631, 157.4537, 187.9091, 534.9112, 413.8072, 1007.531, 864.7635, 628.2144, 274.7941, 587.2094, 374.8578, 345.4073, 186.8964, 0, 816.5756, 958.1207, 161.0523, 288.8116, 229.1862, 875.4399, 503.3091, 2251.667, 51.98232, 531.9735, 8.130835, 1936.603, 560.296, 503.1767, 1050.472, 148.0105, 2348.361, -5.722046e-06, 1604.195, 572.3206, 1433.274, 1370.428, 23.11864, 37.42167, 332.9026
8.4, 1528.274, 171.9617, 3098.85, 527.8907, 0, 60.2725, 150.3283, 178.9885, 508.0646, 396.4938, 986.7265, 825.8948, 616.6929, 262.097, 607.4702, 379.1366, 329.8648, 179.2472, 0, 782.4898, 917.8125, 153.6762, 276.3357, 216.9457, 886.1855, 479.7706, 2158.185, 49.80571, 691.5106, 7.78513, 1858.061, 535.0755, 480.8121, 1028.14, 140.2768, 2379.724, -5.722046e-06, 1536.983, 544.8859, 1532.764, 1305.247, 22.11089, 35.86514, 375.681
8.5, 1495.333, 163.5549, 3053.272, 502.4164, 0, 57.73978, 143.5254, 170.4913, 482.5655, 379.9048, 1010.545, 867.5043, 653.9699, 249.9866, 733.5443, 361.7441, 315.0216, 171.911, 0, 774.2852, 974.2689, 146.638, 264.3988, 220.7194, 848.4921, 457.3329, 2146.516, 47.72023, 727.3936, 7.454123, 1888.098, 628.7659, 459.4416, 1024.033, 132.9473, 2275.052, -5.722046e-06, 1480.814, 518.7664, 1496.374, 1243.167, 21.14707, 34.37335, 507.461
8.6, 1429.261, 155.559, 2921.864, 478.1714, 4.768372e-07, 55.31348, 137.0303, 162.3976, 458.346, 364.0099, 1000.397, 828.5123, 753.5267, 238.4357, 700.7276, 424.471, 300.8463, 164.8751, 0, 741.9647, 933.2812, 139.9221, 252.9775, 208.9311, 812.4019, 435.9445, 2057.399, 45.72209, 887.9033, 7.13719, 1811.524, 600.4633, 439.0208, 1174.632, 126.0007, 2404.258, -4.768372e-06, 1502.399, 493.8989, 1430.657, 1305.325, 20.22526, 32.94361, 495.0979
8.699999999999999, 1402.585, 147.954, 2796.11, 497.9798, 4.768372e-07, 52.98915, 130.8291, 154.688, 435.3422, 348.78, 983.0815, 791.273, 716.3721, 282.7608, 669.379, 436.7999, 287.3089, 158.1272, 0, 758.3646, 1042.204, 133.5138, 242.0496, 197.7723, 893.8238, 415.5564, 2004.051, 43.80761, 845.1918, 6.833733, 1763.238, 573.4346, 419.5078, 1122.603, 119.4171, 2347.971, -4.768372e-06, 1444.434, 568.8775, 1419.683, 1354.813, 19.34364, 31.57335, 570.5724
8.800000000000001, 1369.401, 140.7208, 2713.421, 473.9489, 2.384186e-07, 50.76248, 124.9085, 169.8791, 413.4929, 474.7413, 1115.174, 766.2405, 735.4436, 346.5042, 639.4329, 416.7622, 274.3806, 151.6555, 0, 726.7086, 1059.835, 127.399, 231.5938, 187.2095, 855.8055, 396.1219, 2112.553, 41.97329, 986.6447, 6.543178, 1711.539, 617.5034, 400.862, 1224.934, 113.1775, 2283.337, -4.768372e-06, 1577.793, 590.5136, 1507.852, 1290.375, 18.50044, 30.26007, 546.0912
8.9, 1343.397, 133.8412, 2708.838, 451.0776, 0, 48.62938, 119.2559, 161.8144, 392.7401, 454.8784, 1067.463, 731.8001, 782.2375, 372.1401, 610.8264, 397.6437, 262.0341, 145.4486, 0, 893.4921, 1015.247, 121.5643, 221.5896, 177.2108, 840.6652, 377.5962, 2159.379, 40.21579, 954.4771, 6.264976, 1740.989, 589.7077, 383.0449, 1230.588, 107.2639, 2371.101, -4.768372e-06, 1578.326, 562.2068, 1441.631, 1327, 17.694, 29.00143, 522.6605
9, 1419.136, 127.298, 2679.863, 444.8538, -2.384186e-07, 46.58592, 173.4558, 154.1326, 383.3127, 435.8467, 1026.145, 760.1724, 743.6673, 354.945, 583.4997, 379.4022, 250.2431, 139.4957, 0, 856.1956, 1093.028, 115.9967, 212.0175, 167.7462, 872.7454, 359.9369, 2069.728, 38.53187, 944.9294, 5.998603, 1769.101, 563.1632, 366.0198, 1248.253, 101.6593, 2266.807, -4.768372e-06, 1580.843, 591.0305, 1423.597, 1432.845, 16.92271, 27.79513, 500.235
9.1, 1397.923, 121.0746, 2630.335, 435.791, 0, 44.62833, 165.6062, 146.8154, 364.0747, 417.6112, 1013.832, 732.633, 793.6116, 338.5445, 580.8513, 361.9976, 238.9827, 133.7865, 0, 820.456, 1047.044, 110.6842, 202.859, 158.7871, 941.4178, 343.1035, 1983.799, 36.91846, 1056.262, 5.743556, 1891.85, 550.0492, 349.7514, 1192.963, 96.34754, 2429.987, -4.768372e-06, 1514.609, 562.6989, 1407.427, 1364.696, 16.18504, 26.63901, 478.7717
9.199999999999999, 1500.332, 123.105, 2664.216, 414.7611, 0, 42.75299, 158.1119, 139.8456, 362.0557, 519.2076, 1030.671, 804.3798, 754.4804, 322.9017, 554.8656, 345.3913, 228.229, 128.311, 0, 786.2083, 1144.258, 105.615, 194.096, 150.3064, 932.6393, 327.0574, 2035.812, 35.3726, 1019.097, 5.499353, 1823.642, 547.2641, 334.2061, 1228.981, 91.31333, 2323.103, -4.768372e-06, 1451.15, 535.7255, 1345.616, 1299.788, 15.47953, 25.53098, 458.2294
9.300000000000001, 1528.93, 182.2384, 2572.065, 394.7461, -2.384186e-07, 40.95646, 150.9567, 133.2067, 384.3371, 497.4844, 997.8773, 889.1257, 733.3273, 449.5805, 530.0425, 329.5469, 217.9592, 123.0595, 0, 753.3901, 1096.119, 100.7779, 185.7116, 142.2787, 892.97, 311.7617, 2002.083, 33.89148, 970.0742, 5.265533, 1768.114, 522.6301, 425.6406, 1174.545, 86.54216, 2220.921, -5.245209e-06, 1395.332, 510.045, 1357.062, 1320.555, 14.80477, 24.46904, 438.5684
9.4, 1560.694, 173.3292, 2613.563, 520.6564, 0, 39.23542, 144.1253, 126.8829, 365.0477, 476.67, 963.4945, 978.2925, 697.1687, 428.8072, 618.6285, 359.1867, 208.1516, 118.023, 0, 774.5, 1075.484, 96.16239, 214.2673, 134.6798, 1014.758, 297.1814, 1918.963, 32.47237, 923.4098, 5.041655, 1714.814, 505.9017, 406.7222, 1133.442, 82.02028, 2285.928, -4.768372e-06, 1411.197, 485.5956, 1297.463, 1390.763, 14.15943, 23.45126, 419.751
9.5, 1618.768, 164.8554, 2626.08, 495.5312, 0, 37.5867, 137.603, 120.8594, 346.7264, 456.7265, 1090.401, 934.321, 774.5362, 408.9938, 655.1358, 342.7095, 198.7852, 113.1926, 0, 838.0862, 1030.238, 91.75825, 205.0115, 127.4867, 971.5962, 283.2829, 1995.28, 31.11268, 1007.866, 4.827295, 1818.057, 496.2469, 434.9213, 1083.237, 77.73468, 2185.381, -4.768372e-06, 1519.3, 462.3181, 1334.451, 1324.615, 13.54221, 22.47583, 656.0834
9.6, 1547.241, 156.796, 2566.76, 471.6185, 2.384186e-07, 36.00727, 131.3759, 115.1218, 344.1023, 437.6174, 1043.75, 892.3258, 736.3456, 390.0959, 625.8268, 378.8252, 189.8403, 108.5599, 0, 803.1025, 1030.544, 87.55581, 196.1556, 120.6778, 989.8502, 270.0345, 1928.191, 29.80993, 959.3841, 4.622049, 1840.821, 582.3162, 415.5905, 1035.256, 73.673, 2271.301, -4.291534e-06, 1507.023, 567.6967, 1334.121, 1261.613, 12.9519, 21.54096, 627.9333
9.699999999999999, 1503.379, 149.1305, 2575.494, 450.4055, 0, 34.4942, 152.7946, 109.6566, 326.8322, 419.3078, 999.0941, 865.4439, 700.0381, 372.0712, 597.8291, 361.447, 181.2979, 104.1168, 0, 855.8591, 1086.925, 83.54584, 267.9633, 181.68, 947.7474, 257.4056, 1886.174, 28.56172, 913.234, 4.425529, 1804.385, 625.2126, 397.1188, 1170.852, 69.82354, 2171.397, -4.291534e-06, 1554.583, 540.4836, 1328.82, 1201.608, 12.38732, 20.64498, 600.9909
9.800000000000001, 1518.597, 141.8398, 2526.372, 428.6704, 2.384186e-07, 33.04471, 145.88, 104.4509, 310.4289, 478.411, 1048.498, 826.5446, 743.3728, 354.8793, 592.5309, 452.1804, 173.1399, 99.85557, 0, 820.1336, 1041.198, 79.71952, 256.388, 171.9767, 907.4354, 245.3674, 1896.118, 27.36578, 869.304, 4.237366, 1847.137, 597.07, 454.0234, 1145.127, 66.17522, 2236.958, -4.768372e-06, 1489.449, 514.5751, 1270.461, 1250.256, 11.84735, 19.78626, 575.2046
9.9, 1451.497, 143.933, 2519.384, 412.702, 0, 31.65614, 176.799, 99.49225, 294.8488, 458.3947, 1003.639, 789.3936, 706.7189, 338.4818, 590.3448, 431.4371, 165.349, 95.76872, 0, 785.8994, 1062.112, 76.06844, 245.3128, 162.7916, 961.621, 233.8921, 1842.052, 26.21992, 1004.308, 4.057203, 1772.224, 570.1942, 433.8435, 1094.404, 62.71753, 2282.063, -4.291534e-06, 1477.572, 548.0972, 1214.665, 1210.398, 11.33092, 18.96326, 550.5247
10, 1485.906, 180.837, 2637.296, 392.7863, 0, 30.32591, 168.7982, 94.76904, 280.0507, 445.8666, 1060.418, 753.9125, 725.7109, 322.8419, 563.9345, 411.6454, 157.9086, 91.84914, 0, 857.4512, 1017.429, 72.58459, 234.716, 154.0971, 994.1127, 340.3538, 1863.883, 25.12204, 955.9969, 3.884699, 1822.632, 544.528, 513.1274, 1045.929, 59.44051, 2181.686, -4.291534e-06, 1530.583, 521.8237, 1249.075, 1215.306, 10.837, 18.1745, 526.9036
10.1, 1420.25, 171.9962, 2639.188, 442.5655, 0, 29.05158, 243.3735, 132.039, 357.9769, 427.2119, 1024.588, 720.0262, 714.6105, 398.7855, 553.2671, 392.7617, 150.8031, 88.08998, 0, 865.4264, 1102.58, 69.26028, 224.5769, 145.867, 951.8286, 324.4363, 1863.184, 24.07012, 910.0098, 3.719531, 1969.278, 664.5786, 490.3206, 999.6003, 56.33471, 2184.458, -4.291534e-06, 1466.455, 574.3083, 1194.219, 1283.943, 10.36462, 17.41854, 504.2961
10.2, 1403.2, 163.5877, 2623.537, 421.2086, 0, 27.8308, 232.3599, 125.7707, 340.0105, 541.7661, 980.7518, 687.663, 696.8288, 380.3593, 528.5155, 374.7441, 144.0173, 84.48467, 0, 829.3015, 1056.195, 66.08823, 222.0089, 159.7539, 1008.286, 309.2632, 1817.648, 23.06226, 866.2348, 3.561384, 1889.411, 634.6639, 468.5273, 1076.334, 53.39118, 2298.374, -4.291534e-06, 1559.069, 546.7784, 1311.198, 1287.357, 9.912819, 16.69403, 482.6585
10.3, 1341.199, 155.5902, 2686.615, 400.8825, 2.384186e-07, 26.66132, 221.8447, 119.7999, 322.9457, 543.8597, 938.7914, 676.6481, 662.4698, 362.7844, 595.4665, 357.5532, 137.5368, 81.02692, 0, 827.4748, 1011.76, 63.06146, 291.714, 151.2216, 965.3992, 346.7435, 1821.323, 22.09659, 870.3469, 3.409962, 1905.72, 606.0959, 447.7028, 1124.698, 50.60147, 2302.633, -4.291534e-06, 1493.748, 614.4865, 1253.613, 1318.274, 9.480715, 15.99966, 461.9494
