 , C000, C001, C003, C006, C008, C009, C010, C011, C012, C013, C014, C015, C016, C017, C018, C019, C020, C022, C023, C024, C025, C027, C029, C030, C032, C033, C034, C035, C036, C037, C038, C039, C040, C042, C043, C044, C045, C046, C047, C051, C055, C061, C062, C064, C066, C070, C072, C074, C076, C080, C081, C082, C084, C086, C088, C090, C091, C093, C094, C099, C100, C101, C103, C115, C119, C122, C125, C129, C134
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
340.6, 123.2936, 47.72717, 1321.032, 870.2815, 5.387629, 345.0721, 557.2924, 199.8066, 1727.753, 786.0536, 1.330099, 820.5991, 117.1032, 101.9617, 1654.073, 139.3499, 196.8374, 326.1339, 750.4325, 168.2983, 1055.489, 328.1533, 245.8335, 249.138, 524.8113, 212.7101, 1909.523, 313.0443, 1172.573, 874.947, 1358.973, 330.1721, 180.3584, 874.1719, 132.6927, 368.7404, 531.7188, 324.8153, 114.6241, 256.218, 709.9924, 171.7295, 5.539291, 7.13894, 303.5614, 496.5857, 2383.511, 176.1521, 179.0083, 373.3882, 238.4655, 668.765, 44.21867, 614.9467, 208.8046, 743.0036, 74.00005, 254.7661, 640.1896, 527.0389, 384.8919, 460.4688, 310.8715, 539.9448, 951.9312, 510.8512, 1336.595, 702.9893, 1182.521
340.7, 232.8422, 45.5435, 1384.213, 828.3373, 5.146944, 409.3848, 568.3011, 190.5709, 1701.716, 787.486, 1.271235, 866.6068, 110.9618, 97.55696, 1582.492, 132.7432, 187.1718, 309.0941, 717.4447, 160.7403, 1006.619, 311.9689, 234.7382, 238.6282, 549.8597, 203.4341, 1936.376, 296.6385, 1118.528, 916.7339, 1340.682, 313.9445, 171.5332, 835.72, 126.2954, 351.6376, 526.4748, 309.6155, 109.7123, 245.5471, 680.5389, 164.5956, 5.273084, 6.843577, 289.0356, 475.2496, 2363.236, 168.1007, 171.0085, 356.3254, 227.4274, 638.1833, 42.15049, 588.9373, 198.8569, 782.0422, 70.1685, 240.1074, 612.47, 503.7874, 368.4039, 449.4879, 297.2914, 514.923, 907.8665, 529.825, 1413.588, 670.5728, 1217.719
340.8, 221.3761, 43.45973, 1338.083, 953.4382, 4.917011, 409.6718, 542.1974, 207.2999, 1642.852, 846.1341, 1.214976, 828.6818, 105.1425, 93.3425, 1583.935, 126.4496, 177.9808, 292.9445, 685.907, 153.5217, 960.0127, 337.7529, 224.1436, 317.9396, 544.8605, 194.5627, 1914.268, 281.0926, 1167.822, 965.6248, 1455.279, 298.5145, 204.4499, 915.2751, 120.2065, 366.7772, 502.7258, 295.127, 105.011, 235.3207, 704.3254, 157.758, 5.01967, 6.560435, 275.2049, 454.8301, 2397.353, 160.4173, 163.3661, 340.0424, 216.9002, 609.0001, 40.17904, 564.0281, 189.3831, 760.0316, 66.53533, 226.2921, 585.9506, 531.4099, 352.6223, 454.0865, 333.2362, 491.0606, 865.8416, 564.5715, 1407.647, 639.651, 1292.885
340.9, 210.4745, 41.47131, 1378.665, 907.4861, 4.69735, 420.9799, 575.8476, 257.3204, 1565.517, 859.4199, 1.161206, 898.4533, 99.62846, 89.3101, 1605.798, 120.4545, 169.2411, 277.6387, 763.1578, 146.6273, 915.564, 403.0207, 214.0273, 304.5275, 520.6154, 186.0782, 1921.55, 266.3614, 1113.996, 948.2238, 1434.887, 283.8428, 229.5019, 923.1491, 114.4111, 352.8352, 519.1897, 281.3164, 100.5112, 225.5201, 675.107, 151.2045, 4.778435, 6.289008, 262.036, 560.2288, 2420.047, 153.085, 250.8159, 324.5034, 206.8603, 610.9476, 38.2998, 540.1724, 180.3606, 814.9496, 63.09028, 213.2718, 609.2864, 507.9655, 337.5166, 480.5765, 318.679, 506.837, 825.762, 534.9642, 1417.064, 794.9772, 1237.694
341, 200.1098, 39.57386, 1353.726, 863.7488, 4.487503, 400.5655, 582.6575, 245.4262, 1709.772, 819.3482, 1.109817, 867.215, 94.40354, 85.4519, 1557.64, 114.7436, 160.9306, 263.1327, 747.9269, 140.0425, 937.1636, 383.1438, 204.3675, 291.6811, 522.4952, 177.9636, 1832.63, 252.4021, 1078.177, 975.3768, 1428.216, 339.3743, 329.332, 882.5429, 108.8952, 336.4701, 534.8674, 268.1522, 96.20415, 216.1277, 692.3143, 144.9233, 4.548792, 6.02881, 249.4973, 548.3107, 2426.586, 146.0879, 239.607, 309.6746, 197.2851, 607.39, 36.50846, 517.3256, 171.768, 836.9201, 290.3322, 201.0006, 635.7934, 561.6585, 363.2596, 459.2177, 349.3719, 543.2327, 787.5377, 506.9096, 1385.298, 758.3188, 1263.541
341.1, 240.775, 37.76323, 1408.67, 822.1195, 4.28703, 381.141, 555.8943, 234.0817, 2006.296, 844.6932, 1.060701, 891.7824, 89.45264, 81.76038, 1490.233, 109.3034, 153.0282, 249.3845, 715.0493, 133.7534, 986.5558, 389.7243, 195.1437, 326.087, 499.2453, 170.2029, 1873.792, 239.1745, 1063.962, 1034.219, 1490.434, 372.5379, 335.5977, 900.7543, 103.6452, 340.914, 510.7398, 255.604, 92.08168, 207.1265, 663.5942, 138.903, 4.330186, 5.779377, 237.5585, 524.7521, 2342.206, 139.4106, 238.9069, 295.5234, 188.1532, 579.6149, 34.8009, 495.4452, 163.5848, 890.1854, 453.5414, 189.4354, 682.6795, 536.8796, 382.7966, 438.8081, 334.11, 575.4697, 751.0828, 480.3262, 1424.135, 723.3509, 1209.602
341.2, 228.9182, 36.03544, 1373.771, 846.9886, 4.095512, 362.6584, 530.3605, 223.2617, 2081.139, 869.5372, 1.01376, 868.7512, 84.76139, 78.22833, 1505.418, 104.1212, 145.5138, 236.3546, 683.6169, 127.7468, 971.3986, 462.4092, 410.8898, 312.3312, 477.03, 162.7806, 1899.548, 226.6401, 1056.141, 1001.752, 1485.153, 354.2281, 319.1765, 880.2508, 98.64825, 325.1018, 503.8608, 243.6429, 88.13587, 198.5001, 680.0654, 133.1327, 4.122086, 5.540265, 226.1911, 522.3586, 2381.982, 133.0386, 360.4224, 282.0188, 179.4439, 613.8152, 33.17321, 474.4902, 155.7914, 905.7302, 430.058, 178.5357, 667.2905, 513.1938, 366.3983, 419.3057, 319.5146, 548.8015, 799.7661, 455.1369, 1413.903, 689.9954, 1279.981
341.3, 217.6452, 34.3867, 1315.36, 972.5034, 3.912551, 345.0721, 505.9995, 212.9418, 1995.222, 838.1988, 0.9688954, 865.3599, 80.31616, 74.84887, 1496.65, 99.18465, 138.3684, 224.0056, 716.1989, 122.0099, 968.2449, 453.6444, 478.634, 299.1557, 461.343, 155.682, 1811.646, 214.7625, 1007.463, 951.0308, 1524.284, 388.2634, 361.277, 841.5316, 93.89226, 316.5921, 481.1319, 313.016, 84.35915, 190.233, 651.8534, 127.6022, 3.923987, 5.311045, 215.3676, 603.954, 2341.111, 224.5271, 344.3151, 269.1314, 171.1378, 662.5627, 31.62165, 454.4215, 148.3693, 915.2844, 407.7906, 168.2631, 638.3975, 490.5531, 350.7026, 400.67, 353.2779, 523.3692, 826.2714, 431.2686, 1352.368, 658.178, 1225.341
341.4, 206.9274, 32.8134, 1440.592, 925.6325, 3.737763, 328.3386, 566.4362, 203.0989, 1908.955, 807.4733, 0.9260166, 939.1536, 76.10406, 71.61539, 1448.602, 94.48217, 131.5739, 212.3017, 684.7159, 116.5306, 1051.715, 452.9577, 457.0316, 329.8921, 440.8142, 243.8492, 1727.812, 203.5075, 961.0278, 902.8781, 1490.277, 369.1807, 343.5993, 1057.809, 89.36555, 321.0978, 474.3352, 349.0589, 80.74426, 182.3103, 651.1633, 122.3014, 3.735408, 5.091309, 205.062, 663.8769, 2330.2, 272.7721, 328.9276, 256.8329, 163.2162, 632.2646, 30.14265, 435.2016, 141.3008, 874.1578, 386.6761, 236.3172, 610.7555, 509.5386, 335.6792, 452.8616, 378.9442, 499.1155, 800.687, 473.2833, 1328.446, 627.8278, 1173.033
341.5, 267.9707, 31.31208, 1410.251, 917.6, 3.570784, 355.4569, 540.4181, 193.711, 1923.802, 898.1976, 0.8850354, 981.3985, 72.11286, 68.52161, 1456.509, 90.00264, 125.113, 201.2094, 674.1347, 111.2974, 1003.02, 468.433, 436.4042, 325.8409, 421.1989, 275.8604, 1777.096, 192.8423, 1014.676, 883.3313, 1592.305, 351.0358, 326.7865, 1011.28, 85.05709, 335.9729, 461.2878, 375.9513, 77.28426, 174.7175, 661.1884, 117.2208, 3.555891, 4.880664, 195.2495, 652.4351, 2359.832, 260.3044, 314.2278, 338.2219, 155.6612, 603.352, 28.73283, 416.7946, 134.5691, 867.9545, 366.6549, 222.72, 593.4408, 487.0591, 321.2994, 432.7346, 418.9391, 475.9857, 779.3331, 484.6513, 1336.421, 598.8771, 1196.517
