 , C000, C001, C002, C003, C004, C006, C007, C009, C010, C011, C012, C014, C016, C019, C022, C024, C025, C026, C027, C028, C029, C030, C034, C035, C041, C043, C046, C047, C048, C055, C057, C060, C061, C077, C086, C088, C089
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
167, 407.3992, 239.3479, 334.6541, 355.5338, 127.1903, 228.9426, 196.7997, 711.0073, 362.9023, 320.0755, 784.6172, 176.1885, 210.1848, 240.6293, 3644.666, 738.9241, 2150.25, 1855.824, 0.00101589, 810.86, 15.41003, 3872.607, 1092.867, 2785.446, 1499.152, 1.820005e-07, 2783.346, 2438.94, 575.6773, 77.42458, 2063.253, 1301.336, 894.7778, 2856.781, 352.0636, 1456.47, 1495.189
167.1, 388.2198, 228.0679, 319.923, 404.3855, 121.2524, 270.9786, 188.5921, 696.2017, 345.5543, 303.747, 745.4423, 168.0953, 200.8137, 227.9986, 3566.29, 717.7831, 2055.471, 1861.034, 0.0009732281, 771.4654, 14.68161, 3714.066, 1042.27, 2667.224, 1428.53, 1.730282e-07, 2770.496, 2332.474, 548.4207, 74.05949, 1973.448, 1244.219, 852.44, 2738.346, 335.4029, 1511.347, 1463.31
167.2, 369.9432, 217.3195, 305.8404, 386.269, 115.5918, 321.5335, 261.9854, 663.3847, 329.0355, 288.2515, 777.0586, 160.3739, 191.8604, 251.8651, 3471.287, 712.6291, 1998.734, 1914.923, 0.0009323577, 733.9847, 13.98762, 3687.727, 1080.54, 2756.929, 1361.235, 1.644983e-07, 2652.431, 2230.655, 586.634, 268.2974, 1933.997, 1278.814, 812.1055, 2624.821, 319.5306, 1464.765, 1429.801
167.3, 352.5271, 207.0776, 292.3776, 368.9641, 110.1954, 305.6536, 329.4914, 713.8406, 313.3064, 273.5465, 738.2612, 153.0072, 183.3063, 238.6447, 3426.477, 680.224, 2132.5, 1831.145, 0.0008932036, 698.3249, 13.32643, 3784.914, 1030.514, 2652.498, 1412.965, 1.563888e-07, 2539.398, 2133.281, 604.183, 428.8939, 1868.367, 1266.91, 773.6794, 2692.651, 304.4094, 1535.004, 1407.113
167.4, 335.9308, 197.3184, 279.5074, 352.4344, 105.0509, 290.558, 337.2403, 759.6871, 298.3293, 259.5917, 813.4224, 145.9789, 175.1335, 226.1181, 3399.433, 649.2925, 2119.042, 1946.785, 0.0008556938, 664.3976, 12.6965, 3864.123, 982.803, 2677.201, 1447.176, 1.486792e-07, 2611.176, 2106.539, 575.5767, 452.4576, 1833.753, 1235.744, 737.0716, 2604.008, 290.0038, 1524.745, 1420.597
167.5, 320.1159, 188.0192, 312.5169, 336.6453, 100.1466, 276.2079, 379.4662, 786.6068, 480.4941, 246.3488, 772.8094, 139.2734, 167.3252, 214.2492, 3380.434, 684.2878, 2112.441, 1861.613, 0.0008197592, 632.1186, 12.09634, 3777.024, 937.3013, 2730.269, 1507.949, 1.413496e-07, 2526.93, 2109.772, 548.3249, 432.7925, 1856.792, 1229.634, 769.6571, 2630.305, 276.2799, 1650.908, 1354.744
167.6, 377.0089, 179.1582, 298.7603, 321.5636, 162.5662, 262.5666, 477.9706, 749.5283, 457.5248, 233.7814, 734.2241, 132.8759, 159.865, 235.4311, 3281.155, 653.1715, 2136.815, 1865.696, 0.0007853336, 601.4078, 11.52456, 3706.399, 893.9062, 2654.075, 1436.912, 1.343813e-07, 2510.203, 2150.19, 680.7614, 413.9821, 1775.973, 1308.229, 1133.26, 2690.052, 263.2055, 1741.995, 1291.943
167.7, 359.2602, 170.7148, 285.6092, 401.1341, 154.9768, 249.5989, 557.8385, 744.3245, 456.8588, 221.8552, 697.5653, 126.7723, 152.7374, 223.0733, 3304.389, 623.4702, 2042.629, 1839.228, 0.0007523538, 572.1891, 10.9798, 3618.016, 852.5203, 2541.428, 1369.222, 1.277566e-07, 2417.249, 2107.955, 648.5294, 395.9892, 1698.673, 1250.81, 1251.953, 2578.53, 250.7498, 1663.733, 1310.057
167.8, 342.347, 162.6693, 335.8009, 383.1632, 147.7417, 237.2717, 534.5739, 724.9223, 481.1052, 210.5374, 662.7368, 120.9491, 145.9276, 211.3642, 3216.543, 595.1194, 1952.594, 1758.762, 458.4514, 544.39, 10.46079, 3595.656, 813.0504, 2512.248, 1304.721, 1.214584e-07, 2375.514, 2079.215, 706.5045, 378.7784, 1624.737, 1195.91, 1192.715, 2534.781, 238.8835, 1609.189, 1249.328
167.9, 347.0007, 155.003, 321.0193, 365.9975, 140.8444, 225.5534, 541.1278, 722.617, 598.4128, 199.797, 629.6473, 231.4132, 139.4214, 257.8041, 3167.06, 568.0578, 1984.441, 1761.63, 707.909, 517.9415, 9.966313, 3652.83, 775.4078, 2515.666, 1328.772, 1.154708e-07, 2315.259, 1988.451, 698.8723, 362.3156, 1623.709, 1204.141, 1136.28, 2487.928, 227.5788, 1692.32, 1274.176
168, 330.6647, 147.698, 306.8884, 349.6007, 134.2691, 284.3394, 610.1807, 688.5548, 706.6641, 189.6044, 598.2098, 220.7833, 133.2053, 284.9283, 3255.6, 542.2267, 2123.677, 1787.697, 678.1806, 492.7779, 9.495212, 3546.049, 739.5081, 2440.872, 1292.024, 1.097783e-07, 2296.575, 2018.391, 665.7827, 346.5683, 1579.927, 1151.29, 1117.29, 2509.419, 216.8091, 1616.29, 1215.11
168.1, 315.0977, 140.7373, 333.8177, 333.9386, 130.4502, 270.2964, 584.7332, 717.8831, 713.9039, 179.9319, 568.342, 210.6417, 127.2663, 269.9724, 3166.067, 555.939, 2096.616, 1709.486, 649.7006, 606.0917, 9.046378, 3545.192, 873.9009, 2404.005, 1387.871, 1.043664e-07, 2249.724, 2002.939, 634.2599, 331.5055, 1511.16, 1142.93, 1064.424, 2405.385, 206.549, 1543.676, 1263.416
168.2, 300.2636, 134.1046, 319.1234, 318.9781, 124.3602, 256.9471, 560.347, 747.9222, 679.7767, 170.7528, 539.9655, 200.966, 121.5921, 255.8015, 3085.276, 530.6591, 2059.716, 1634.696, 622.4166, 686.9674, 8.618761, 3562.324, 863.71, 2414.149, 1346.287, 9.922136e-08, 2153.853, 1972.825, 741.0815, 317.0973, 1537.483, 1159.629, 1049.239, 2585.887, 196.7745, 1602.114, 1290.942
168.3, 286.1278, 127.7845, 342.909, 334.2737, 118.5544, 244.257, 536.9778, 712.6672, 715.7314, 162.0419, 513.0058, 191.7347, 116.1709, 242.3745, 2949.906, 506.5286, 2587.63, 1563.178, 596.2784, 876.8387, 8.211357, 3496.523, 902.8329, 2311.686, 1373.805, 9.432994e-08, 2099.39, 1912.847, 719.9193, 407.1696, 1470.563, 1108.732, 999.5923, 2480.239, 187.4625, 1593.447, 1231.099
168.4, 272.6575, 121.7622, 360.8173, 396.483, 113.0197, 232.1936, 579.0834, 840.6942, 681.5168, 153.7754, 487.3921, 182.9274, 110.9914, 229.6522, 2953.142, 483.4955, 2988.002, 1540.778, 571.2379, 834.2385, 7.823211, 3559.239, 861.0337, 2213.572, 1333.537, 8.967966e-08, 2067.94, 1927.204, 709.2477, 415.2168, 1555.976, 1142.166, 1005.694, 2399.289, 178.5912, 1581.741, 1293.139
