 , C000, C001, C003, C004, C005, C007, C009, C010, C011, C013, C016, C017, C018, C019, C020, C021, C022, C024, C025, C026, C027, C030, C032, C033, C034, C036, C037, C038, C040, C042, C043, C049, C051, C052, C054, C055, C058, C059, C070, C072, C075, C113
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
351.7, 230.0945, 266.3922, 765.9481, 457.7608, 0.0008543981, 205.9785, 3.193624, 279.4068, 23.27193, 586.9678, 1130.007, 518.7518, 0.01071343, 0.00315889, 1148.935, 129.384, 0.1484528, 1298.891, 122.823, 320.4073, 769.8973, 15.72941, 711.5792, 274.8333, 3.512131e-05, 172.3766, 557.3127, 700.3794, 923.9748, 342.0431, 505.075, 230.2381, 222.7086, 2171.552, 291.7202, 0.02708575, 0.01698001, 0.0220483, 216.9774, 1323.068, 288.1075, 2004.043
351.8, 219.8199, 254.8324, 730.1483, 436.5225, 0.0008160166, 197.0939, 3.040726, 265.8414, 22.22118, 557.8116, 1078.601, 494.2412, 0.01022956, 0.003013126, 1291.108, 124.0345, 0.1415468, 1269.879, 116.824, 387.6531, 737.2159, 14.99866, 801.4752, 263.3922, 3.368196e-05, 164.3105, 561.7555, 775.0367, 1008.67, 355.5324, 482.1337, 218.8845, 213.117, 2214.073, 279.5605, 0.02592131, 0.01628777, 0.02110842, 253.6355, 1334.846, 274.912, 1968.619
351.9, 210.0042, 243.7742, 727.9099, 430.8827, 0.0007793594, 188.5925, 2.895148, 299.8851, 21.21786, 530.1038, 1069.073, 470.8887, 0.009767544, 0.002874087, 1268.626, 118.9062, 0.134962, 1209.913, 111.1179, 371.3068, 705.9217, 14.30186, 766.731, 296.1804, 3.23016e-05, 156.6218, 537.9785, 742.2433, 1124.972, 338.9828, 460.2343, 208.0908, 203.9384, 2147.086, 267.9077, 0.02480693, 0.01562375, 0.02020861, 242.2241, 1328.621, 303.0854, 2011.91
352, 200.6267, 233.1959, 693.888, 553.4181, 0.0007443489, 180.4578, 2.75654, 285.3255, 20.25985, 645.2506, 1137.698, 448.6396, 0.009326393, 0.002741464, 1292.875, 160.8436, 0.1286835, 1280.23, 105.6906, 422.9276, 675.9559, 13.63744, 733.493, 283.8506, 3.09778e-05, 149.2928, 543.8512, 710.8374, 1070.033, 323.2034, 462.2923, 197.8294, 195.1552, 2071.089, 256.7405, 0.02374046, 0.0149868, 0.01934716, 243.9131, 1325.798, 289.2039, 1999.529
352.1, 191.6679, 223.0766, 680.1307, 527.7416, 0.0007109111, 181.5036, 2.624568, 271.4727, 19.34509, 629.003, 1085.942, 427.4417, 0.008905166, 0.002614961, 1243.703, 233.3238, 0.1226971, 1240.749, 100.5283, 405.0939, 647.2622, 13.00388, 701.6959, 272.0341, 2.970826e-05, 142.3069, 624.0962, 758.1474, 1017.778, 360.1383, 441.2942, 231.2662, 186.7502, 2100.873, 246.0389, 0.02271984, 0.01437581, 0.01852242, 273.7853, 1440.415, 302.563, 2054.598
352.2, 183.1092, 213.3964, 648.342, 503.2565, 0.0006789754, 173.6747, 2.498914, 258.2925, 18.47164, 707.7211, 1141.637, 407.2455, 0.008502964, 0.002494296, 1267.34, 244.3502, 0.1169892, 1182.159, 414.3851, 388.0121, 619.7865, 12.39976, 671.2772, 276.5801, 2.849075e-05, 135.6478, 654.6246, 726.0685, 1119.917, 383.3399, 421.2499, 236.3432, 178.7073, 2121.423, 235.7834, 0.02174309, 134.1241, 0.01773285, 261.4673, 1372.047, 288.7055, 2028.344
352.3, 174.9327, 204.1363, 618.039, 603.6669, 0.0006484744, 235.8423, 2.379277, 245.7522, 17.63762, 672.5669, 1111.91, 388.0034, 0.008118927, 0.002379198, 1208.904, 234.2473, 0.1115468, 1166.073, 394.1452, 615.8193, 593.4771, 11.8237, 750.0881, 340.8234, 2.732313e-05, 129.3003, 626.9167, 695.347, 1133.545, 410.8151, 431.028, 317.4312, 171.0107, 2143.464, 225.9553, 0.02080834, 176.6032, 0.01697693, 249.7034, 1306.924, 370.049, 2056.626
352.4, 184.7297, 195.2781, 673.3874, 659.143, 0.0006193435, 225.6695, 2.265366, 233.8207, 168.7518, 639.1589, 1143.203, 369.6706, 0.007752236, 0.002269412, 1206.152, 243.7005, 0.1063576, 1136.742, 374.8939, 624.8041, 568.2845, 11.2744, 730.3133, 326.6351, 2.620336e-05, 123.2498, 640.3128, 665.9254, 1078.188, 391.692, 503.3333, 326.682, 163.6456, 2211.756, 216.5369, 0.01991377, 169.4034, 0.01625324, 238.4689, 1244.893, 353.1006, 2121.807
352.5, 244.7347, 186.8042, 682.6933, 732.7712, 0.0005915212, 266.7069, 2.15691, 222.4686, 245.3233, 607.4103, 1290.165, 524.3182, 0.007402106, 0.002164691, 1150.536, 277.8146, 0.1014099, 1083.063, 356.5829, 598.4578, 596.3818, 10.75063, 776.8682, 313.0376, 2.512949e-05, 117.4825, 613.2107, 637.7487, 1025.534, 373.4592, 480.4711, 310.5725, 156.5977, 2119.658, 207.511, 0.01905766, 217.5045, 0.01556039, 227.7398, 1185.805, 336.9283, 2033.377
352.6, 339.2866, 178.698, 734.4559, 730.845, 0.0005649488, 255.2029, 2.053646, 229.2628, 234.2467, 623.84, 1330.688, 522.9842, 0.00706779, 0.002064803, 1097.486, 302.2126, 0.09669224, 1145.513, 339.1662, 573.2225, 686.5866, 10.25118, 743.1908, 300.006, 2.409963e-05, 111.9851, 587.2557, 610.7642, 975.4516, 356.075, 574.4067, 295.2575, 149.8533, 2131.724, 198.8614, 0.01823835, 261.3403, 0.01489708, 217.4935, 1129.522, 321.4968, 2049.169
352.7, 339.5922, 170.9436, 700.128, 696.9367, 0.0005395701, 244.195, 1.955325, 256.3809, 223.6702, 592.8523, 1293.718, 548.8351, 0.006748573, 0.001969524, 1046.881, 363.4626, 0.09219409, 1130.463, 322.6003, 549.0512, 657.4416, 9.77494, 796.4222, 287.517, 2.311197e-05, 106.7448, 562.3994, 584.9214, 927.8149, 339.5001, 548.3162, 312.1348, 143.3995, 2077.599, 190.5723, 0.01745427, 250.6859, 0.01426205, 207.7081, 1075.911, 306.772, 1996.818
352.8, 397.692, 163.5257, 693.0649, 664.6016, 0.0005153314, 233.662, 1.861712, 272.0459, 213.5712, 658.4778, 1302.238, 756.2748, 0.006443774, 0.001878642, 998.6097, 348.4349, 0.08790519, 1093.036, 306.8434, 525.8992, 629.5338, 9.320824, 787.3125, 275.5479, 2.216478e-05, 101.7498, 538.595, 560.1722, 926.2489, 323.6967, 582.6354, 312.6679, 137.2235, 2208.353, 182.6288, 0.0167039, 240.4659, 0.01365408, 198.363, 1024.844, 292.7217, 2093.784
352.9, 379.9335, 156.4297, 660.6717, 633.7667, 0.0004921816, 264.3557, 1.772581, 258.8378, 203.9282, 766.5778, 1338.945, 720.5414, 0.006152741, 0.001791953, 1036.512, 389.1251, 0.08381581, 1092.673, 291.8562, 503.7234, 602.8106, 8.887804, 753.1823, 330.7802, 2.125642e-05, 200.5372, 559.2208, 536.4701, 936.89, 308.6289, 556.1711, 297.2495, 131.3136, 2143.305, 175.0163, 0.01598578, 230.6626, 0.01307204, 189.4384, 1105.382, 279.3148, 2059.339
353, 362.9681, 149.6416, 659.8168, 686.9935, 0.0004700717, 267.1535, 1.687717, 246.2711, 194.7206, 728.5001, 1301.233, 686.4964, 0.005874852, 0.001709265, 988.7191, 376.4759, 0.07991668, 1123.033, 277.601, 523.02, 577.2218, 8.474901, 735.8895, 317.0101, 2.038528e-05, 191.1533, 535.5511, 513.7709, 963.2745, 294.2625, 530.9089, 323.5837, 125.6582, 2111.133, 167.7212, 0.01529854, 221.2589, 0.0125148, 297.6817, 1052.917, 266.5221, 2072.916
353.1, 346.7602, 143.148, 732.1917, 660.7186, 0.0004489551, 255.6302, 1.606916, 234.3144, 242.4004, 751.7901, 1294.989, 654.06, 0.005609515, 0.001630392, 977.9904, 430.5967, 0.07619893, 1070.002, 438.1453, 500.9656, 552.7192, 171.6313, 703.9885, 303.8132, 1.954985e-05, 241.7608, 643.892, 492.0321, 1024.579, 280.5649, 506.7942, 307.627, 120.2463, 2074.74, 160.7301, 0.01464084, 212.2386, 0.01198132, 284.2886, 1077.033, 254.3152, 2030.044
353.2, 331.276, 136.9363, 697.9696, 701.1844, 0.0004287871, 244.6039, 1.529983, 222.9383, 231.4558, 1003.072, 1236.077, 623.1562, 0.005356161, 0.001555159, 1060.172, 438.4841, 0.07265413, 1019.475, 416.7449, 649.921, 529.2568, 292.5048, 673.4704, 291.1657, 1.874865e-05, 335.3364, 722.7666, 745.6207, 1108.73, 393.0121, 517.1219, 292.4572, 115.0675, 2072.286, 154.0305, 0.01401142, 203.586, 0.01147058, 271.498, 1050.932, 242.6674, 1978.888
353.3, 316.4833, 210.7508, 747.7371, 668.6522, 236.4701, 234.0532, 1.456734, 212.1144, 221.0052, 1066.283, 1179.846, 593.7126, 0.00511425, 0.001483397, 1117.671, 476.9128, 0.06927424, 971.3341, 396.3897, 716.4018, 560.4247, 456.6823, 714.9442, 416.5535, 1.798029e-05, 337.9499, 706.507, 846.9898, 1255.811, 374.7177, 550.5069, 377.751, 114.513, 1985.996, 147.6101, 0.01340906, 195.2862, 0.01098161, 259.2829, 1001.051, 231.5531, 1937.626
353.4, 302.3511, 201.6055, 712.7885, 650.0052, 225.8474, 223.9576, 1.386992, 201.8161, 211.0266, 1013.318, 1179.281, 565.6602, 0.004883265, 0.001414947, 1066.136, 515.1014, 0.06605158, 925.4664, 377.0288, 686.1931, 536.6352, 466.7616, 683.9511, 399.2127, 1.724341e-05, 322.1359, 708.2818, 865.4331, 1287.935, 485.2737, 525.502, 359.1232, 109.5811, 2045.981, 141.4573, 0.01283259, 187.3248, 0.01051348, 247.6174, 1034.149, 220.9478, 1986.289
