 , C000, C003, C005, C009, C010, C012, C014, C015, C023, C024, C027, C030, C033, C035, C037, C041, C043, C044, C047, C049, C050, C055, C057, C058, C059, C063, C068, C069, C074, C075, C082
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
57.2, 284.3977, 1499.193, 69.85104, 282.8852, 218.7232, 218.382, 1439.674, 193.2773, 0.1800481, 0.4660193, 945.234, 0.0634426, 527.6681, 667.0371, 1639.267, 1187.51, 0.1356993, 553.8364, 2186.986, 150.0866, 719.3416, 1.981718, 387.0301, 1047.117, 288.7346, 200.6619, 3500.396, 0.1910723, 0.4396904, 565.3503, 896.7859
57.3, 271.5345, 1495.471, 66.06748, 269.6093, 208.6818, 207.4793, 1377.055, 182.9285, 0.1684214, 0.4416952, 915.8198, 0.0602809, 503.6968, 728.2678, 1565.935, 1129.582, 0.1289698, 527.4649, 2208.438, 143.7161, 817.3663, 1.876359, 367.4241, 1079.796, 273.5161, 292.9867, 3593.101, 0.1815006, 0.4117127, 537.7421, 854.1608
57.4, 259.2532, 1519.503, 62.48886, 256.9564, 199.1015, 197.1209, 1488.043, 173.1337, 0.1575455, 0.4186407, 887.4036, 0.05727678, 480.8145, 709.2314, 1586.411, 1074.48, 0.1225741, 502.3492, 2392.705, 137.616, 783.2941, 1.776601, 348.8112, 1030.223, 259.0998, 277.2796, 3534.478, 0.1724084, 0.3855153, 511.4822, 830.1422
57.5, 247.5273, 1455.564, 59.10409, 244.8973, 189.961, 187.2797, 1423.321, 268.0363, 0.1473719, 0.3967895, 850.2286, 0.05442236, 458.9716, 793.0007, 1505.37, 1022.065, 0.1164956, 478.4293, 2294.866, 131.7747, 750.6423, 1.682148, 564.5795, 985.8479, 245.4432, 262.4146, 3386.558, 0.1637717, 0.3609848, 491.0862, 859.7845
57.6, 236.3318, 1428.337, 55.90265, 233.4042, 181.2401, 214.2316, 1445.79, 253.6846, 0.1378553, 0.3760788, 836.7499, 0.0517102, 438.1212, 755.4641, 1464.919, 972.2076, 0.1107185, 455.6485, 2345.492, 126.1814, 719.3515, 1.592716, 535.9792, 940.5886, 232.5065, 248.3464, 3348.886, 0.1555676, 34.54723, 513.4711, 818.9181
57.7, 225.6426, 1447.199, 52.87463, 331.7787, 172.9196, 203.5362, 1382.905, 240.1012, 0.1289532, 0.3564492, 827.705, 0.0491332, 418.2179, 719.7042, 1434.616, 924.782, 0.1052279, 433.9523, 2328.958, 182.4112, 689.3651, 1.508038, 508.8278, 897.407, 220.2516, 235.0325, 3380.549, 0.1477746, 32.34898, 585.8969, 813.5539
57.8, 215.4369, 1437.815, 50.01062, 316.2082, 164.981, 193.3747, 1425.989, 227.2452, 0.120626, 0.3378442, 829.1829, 0.04668463, 399.2188, 685.6371, 1361.33, 1086.16, 0.1000096, 413.2893, 2233.726, 174.6686, 812.4557, 1.427863, 483.0518, 856.2079, 208.6427, 266.1796, 3239.072, 0.1403719, 30.2906, 561.3819, 774.8848
57.9, 205.6928, 1496.254, 47.30174, 301.3684, 157.407, 183.7205, 1363.966, 215.0775, 0.1128365, 0.3202102, 794.447, 0.04435808, 381.0827, 653.1825, 1420.556, 1033.176, 0.09505001, 435.4955, 2390.467, 263.5987, 871.9102, 1.35195, 458.5815, 918.7783, 197.6457, 260.4423, 3235.967, 0.13334, 28.3632, 533.9675, 868.8785
58, 196.3895, 1436.557, 44.73959, 382.657, 150.1806, 211.0082, 1470.334, 343.8311, 0.10555, 0.3034966, 819.2336, 0.04214747, 363.7706, 622.2642, 1407.86, 982.7762, 0.09033641, 495.3265, 2417.152, 252.41, 917.8639, 1.280073, 466.1434, 884.4965, 187.2282, 405.4616, 3249.607, 0.1266604, 26.55844, 507.8919, 1319.86
58.1, 187.5069, 1556.156, 42.31622, 364.6988, 143.286, 200.4737, 1445.587, 325.421, 0.09873406, 0.2876554, 864.6461, 0.04004703, 347.245, 749.3587, 1523.082, 1003.169, 0.08585656, 471.741, 2533.862, 241.6963, 879.6024, 1.212017, 492.7618, 956.0831, 213.2465, 383.7247, 3281.592, 0.1203154, 24.86852, 483.0897, 1651.368
58.2, 179.026, 1511.684, 40.02412, 347.5833, 187.945, 190.4651, 1408.102, 307.9966, 0.09235825, 0.2726411, 828.4245, 0.03805127, 331.4701, 713.8879, 1788.294, 1030.975, 0.08159888, 449.2786, 2581.319, 288.4661, 842.9359, 1.14758, 467.7996, 912.1902, 202.0068, 363.1531, 3245.125, 0.1142882, 23.28613, 459.4986, 1661.429
