 , C000, C001, C002, C003, C004, C005, C006, C007, C008, C009, C010, C011, C012, C016, C017, C018, C019, C022, C023, C024, C026, C027, C028, C030, C032, C037, C038, C041, C043, C044, C047, C048, C052, C053, C054, C056, C060, C061, C063, C064, C067, C068, C072, C074, C076, C080, C085, C089, C091, C094, C095, C100, C105
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
137.1, 221.5008, 326.3364, 501.1164, 1069.022, 284.37, 613.5176, 422.8706, 233.7001, 539.1163, 73.27182, 342.1296, 333.3773, 1209.818, 656.1255, 359.1926, 632.4037, 310.9611, 525.2548, 1064.382, 195.9596, 913.2249, 1843.028, 1190.636, 608.6226, 546.9125, 847.6429, 1117.035, 1012.344, 1063.579, 701.1153, 870.6469, 331.4697, 502.2626, 1604.388, 890.4097, 100.9925, 11.79644, 1478.624, 916.0891, 1178.022, 419.1352, 3276.657, 1302.478, 470.4311, 1475.773, 1004.472, 1754.362, 1647.656, 1153.072, 1264.697, 105.2695, 753.0953, 1555.991
137.2, 350.1004, 307.8163, 473.3549, 1020.014, 269.4846, 582.5719, 398.6255, 357.8032, 512.4033, 69.55257, 321.3509, 309.1324, 1171.544, 625.9351, 341.4084, 602.7535, 481.6198, 498.6474, 1018.313, 185.892, 905.8209, 1747.063, 1140.225, 577.7452, 670.9464, 812.0383, 1153.902, 1018.551, 1029.479, 670.2313, 884.8847, 314.1758, 564.164, 1689.083, 929.0994, 96.26447, 11.22586, 1512.884, 864.8668, 1124.295, 511.8636, 3190.615, 1236.009, 447.5767, 1588.773, 1053.803, 1679.345, 1569.294, 1099.311, 1206.768, 100.0795, 716.8976, 1731.553
137.3, 393.0815, 290.3474, 512.2344, 1016.411, 255.3783, 553.1871, 439.1716, 341.0109, 515.0104, 66.02211, 301.8342, 409.1177, 1114.483, 597.1339, 324.5047, 684.5358, 458.945, 473.3878, 1089.393, 176.3417, 863.4899, 1656.094, 1091.949, 691.434, 953.6868, 777.9292, 1097.468, 970.8603, 983.0077, 640.7078, 918.4677, 297.7841, 606.1972, 1834.299, 889.2599, 91.75775, 10.68288, 1583.661, 816.5086, 1169.674, 596.8772, 3081.079, 1222.944, 425.8326, 1735.744, 1069.291, 1607.536, 1642.605, 1048.057, 1278.471, 95.14532, 682.4398, 1709.721
137.4, 689.1532, 273.8698, 543.9828, 1092.491, 242.0105, 525.2845, 413.9919, 325.0067, 489.4918, 112.4533, 283.5028, 479.8692, 1217.656, 569.658, 308.438, 769.6835, 549.215, 449.4078, 1042.241, 167.282, 843.202, 1609.461, 1079.703, 731.8012, 903.6341, 772.999, 1202.916, 1290.067, 1018.897, 612.4847, 979.3565, 282.2477, 574.6982, 1814.618, 851.1287, 87.46203, 10.16616, 1528.222, 770.8543, 1168.583, 596.2975, 3120.441, 1291.349, 405.1448, 1766.28, 1015.906, 1538.797, 1564.483, 1195.105, 1304.415, 90.45446, 649.6382, 1703.997
137.5, 766.1873, 258.3273, 513.8466, 1042.406, 229.3424, 578.2925, 390.256, 309.7536, 507.7495, 167.1101, 266.2847, 554.7126, 1274.287, 593.7417, 293.1667, 733.5969, 523.3578, 426.6425, 1121.618, 158.6877, 848.0004, 1716.526, 1055.289, 916.8475, 856.2083, 798.4786, 1179.822, 1229.663, 972.9031, 585.5049, 966.0674, 267.5219, 688.1215, 1856.501, 814.6324, 83.36741, 9.674432, 1465.608, 727.7527, 1189.378, 668.5321, 3118.234, 1225.447, 385.4622, 1677.674, 965.1851, 1472.998, 1490.076, 1214.595, 1244.668, 85.99487, 618.4132, 1630.193
137.6, 719.5722, 353.191, 568.5836, 994.6178, 217.3374, 952.1424, 481.2286, 295.2164, 772.7275, 189.7759, 250.1123, 593.6097, 1322.143, 974.1253, 278.6516, 808.9684, 498.718, 572.1221, 1139.55, 150.535, 1161.239, 1692.976, 1050.57, 870.3329, 958.3976, 862.7254, 1145.791, 1353.796, 1257.512, 797.2274, 905.4966, 335.5234, 700.1982, 2157.901, 838.1917, 79.46449, 9.20649, 1405.56, 687.0612, 1433.562, 635.5779, 3144.112, 1162.908, 366.7357, 1623.376, 916.997, 1410.013, 1535.357, 1287.874, 1187.657, 81.75513, 588.6891, 1622.794
137.7, 910.1314, 333.147, 804.9601, 949.0203, 205.9608, 1645.296, 580.8026, 590.0673, 734.4391, 180.1429, 234.9222, 1201.859, 1332.428, 929.3028, 270.4183, 982.7538, 582.225, 806.1761, 1135.241, 142.8012, 1484.747, 1873.547, 1006.09, 826.1783, 908.0977, 1049.488, 1201.416, 1330.382, 1311.063, 762.1097, 864.8217, 371.9721, 966.0813, 2105.829, 802.2502, 75.74428, 8.761182, 1347.972, 648.6448, 1734.992, 604.2482, 3314.549, 1103.562, 348.919, 1541.939, 871.2148, 1349.72, 1462.335, 1227.828, 1251.32, 77.72443, 560.3936, 1572.112
137.8, 1019.085, 397.5052, 760.366, 905.5131, 195.1797, 1745.092, 640.924, 562.3745, 718.6229, 170.9989, 220.6545, 1433.964, 1445.567, 886.5427, 257.0294, 936.6774, 603.567, 765.3383, 1142.482, 135.4646, 1539.449, 1800.297, 963.4926, 784.2637, 860.4376, 1106.901, 1142.658, 1384.77, 1311.192, 728.5389, 946.0301, 426.5413, 1111.543, 2313.821, 767.8499, 72.19824, 8.337413, 1331.968, 612.3764, 1704.313, 574.4628, 3177.435, 1047.243, 331.9679, 1513.114, 955.2459, 1292.006, 1537.316, 1170.582, 1256.879, 73.89246, 533.4582, 1665.567
137.9, 957.0833, 409.9091, 718.2424, 878.6365, 184.963, 1724.748, 631.4903, 535.9813, 683.0153, 162.3191, 207.2534, 1447.135, 1608.5, 845.7502, 289.352, 892.7612, 575.1509, 726.5692, 1093.032, 128.505, 1467.508, 1840.397, 922.699, 744.4756, 815.2789, 1060.406, 1086.774, 1319.932, 1385.953, 696.4469, 918.2368, 404.2871, 1053.785, 2743.667, 734.9247, 68.81821, 7.934141, 1277.395, 578.136, 1655.431, 546.1456, 3155.68, 993.7992, 315.8403, 1488.028, 907.554, 1381.052, 1507.234, 1116.005, 1221.497, 70.2494, 507.8174, 1593.428
138, 898.8541, 386.6462, 678.4523, 903.2642, 175.281, 1699.053, 595.2842, 510.8269, 790.1006, 154.0798, 194.6662, 1500.64, 1541.08, 806.8347, 275.0257, 850.9041, 568.2281, 689.764, 1045.723, 121.903, 1473.864, 1744.569, 883.6326, 706.7061, 772.4904, 1015.865, 1069.678, 1258.13, 1367.44, 665.7686, 860.6649, 383.1941, 999.0286, 2667.183, 703.4113, 65.59643, 7.550375, 1304.538, 545.8101, 1715.769, 519.2242, 3025.138, 943.0825, 300.4962, 1561.173, 932.7385, 1475.292, 1491.274, 1063.972, 1260.342, 66.78596, 483.4091, 1524.413
