 , C002, C003, C005, C007, C009, C013, C014, C016, C017, C021, C022, C024, C026, C028, C030, C034, C035, C040, C049, C050, C058, C060, C061, C062, C064, C078, C097, C108
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
7.5, 452.8068, 908.4362, 0, 0, 136.6408, 1079.049, 191.8019, 800.2896, 388.258, 784.1818, 320.7809, 39.00515, 14.4864, 1157.415, 154.9118, 838.9124, 288.1488, 264.4579, 415.1158, 61.0667, 20.5668, 211.452, 117.8541, 1022.394, 598.6078, 720.758, 636.3732, 132.0196
7.6, 430.8971, 868.5556, 0, 0, 130.6761, 1028.836, 207.4274, 1106.649, 425.8703, 818.7255, 306.6532, 37.27551, 13.80872, 1105.36, 148.4234, 884.6367, 378.4777, 250.4425, 393.5074, 58.52059, 19.576, 202.1755, 112.7877, 971.9426, 569.7264, 860.7084, 608.6132, 125.9435
7.7, 410.0476, 830.4258, 0, 0, 124.9717, 999.5574, 247.3549, 1046.692, 424.5263, 769.2682, 293.1477, 35.62257, 13.16275, 1270.127, 142.2067, 843.33, 357.3815, 257.5909, 373.0238, 56.08064, 18.63293, 193.3059, 107.9391, 1044.403, 759.3141, 914.1848, 779.5012, 120.147
7.8, 390.2068, 793.9699, 0, 0, 119.5163, 1120.96, 236.1275, 1115.659, 405.3221, 727.7634, 280.2369, 34.04293, 12.54699, 1213.004, 136.2504, 836.8593, 534.8207, 330.9761, 353.6065, 53.74242, 17.7353, 184.8254, 103.2989, 992.866, 722.6791, 874.4012, 745.4977, 114.6173
7.9, 443.8077, 813.6172, 0, 0, 114.2991, 1268.709, 275.5081, 1120.426, 386.9866, 789.6323, 267.8948, 32.53334, 11.96004, 1158.449, 130.5437, 873.4341, 505.0101, 384.5114, 335.1999, 51.50169, 16.88091, 176.7169, 98.85812, 987.8922, 687.8117, 836.3489, 759.1413, 109.342
8, 422.3335, 777.8992, 0, 0, 109.3096, 1209.671, 263.0029, 1214.307, 426.3176, 841.8942, 256.0962, 31.09068, 11.40055, 1292.871, 202.0459, 832.6506, 563.3624, 364.1335, 423.8217, 49.35439, 16.06767, 168.9642, 94.6083, 1139.174, 654.6265, 799.9526, 726.0259, 104.3096
8.1, 401.8983, 796.5593, 0, 0, 104.5379, 1153.381, 251.0653, 1148.517, 407.0323, 819.496, 244.8173, 29.712, 10.86723, 1293.259, 193.5833, 793.7713, 580.6173, 344.8355, 401.7601, 47.29661, 28.60581, 161.5516, 90.54118, 1141.175, 623.0424, 765.1402, 694.3552, 99.50881
8.199999999999999, 382.4519, 761.5901, 0, 0, 99.97456, 1099.709, 293.5295, 1225.223, 388.6195, 867.162, 234.0351, 28.39446, 10.35886, 1235.095, 185.4751, 756.7075, 579.0349, 346.1636, 380.847, 45.32463, 27.22774, 154.4642, 86.64888, 1084.863, 646.1819, 731.8427, 775.7359, 94.92896
8.300000000000001, 363.9464, 728.1561, 0, 0, 95.61038, 1103.462, 291.7279, 1158.842, 371.0396, 829.1668, 223.7278, 27.13534, 9.874266, 1179.547, 177.7066, 749.0565, 584.6626, 327.818, 361.0224, 43.43487, 25.91605, 147.6877, 82.92392, 1094.769, 637.689, 699.9943, 866.0738, 90.55988
8.4, 346.3364, 696.1899, 0, 0, 140.6475, 1052.114, 278.4865, 1096.057, 354.255, 910.7264, 213.8745, 25.93205, 9.412345, 1217.103, 170.2634, 753.8479, 552.0738, 310.4447, 342.2298, 41.6239, 40.60688, 141.2086, 79.35909, 1040.746, 668.7432, 815.902, 828.2939, 86.3919
8.5, 378.2409, 665.627, 0, 0, 236.0894, 1093.242, 431.2904, 1036.673, 354.262, 855.7115, 310.8273, 50.5809, 8.972034, 1162.364, 163.132, 784.3517, 908.8114, 500.595, 341.6834, 39.88844, 38.65067, 135.0136, 75.94752, 989.3897, 636.478, 780.3955, 792.162, 82.41574
