 , C000, C005, C006, C008, C011, C014, C015, C016, C018, C019, C020, C022, C023, C025, C028, C030, C032, C033, C035, C037, C038, C040, C041, C043, C044, C045, C047, C049, C053, C055, C056, C057, C061, C062, C067, C069
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
116.8, 79.81075, 241.5935, 351.4048, 2.65895, 442.3629, 243.1245, 776.2783, 544.1078, 177.6115, 23.10591, 217.0005, 302.8323, 1630.117, 1155.315, 0.02250708, 244.302, 246.2718, 358.8822, 360.886, 597.567, 1101.429, 477.4363, 128.7699, 487.8369, 732.3007, 278.7202, 291.9517, 10.56582, 877.0051, 942.3492, 180.3304, 3.741997, 916.382, 420.0152, 482.246, 1.441749
116.9, 76.32272, 231.3219, 336.5836, 2.54323, 423.9427, 232.9211, 782.3643, 664.6357, 170.1895, 22.02046, 207.6244, 289.3281, 1613.75, 1207.812, 0.02153535, 234.1841, 234.7884, 342.9752, 346.1338, 569.3055, 1088.453, 457.6927, 123.5602, 467.5878, 695.9119, 265.9843, 280.0405, 10.07019, 890.8627, 1033.836, 172.1154, 3.58698, 877.4069, 673.1407, 460.1344, 1.380158
117, 72.98713, 303.8328, 322.3875, 2.432545, 406.2895, 223.1458, 747.228, 636.6988, 163.0777, 20.986, 198.6534, 297.9746, 1618.398, 1157.902, 0.02060557, 224.4851, 223.8405, 472.3826, 398.8206, 542.3806, 1127.656, 438.7656, 118.5613, 448.1792, 661.3313, 253.8303, 268.6153, 9.597816, 909.9196, 990.709, 164.2746, 3.438385, 888.2255, 643.6241, 439.0367, 1.321199
117.1, 69.79732, 301.8107, 348.8819, 2.326678, 410.5743, 213.7808, 713.6697, 609.9361, 156.263, 20.00014, 190.0701, 284.687, 1546.936, 1110.055, 0.01971593, 215.1879, 253.6142, 451.4448, 382.5177, 516.7291, 1074.246, 420.6212, 113.7647, 429.5762, 751.915, 242.2316, 257.6562, 9.147597, 867.5878, 949.3814, 310.6036, 3.295945, 850.4479, 615.4017, 418.9063, 1.264758
117.2, 66.74691, 288.979, 334.1671, 2.225418, 420.0576, 204.8088, 704.8611, 584.2983, 149.7332, 19.06059, 181.8576, 308.2306, 1478.629, 1174.391, 0.0188647, 206.2757, 241.7885, 431.4351, 366.8813, 492.2908, 1107.312, 403.2271, 109.1621, 411.7453, 714.5516, 231.163, 247.1443, 8.718498, 848.5746, 909.7778, 296.4539, 3.159406, 902.2936, 588.4169, 399.699, 1.210728
117.3, 63.82982, 276.6928, 333.4113, 2.128565, 402.5662, 196.2134, 679.0413, 559.7382, 143.4762, 18.16518, 174, 294.4856, 1413.339, 1125.862, 0.01805022, 197.7326, 230.5141, 436.5525, 351.884, 612.5169, 1054.865, 386.5523, 104.7457, 394.6546, 679.0449, 220.6001, 237.0612, 8.309527, 944.3495, 871.8262, 282.9489, 3.028524, 863.9177, 562.6154, 381.3723, 1.159006
117.4, 61.04021, 264.929, 319.3491, 2.035927, 438.1519, 187.9787, 723.7068, 536.2104, 137.4806, 17.31183, 166.4818, 332.7025, 1488.653, 1143.885, 0.01727091, 189.5434, 230.9754, 417.2028, 337.4998, 583.5484, 1070.223, 439.5753, 100.508, 378.2733, 645.3024, 210.5199, 227.3895, 7.919741, 924.0128, 835.4578, 270.0591, 2.903063, 827.174, 537.9452, 363.8859, 1.109494
117.5, 102.9181, 253.6654, 373.6855, 1.947321, 419.907, 180.0896, 731.0182, 513.6716, 131.7356, 16.49858, 159.2885, 345.1436, 1422.92, 1188.977, 0.01652525, 181.6933, 342.7413, 440.573, 323.7036, 657.3651, 1129.841, 431.9508, 96.44176, 362.572, 665.3762, 200.9003, 218.1123, 7.548239, 947.2026, 800.6065, 257.7565, 2.7828, 791.993, 514.3568, 347.2013, 1.062097
117.6, 98.42014, 242.8806, 357.9246, 1.862571, 428.1761, 172.5315, 726.9027, 492.0802, 126.2307, 15.72352, 152.4061, 329.7525, 1432.997, 1139.846, 0.01581177, 174.1683, 326.7596, 453.804, 310.4713, 626.2755, 1076.328, 435.4299, 92.54001, 347.5223, 722.838, 191.7203, 209.2137, 7.194163, 903.1364, 767.209, 246.0143, 2.667519, 758.3084, 491.8027, 331.2817, 1.016725
117.7, 148.8762, 232.5544, 342.8285, 11.09953, 442.1843, 165.2907, 694.2572, 471.3964, 120.9558, 14.98487, 145.821, 373.5504, 1392.476, 1092.744, 0.01512911, 166.955, 331.7517, 433.6897, 297.78, 596.6562, 1121.751, 489.0118, 88.79611, 333.0974, 686.9194, 182.9597, 200.6781, 6.856697, 861.1202, 735.2048, 234.807, 2.557014, 726.0564, 470.2375, 316.092, 0.9732907
