 , C001, C002, C003, C004, C005, C006, C008, C009, C010, C011, C012, C013, C014, C015, C016, C017, C018, C019, C020, C024, C025, C026, C027, C028, C029, C030, C031, C032, C034, C036, C037, C038, C039, C041, C045, C046, C048, C049, C053, C055, C057, C061, C064, C068, C072, C073, C074, C075, C079, C084, C085, C086, C087, C095, C105, C106, C107, C108, C114, C116, C122, C126, C140
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
176.6, 457.8094, 121.8875, 602.9791, 606.1677, 459.6014, 294.9206, 2808.857, 1907.574, 103.576, 370.142, 161.9768, 497.5682, 218.7315, 968.9772, 1181.946, 4.052282, 403.5463, 1623.617, 747.7925, 328.5099, 847.1353, 3.466923, 936.3955, 231.3244, 970.2645, 2861.403, 764.2986, 0.03718553, 1595.365, 2575.148, 2523.313, 1538.734, 946.9831, 714.0866, 953.6751, 141.298, 633.6736, 313.6898, 697.8693, 307.1034, 1138.154, 378.4831, 328.4581, 1455.064, 1331.472, 580.1619, 17.00444, 288.2235, 1211.606, 179.9279, 525.8027, 3523.934, 2475.74, 933.5208, 1116.449, 1511.568, 4461.115, 930.8833, 816.0905, 0.9034066, 662.8961, 465.2803, 2718.71
176.7, 433.711, 116.4305, 577.0712, 575.1123, 437.4337, 380.5107, 2850.925, 1943.33, 97.76446, 354.6252, 153.1659, 577.5219, 206.6672, 926.7202, 1145.041, 3.870108, 413.8123, 1570.868, 707.0677, 311.5132, 1125.743, 3.30506, 930.8208, 221.3243, 1016.365, 2873.957, 727.6483, 0.0352613, 1575.422, 2505.295, 2412.936, 1605.083, 903.8969, 804.0691, 911.7823, 132.6036, 603.8617, 300.1243, 660.4434, 293.1009, 1135.556, 429.4593, 313.5257, 1556.906, 1274.392, 553.0568, 16.18605, 274.9619, 1155.208, 170.7835, 499.5944, 3467.218, 2480.797, 891.9487, 1203.065, 1465.052, 4361.092, 882.3356, 952.489, 0.8635041, 631.0789, 436.0065, 2658.017
176.8, 410.8812, 111.2178, 594.4424, 556.9061, 430.2963, 448.7346, 3045.566, 1848.513, 92.27898, 339.7589, 144.8342, 540.6743, 195.2682, 886.3059, 1237.38, 3.696124, 393.9355, 1594.581, 782.0331, 295.3958, 1143.877, 3.150753, 870.688, 211.7565, 964.871, 2810.251, 692.7555, 0.03343664, 1493.232, 2701.663, 2429.032, 1535.45, 928.9807, 785.5741, 871.7297, 124.4443, 575.4523, 287.1454, 700.8279, 279.7368, 1088.183, 402.4721, 299.2722, 1483.648, 1219.76, 527.218, 15.40705, 388.5857, 1143.898, 162.1038, 474.6924, 3540.182, 2371.913, 852.228, 1139.011, 1446.79, 4402.486, 836.3198, 906.3673, 0.825364, 600.7888, 408.5746, 2816.173
176.9, 389.2531, 106.2385, 578.6118, 528.3746, 409.542, 425.1534, 2909.323, 1948.065, 87.10128, 325.5157, 136.9558, 603.9949, 184.498, 866.3669, 1179.451, 3.529961, 375.0135, 1518.381, 782.9656, 280.1123, 1116.265, 3.003651, 814.44, 202.6023, 1000.781, 2684.813, 659.5359, 0.03170641, 1415.33, 2739.448, 2391.14, 1556.992, 886.7136, 826.0533, 833.4366, 116.787, 548.3795, 274.7278, 745.5426, 266.9821, 1256.738, 377.1809, 285.6666, 1413.836, 1167.469, 502.5864, 14.66554, 370.7061, 1090.652, 153.8653, 744.5972, 3393.06, 2448.018, 814.2761, 1078.368, 1483.805, 4362.263, 792.7039, 862.4789, 0.7889085, 571.9525, 382.8686, 2698.603
177, 368.7634, 101.4822, 553.7509, 577.3834, 389.7887, 524.1309, 2813.096, 2091.905, 82.2141, 311.8697, 129.5059, 565.4582, 174.3218, 828.5847, 1124.233, 3.371268, 357.0003, 1445.822, 740.3253, 265.6196, 1057.041, 2.863417, 761.8257, 193.8439, 972.3796, 2754.443, 627.9093, 0.0300657, 1440.242, 2720.165, 2291.814, 1559.886, 846.3695, 892.371, 860.7728, 109.6009, 522.5804, 334.821, 705.5601, 254.8089, 1204.309, 353.4789, 272.6796, 1347.309, 1117.421, 590.7496, 13.95972, 353.6493, 1039.884, 146.0455, 707.4833, 3333.469, 2340.572, 778.0142, 1020.953, 1461.46, 4411.5, 751.3625, 890.9671, 0.7540633, 602.896, 358.7799, 2612.23
177.1, 349.3523, 96.93878, 560.5085, 547.8027, 370.9882, 496.5877, 2813.656, 2116.974, 77.60113, 298.7957, 122.4612, 608.7066, 164.7069, 792.4501, 1071.6, 3.219709, 339.8524, 1448.443, 700.0071, 251.8767, 1144.539, 2.72973, 765.0928, 185.4641, 923.1143, 2631.497, 688.0189, 0.0285099, 1365.104, 2605.405, 2412.82, 1486.483, 950.1777, 953.3661, 903.3921, 102.8569, 497.995, 320.3416, 667.7217, 243.1908, 1290.185, 331.2664, 260.2831, 1283.912, 1148.873, 598.6155, 13.28787, 486.0618, 1136.631, 138.6231, 783.0413, 3213.962, 2237.842, 743.3672, 1134.724, 1412.583, 4265.516, 712.1773, 847.8245, 0.7207571, 721.9752, 336.2068, 2548.019
177.2, 330.963, 92.59878, 547.326, 590.1943, 372.0157, 470.4919, 2858.308, 2013.685, 73.24699, 433.1284, 115.7998, 714.3764, 155.6224, 757.8914, 1156.069, 3.074964, 323.5282, 1637.317, 661.8847, 238.8449, 1137.337, 2.602284, 849.6207, 177.4465, 876.345, 2776.011, 763.3737, 0.02703461, 1434.318, 2495.485, 2307.276, 1468.082, 974.993, 946.7646, 1001.892, 96.52796, 474.5663, 306.4884, 631.9126, 484.9212, 1346.232, 310.4496, 248.45, 1223.499, 1099.621, 570.6483, 12.64836, 600.8631, 1131.51, 131.5779, 744.0111, 3151.793, 2284.06, 710.2632, 1125.202, 1350.725, 4471.444, 675.0356, 895.1597, 0.688922, 753.4571, 315.0539, 2577.708
177.3, 313.5416, 88.45308, 618.3871, 559.9573, 589.0097, 445.7674, 2810.24, 2012.497, 69.13716, 519.6032, 109.5007, 786.473, 147.0388, 928.2903, 1211.947, 2.936726, 307.988, 1559.074, 625.8384, 226.4873, 1118.877, 2.480789, 794.7336, 169.7755, 948.4879, 2776.157, 726.7678, 0.02563566, 1470.329, 2555.952, 2213.877, 1398.999, 930.6323, 918.7603, 957.8809, 170.7986, 452.2397, 293.2343, 598.0239, 462.811, 1437.199, 290.941, 237.155, 1235.475, 1138.194, 543.9876, 12.03962, 573.2163, 1078.84, 124.8908, 833.5228, 3224.631, 2389.529, 678.6333, 1065.294, 1430.814, 4365.664, 639.831, 851.8141, 0.6584931, 717.2932, 295.2318, 2561.503
177.4, 297.0373, 84.49299, 608.8995, 572.8671, 683.7803, 422.3422, 2684.523, 1980.338, 65.25793, 563.827, 103.5443, 736.2937, 138.9288, 940.1414, 1155.208, 2.804703, 324.3286, 1484.57, 591.7552, 214.7691, 1166.534, 2.364966, 743.3924, 162.4362, 900.433, 2767.339, 738.0433, 0.02430909, 1393.621, 2472.274, 2305.214, 1333.166, 924.0414, 1079.815, 1002.585, 160.289, 430.9636, 326.999, 565.9526, 441.7089, 1403.481, 272.6584, 226.3734, 1269.417, 1089.4, 559.502, 11.46018, 546.8416, 1028.622, 118.5435, 791.9764, 3256.344, 2284.65, 648.412, 1128.612, 1368.158, 4460.261, 788.411, 810.5673, 0.6294082, 682.8651, 276.6569, 2606.656
177.5, 281.4018, 80.71019, 582.7372, 543.5178, 697.3074, 400.1479, 2684.027, 2114.142, 61.59636, 569.9528, 97.91184, 689.316, 131.266, 899.1418, 1257.54, 2.678615, 365.0758, 1463.357, 559.5283, 203.6571, 1104.643, 2.254551, 695.3679, 155.4141, 854.8129, 2786.766, 723.095, 0.02305118, 1320.916, 2406.708, 2204.377, 1301.037, 943.9838, 1024.412, 1031.605, 150.4261, 410.6884, 312.8579, 535.6012, 486.0712, 1344.93, 255.5246, 216.082, 1209.686, 1185.412, 533.3621, 10.90863, 521.6805, 1003.196, 112.5188, 813.0917, 3333.36, 2184.375, 619.5365, 1256.676, 1308.245, 4332.412, 799.2993, 795.4377, 0.6016079, 725.6709, 259.2507, 2497.833
