 , C000, C001, C003, C004, C005, C006, C009, C011, C012, C013, C015, C017, C018, C019, C021, C023, C024, C025, C026, C027, C028, C029, C031, C033, C034, C041, C043, C044, C045, C046, C048, C049, C052, C053, C054, C057, C062, C063, C065, C067, C068, C069, C070, C071, C072, C073, C081, C084, C086, C087, C090, C092, C096, C100, C106, C110, C118, C119, C123, C124
1, 88.73009, 97.59412, 72.92398, 162.4286, 313.3581, 243.134, 233.7548, 326.6194, 260.6216, 339.1329, 0, 94.28714, 412.5523, 195.1439, 699.4111, 236.5949, 400.3792, 417.2899, 142.0729, 204.0464, 238.3372, 349.096, 314.4973, 364.8558, 73.24652, 338.6742, 342.0392, 0, 139.4023, 46.11561, 248.8382, 168.5749, 369.0009, 179.2054, 0, 217.8513, 575.4606, 516.4802, 372.9576, 355.6655, 545.1904, 779.0459, -4.577637e-05, 166.3413, 109.2221, 254.4215, 178.5691, 145.6094, 469.6519, 0, 177.0061, 364.9378, 346.2159, 494.4354, 496.6679, 307.8271, 168.8352, 603.0023, 608.2118, 866.9513
1.1, 106.9423, 199.584, 131.2835, 155.5391, 298.9039, 232.9548, 251.5535, 312.214, 249.499, 387.025, 0, 90.29153, 391.446, 264.222, 761.4806, 226.6496, 481.7243, 450.5309, 152.3345, 195.3293, 227.6002, 332.4334, 300.4119, 417.0818, 70.24353, 324.7353, 363.6862, 0, 133.6261, 44.11176, 314.7717, 161.6891, 353.7831, 170.9464, 0, 208.3774, 551.9131, 493.9161, 387.211, 340.6042, 518.8142, 894.6255, -3.051758e-05, 210.8378, 144.9213, 243.9922, 170.6189, 388.8074, 450.1835, 0, 268.0602, 420.4413, 329.3605, 559.7439, 474.6709, 294.8696, 223.3604, 577.9662, 663.0851, 927.3585
1.2, 116.4537, 191.0189, 125.1346, 148.9419, 285.1163, 247.6497, 354.3612, 298.4438, 368.8427, 368.803, 0, 86.46526, 371.4195, 481.8556, 786.0038, 217.1223, 488.749, 509.4266, 186.3216, 186.9846, 217.3469, 473.2548, 286.9573, 399.3896, 142.1066, 311.3701, 394.0049, 0, 128.0892, 42.19499, 298.8861, 155.0846, 339.1929, 371.804, 0, 199.3155, 644.15, 501.0195, 370.257, 363.9299, 493.7142, 1009.784, -3.051758e-05, 201.5675, 138.9176, 233.9904, 163.0226, 370.0105, 493.0441, 0, 270.7545, 426.4671, 360.9071, 583.2359, 545.6207, 326.1141, 213.8139, 553.9694, 634.9762, 958.338
1.3, 111.3328, 182.8214, 192.6445, 142.6244, 271.9649, 237.2814, 339.9462, 396.9641, 353.1013, 386.6276, 0, 144.881, 352.4175, 461.9604, 797.0463, 207.9955, 467.9796, 627.3572, 178.293, 178.9963, 258.5306, 450.6659, 274.1053, 460.7524, 136.2805, 320.7477, 439.3384, 0, 122.7817, 40.36151, 371.3642, 148.7499, 325.2044, 371.6519, 0, 190.6477, 645.4544, 520.4949, 354.0452, 348.5186, 469.8284, 965.5139, -1.525879e-05, 300.7299, 133.1626, 224.3986, 155.7645, 352.1224, 472.6061, 0, 368.4814, 453.0928, 343.3365, 698.9631, 636.5959, 320.8958, 204.6754, 639.3225, 666.4453, 1023.448
1.4, 114.5771, 202.5691, 183.6217, 136.5749, 332.1211, 227.3472, 326.1176, 379.4561, 338.0318, 407.9919, 0, 138.7414, 334.3877, 543.0105, 763.3383, 199.2523, 448.0929, 804.8616, 170.6104, 171.3493, 246.8839, 429.1553, 261.829, 441.2076, 150.1749, 408.1249, 441.116, 0, 117.6942, 38.6077, 352.6225, 142.6739, 311.7928, 354.5235, 0, 182.3568, 695.8718, 550.7994, 338.5432, 425.2192, 447.0981, 961.8467, -3.051758e-05, 287.507, 127.6461, 215.2, 148.8296, 335.0991, 453.0153, 3.051758e-05, 351.9476, 449.7045, 326.6212, 681.2787, 701.0573, 413.8194, 268.0292, 675.4724, 818.2047, 1038.797
1.5, 109.5387, 193.876, 201.8904, 130.782, 316.8014, 292.3501, 472.6904, 362.7203, 373.2886, 388.7827, 0, 158.702, 317.2803, 536.6568, 817.7747, 190.8767, 429.0512, 771.058, 163.2589, 164.0291, 235.7618, 408.6714, 291.0902, 422.492, 144.0179, 391.3276, 504.2191, 0, 112.8175, 36.9301, 432.0584, 136.8461, 298.9342, 397.69, 0, 174.4265, 772.5815, 526.7359, 383.209, 441.9172, 495.4799, 1104.373, -3.051758e-05, 274.8656, 122.3581, 206.3784, 142.2034, 318.8987, 517.464, 3.051758e-05, 394.8, 478.0979, 461.6471, 664.0826, 697.7136, 396.4003, 271.7855, 647.4272, 783.5201, 995.7001
1.6, 158.6049, 185.5559, 192.4345, 125.2349, 302.1884, 280.1103, 453.4619, 346.7226, 357.3575, 465.357, 0, 193.8708, 301.0481, 514.499, 783.1902, 182.8531, 495.1561, 829.7252, 226.2507, 157.0215, 225.1408, 389.1651, 278.0532, 538.4926, 138.1134, 453.768, 539.1774, 0, 151.5344, 35.32539, 453.5811, 131.2563, 286.606, 379.3616, 0, 184.8486, 740.968, 593.3272, 366.4301, 423.2034, 512.0097, 1151.829, -3.051758e-05, 262.7801, 117.2891, 225.289, 135.8722, 303.4816, 564.3008, 3.051758e-05, 377.0853, 456.4596, 472.2411, 771.4009, 764.2255, 379.7144, 298.8156, 669.4769, 750.306, 1094.672
1.7, 151.6305, 177.5929, 183.4216, 119.923, 365.1131, 277.8315, 435.0156, 331.4305, 342.1063, 443.4469, 0, 393.4213, 375.4351, 493.2561, 878.9486, 218.5614, 574.8251, 794.8774, 226.0595, 150.3133, 277.7555, 370.59, 265.5999, 515.6503, 171.4838, 491.0601, 516.8668, 0, 166.4862, 33.79041, 538.4078, 125.8949, 388.3424, 471.0491, 0, 198.5927, 833.2047, 637.0565, 442.7155, 476.6242, 505.6941, 1125.301, -3.051758e-05, 251.2259, 112.4302, 231.863, 129.8229, 288.8098, 615.4386, 3.051758e-05, 416.6774, 535.5209, 449.2502, 790.2607, 806.5275, 363.7308, 286.044, 709.8109, 820.3187, 1114.445
1.8, 144.9628, 169.9716, 174.8307, 114.8364, 416.7195, 266.1997, 515.3656, 316.8128, 424.711, 422.5685, 0, 376.7493, 402.7963, 543.715, 866.9686, 238.2225, 550.3979, 846.6027, 282.3239, 143.8917, 265.2427, 352.9014, 313.4417, 493.7768, 164.4532, 470.8495, 632.5408, 0, 159.5877, 32.32213, 511.2359, 120.7524, 372.327, 477.4032, 0, 203.5163, 822.574, 609.2246, 423.3311, 511.3929, 541.1384, 1185.985, -3.051758e-05, 240.1797, 107.7725, 348.3924, 124.043, 274.8473, 625.2339, 3.051758e-05, 397.9811, 511.2837, 427.3785, 867.1057, 770.8069, 348.42, 273.8184, 741.6911, 785.5446, 1109.131
1.9, 138.5883, 162.6773, 188.0368, 109.9655, 397.4975, 334.0712, 494.4011, 302.8398, 406.5853, 464.7201, 0, 360.7839, 382.1891, 563.9048, 873.2556, 228.2087, 527.0089, 887.7126, 270.1586, 137.7445, 253.2936, 387.1254, 346.9289, 532.7572, 157.7109, 451.4706, 606.3671, 0, 215.4039, 30.91765, 485.4352, 115.82, 396.3365, 455.4011, 0, 194.6658, 807.6625, 582.6086, 495.1616, 506.1769, 534.0953, 1223.081, -3.051758e-05, 310.5925, 103.3078, 419.49, 118.5203, 261.5598, 663.1093, 3.051758e-05, 412.7183, 581.9322, 406.5717, 831.5734, 792.6166, 404.8385, 262.1152, 785.6729, 930.8071, 1157.517
2, 132.4941, 311.5168, 179.2297, 105.3013, 464.7604, 372.2162, 474.2894, 289.4832, 389.2331, 442.84, 0, 345.495, 362.6362, 587.5142, 869.5663, 218.6159, 611.5068, 973.9489, 321.8522, 131.8598, 395.3589, 437.6685, 331.391, 510.1582, 212.7186, 432.8894, 581.2764, 0, 206.4785, 29.5742, 568.4957, 111.0891, 460.8976, 535.4579, 0, 186.2002, 834.7521, 608.801, 473.4809, 523.3291, 508.2559, 1292.12, -3.051758e-05, 296.936, 99.02805, 402.2941, 113.2436, 248.9148, 635.6216, 4.577637e-05, 394.1996, 649.2155, 480.8719, 822.0628, 790.4279, 387.7974, 358.0067, 806.7863, 967.4857, 1157.216
2.1, 126.6679, 298.1483, 170.8352, 100.8349, 517.8226, 356.6327, 474.9806, 276.7156, 486.8711, 474.4893, 0, 330.854, 392.1232, 563.2566, 908.6183, 223.1563, 600.4571, 987.7239, 307.9837, 222.4318, 393.233, 416.7783, 316.549, 488.5177, 203.9975, 415.0729, 575.8181, 0, 197.9229, 28.28913, 642.7753, 106.5515, 544.3236, 588.5328, 0, 201.2046, 849.2594, 582.2035, 452.7495, 501.1678, 574.2441, 1235.472, -3.051758e-05, 283.88, 94.92561, 385.8032, 215.3794, 236.881, 609.2733, 3.051758e-05, 376.5119, 619.8324, 457.4608, 912.1127, 920.7585, 371.4736, 401.3904, 773.2891, 926.4731, 1164.177
2.2, 121.0978, 285.3534, 162.8339, 96.55795, 547.6052, 341.7017, 455.6589, 264.5111, 466.0925, 452.1493, 0, 316.8334, 395.9011, 540.0005, 969.5968, 213.7758, 646.9642, 995.7117, 339.1903, 212.9292, 423.4695, 534.2685, 302.3716, 467.7952, 314.7644, 397.9897, 664.5531, 0, 247.3278, 27.05989, 654.6234, 102.1992, 553.7341, 561.4091, 0, 192.4546, 837.6241, 625.5905, 432.9258, 526.4185, 592.3699, 1344.066, -3.051758e-05, 271.3981, 90.99311, 369.9882, 205.7903, 225.429, 584.0172, 3.051758e-05, 359.6179, 710.5587, 526.5714, 949.4734, 945.9846, 388.2957, 384.2348, 741.1826, 984.8375, 1152.548
2.3, 115.7727, 273.1076, 155.2073, 92.4624, 522.3459, 385.4978, 458.2047, 252.8449, 446.2007, 430.8611, 0, 303.407, 475.107, 575.661, 984.256, 264.0119, 619.4716, 994.9466, 324.5747, 203.8326, 404.3923, 523.4507, 412.7855, 513.3707, 301.8595, 456.0561, 637.0547, 0, 237.0796, 25.88407, 621.5864, 98.02462, 530.8978, 535.5354, 0, 184.0852, 917.5422, 598.2595, 413.9701, 540.8011, 563.7111, 1485.748, -3.051758e-05, 280.6135, 87.22353, 354.8216, 196.6281, 214.5307, 559.8081, 4.577637e-05, 343.4818, 678.3993, 500.9354, 964.1091, 917.183, 371.9509, 367.8124, 837.3612, 1141.242, 1165.031
2.4, 110.6818, 261.3873, 147.9379, 88.54056, 498.2518, 369.3582, 481.6786, 241.6933, 427.1579, 410.5751, 0, 290.5496, 549.054, 551.8928, 988.1964, 252.9141, 593.1471, 1024.056, 310.5888, 195.1246, 386.1746, 527.7497, 394.2981, 491.594, 289.4838, 437.2861, 610.6941, 0, 248.1767, 24.75934, 590.2167, 94.02061, 509.0033, 510.8541, 0, 214.9071, 879.9971, 592.5377, 395.8443, 538.9518, 602.9282, 1420.611, -3.051758e-05, 336.1722, 83.61011, 340.2766, 187.8738, 284.1469, 536.6025, 3.051758e-05, 375.7536, 647.6955, 476.5475, 1051.64, 889.3237, 569.059, 352.0919, 802.5945, 1162.095, 1197.471
2.5, 105.8147, 250.17, 141.009, 84.78506, 475.269, 444.9805, 462.0845, 231.0335, 408.9277, 391.2443, 0, 278.237, 520.9641, 529.106, 1060.121, 242.2827, 645.7736, 1063.613, 297.2056, 292.8579, 442.6807, 502.5598, 400.5736, 470.741, 277.6154, 419.2886, 641.1382, 0, 237.8933, 23.68348, 620.8418, 90.18014, 536.9031, 633.6923, 0, 205.5612, 966.0773, 596.8365, 378.5122, 516.1289, 573.7587, 1513.006, -3.051758e-05, 359.8317, 80.14638, 326.3279, 179.5093, 270.4099, 514.3588, 3.051758e-05, 358.8935, 688.2985, 495.6219, 1008.546, 849.9362, 545.1053, 337.0433, 873.6529, 1112.833, 1228.964
2.6, 101.1617, 239.4341, 134.4046, 81.18887, 453.3463, 426.3505, 481.0312, 220.8438, 391.4756, 433.2603, 0, 266.4462, 494.3114, 507.26, 1035.457, 232.0983, 618.3314, 1018.942, 284.399, 280.3466, 422.738, 498.2718, 382.6331, 450.7726, 266.2336, 402.0319, 648.7255, 0, 228.036, 22.65438, 704.9563, 86.49654, 514.7609, 604.4872, 0, 196.6218, 1031.946, 679.7903, 361.939, 494.2725, 546.0004, 1466.857, -3.051758e-05, 344.0103, 76.82614, 312.951, 171.5172, 317.5445, 646.7111, 3.051758e-05, 342.79, 732.8986, 471.4927, 1208.548, 947.6445, 522.1598, 322.638, 856.1577, 1156.514, 1256.014
2.7, 96.71326, 229.1589, 147.6388, 77.74521, 432.4349, 408.5006, 461.4634, 211.1035, 428.4453, 445.1967, 0, 255.1551, 469.0222, 486.316, 1014.841, 222.3419, 674.4339, 1052.363, 382.2422, 268.3698, 403.6938, 572.4, 365.4961, 500.4987, 255.3184, 385.4854, 621.882, 0, 218.5872, 21.66999, 715.3208, 82.96342, 493.5318, 576.6282, 0, 188.0711, 989.7196, 650.0914, 346.0914, 521.5825, 519.585, 1528.832, -2.288818e-05, 328.8845, 73.64346, 300.1223, 163.8809, 360.283, 619.9031, 3.051758e-05, 327.409, 699.7281, 448.5383, 1183.015, 905.6741, 500.1802, 308.8483, 893.8831, 1164.487, 1254.048
2.8, 92.46044, 219.3247, 140.7239, 74.4476, 412.488, 415.6168, 442.6916, 201.7929, 410.1602, 424.2359, 0, 244.3424, 445.0269, 531.1367, 1104.821, 225.1821, 645.7739, 1024.537, 365.7714, 256.9046, 424.9445, 574.7078, 427.886, 489.9321, 244.8507, 369.6199, 596.1492, 0, 209.5299, 20.72837, 758.6774, 79.5746, 502.745, 620.358, 0, 179.8923, 949.2211, 628.1462, 330.9377, 499.4952, 494.4475, 1540.155, -2.288818e-05, 314.4238, 70.59262, 287.8196, 156.5846, 390.9583, 626.9829, 3.051758e-05, 312.7182, 668.059, 426.7013, 1174.174, 884.1927, 479.1258, 295.648, 856.7697, 1211.773, 1339.243
2.9, 88.39463, 209.9125, 134.1329, 71.28987, 442.7471, 440.4962, 450.0128, 192.8929, 392.6555, 404.2618, 0, 233.9879, 552.7629, 554.8066, 1058.097, 215.7165, 700.6173, 1000.425, 474.7475, 309.59, 405.8009, 547.2765, 408.7222, 501.7007, 234.8122, 354.4074, 571.4812, 0, 259.2928, 19.82767, 753.5479, 76.32422, 482.0115, 591.7675, 0, 172.0692, 910.3798, 608.5573, 316.4476, 581.6337, 470.5262, 1530.117, -2.288818e-05, 300.5989, 67.66817, 342.3118, 149.6132, 413.9211, 600.9927, 4.577637e-05, 357.4949, 637.8231, 491.1223, 1173.819, 845.0325, 582.6435, 283.0118, 821.1973, 1236.915, 1317.672
3, 84.50761, 200.9042, 157.8019, 68.2661, 518.558, 422.0541, 484.9699, 184.3853, 375.8979, 385.2283, 0, 224.0722, 549.024, 590.5187, 1013.349, 206.6487, 670.8446, 1146.031, 454.2907, 335.2521, 448.566, 603.3169, 390.4168, 488.9927, 225.1853, 339.821, 547.834, 0, 248.5488, 18.96611, 727.431, 73.2066, 526.9325, 564.4946, 0, 164.5862, 978.3805, 639.6105, 302.5919, 557.0034, 447.7623, 1559.519, -2.288818e-05, 287.3818, 64.86487, 376.5019, 142.9521, 393.9101, 576.08, 3.051758e-05, 341.4542, 608.9557, 467.2121, 1230.008, 850.7853, 558.1179, 364.1339, 1034.902, 1184.481, 1406.959
3.1, 143.7294, 192.2825, 150.411, 65.37054, 651.6962, 434.8513, 465.2419, 176.2531, 359.8554, 367.0908, 0, 214.5768, 593.8663, 566.1371, 1060.62, 197.9622, 642.3371, 1097.898, 487.925, 472.7014, 443.8599, 574.5201, 372.9312, 474.5604, 215.953, 325.835, 525.1653, 0, 268.8548, 18.14198, 707.5109, 70.21632, 583.2283, 538.4788, 0, 157.4287, 938.3459, 681.6063, 289.3428, 533.4161, 426.0996, 1577.78, -3.051758e-05, 274.7459, 62.1777, 408.7145, 136.5876, 374.8665, 652.6907, 3.051758e-05, 427.2807, 631.9741, 444.4661, 1179.605, 921.3486, 605.967, 382.6307, 1050.224, 1267.963, 1372.689
3.2, 137.4091, 184.0308, 164.8513, 62.59784, 621.6354, 503.19, 507.978, 168.4795, 344.4976, 398.67, 0, 205.4837, 587.4946, 561.6417, 1112.912, 189.6408, 615.041, 1051.787, 466.9004, 452.507, 452.673, 606.8178, 409.7277, 516.8038, 207.0993, 355.8169, 630.0282, 0, 257.7146, 17.35367, 700.0031, 67.34819, 588.0817, 548.5841, 0, 150.5825, 1014.972, 651.8281, 276.6739, 581.5112, 476.4749, 1601.723, -3.051758e-05, 262.6656, 59.60186, 391.9603, 130.5065, 356.7437, 695.8802, 3.051758e-05, 408.1087, 603.3715, 519.9211, 1131.267, 919.3521, 604.8847, 366.2769, 1006.619, 1267.2, 1399.251
3.3, 131.3667, 176.1333, 157.1302, 59.94273, 592.9614, 482.123, 552.8632, 161.0487, 381.4421, 441.9399, 0, 196.7759, 591.7355, 538.4523, 1065.846, 202.0256, 588.9049, 1096.02, 446.7817, 433.1752, 459.5969, 680.0575, 391.3772, 494.8815, 198.6085, 341.1724, 603.9584, 0, 287.5702, 16.59961, 753.0964, 64.59721, 579.4986, 575.6809, 0, 144.034, 1005.002, 623.3508, 439.0356, 556.8861, 453.4232, 1574.118, -2.288818e-05, 311.1653, 57.13272, 375.8929, 232.861, 339.4969, 667.0341, 3.051758e-05, 389.7968, 626.7661, 494.6089, 1234.834, 1025.71, 579.4229, 350.6221, 1011.3, 1213.482, 1456.255
3.4, 125.5901, 168.5746, 193.2017, 57.40023, 565.61, 461.9381, 530.3734, 153.9457, 418.2835, 470.3488, 0, 188.4372, 561.462, 586.866, 1094.475, 231.8906, 563.8794, 1049.988, 427.53, 414.6694, 438.8922, 647.5978, 373.8486, 473.889, 190.4659, 327.1307, 578.9673, 0, 275.6545, 15.87831, 715.0897, 61.95861, 555.5997, 561.1785, 0, 137.7702, 1127.928, 702.5025, 419.8123, 533.3038, 431.4866, 1586.514, -2.288818e-05, 305.1297, 54.76588, 360.4842, 222.4936, 424.9405, 639.3837, 3.051758e-05, 372.3067, 648.8811, 470.5291, 1293.742, 980.2819, 657.2783, 335.6363, 1025.091, 1331.079, 1490.874
3.5, 120.0675, 161.3403, 184.1527, 54.96558, 581.7438, 442.5982, 557.7089, 147.156, 430.2889, 448.2036, 0, 180.4518, 532.7374, 562.6351, 1103.159, 237.2178, 614.7368, 1005.889, 456.8667, 396.9541, 461.2474, 616.6875, 391.6086, 527.4409, 182.657, 416.6597, 555.0104, 0, 334.5331, 15.18836, 679.0012, 59.42778, 575.7892, 566.6328, 0, 131.7789, 1081.774, 671.8114, 401.4308, 510.7201, 410.6114, 1697.91, -2.288818e-05, 316.144, 52.49709, 345.7072, 212.5877, 439.5372, 671.7654, 3.051758e-05, 355.6013, 653.6862, 447.6215, 1240.727, 1045.099, 629.6111, 321.291, 1039.066, 1406.984, 1532.89
3.6, 114.7877, 154.4165, 175.5276, 52.63419, 554.9098, 424.0681, 552.2629, 140.6657, 424.2915, 491.7273, 0, 172.8048, 505.4823, 555.076, 1077.728, 227.2463, 588.6136, 1051.439, 504.6441, 379.9957, 440.4683, 587.2525, 405.2233, 589.9597, 175.1684, 399.5112, 532.0447, 0, 320.6715, 14.52839, 644.7339, 57.00034, 592.8925, 540.5183, 0, 126.0481, 1100.179, 642.4611, 427.1885, 528.7469, 456.6958, 1701.885, -1.525879e-05, 302.2434, 154.9395, 331.5358, 203.1229, 443.499, 761.1201, 3.051758e-05, 339.6455, 624.1008, 425.8291, 1302.296, 1058.572, 603.1085, 345.988, 1033.798, 1347.341, 1547.84
3.7, 109.7401, 147.7898, 167.3065, 50.40169, 529.3136, 406.3137, 558.2625, 134.4617, 406.1837, 535.4417, 0, 165.4819, 549.1227, 532.1577, 1032.149, 217.6939, 563.6005, 1007.28, 482.899, 418.0656, 460.7782, 559.2225, 387.0746, 564.9342, 167.9868, 383.0685, 510.0294, 0, 307.3842, 13.89709, 612.196, 54.67204, 568.4413, 515.6074, 0, 120.5665, 1073.004, 614.3931, 408.484, 538.7637, 434.601, 1643.617, -1.525879e-05, 317.6671, 148.5208, 317.9454, 231.7772, 422.0581, 792.5092, 3.051758e-05, 324.4056, 654.3331, 405.0977, 1273.141, 1061.392, 652.5168, 331.2004, 990.8751, 1411.324, 1509.033
