 , C000, C001, C002, C004, C005, C007, C008, C009, C010, C011, C013, C014, C015, C016, C017, C018, C019, C024, C025, C026, C030, C031, C032, C033, C034, C035, C036, C037, C038, C040, C041, C044, C045, C047, C048, C050, C055, C058, C066, C068, C072, C079, C091
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
259.4, 3.522474, 0.0004555698, 738.1378, 682.3193, 4.925651, 1704.38, 892.3898, 12.36116, 299.4018, 149.5639, 111.6356, 24.86473, 452.4329, 494.3229, 2157.77, 0.5091352, 986.2796, 301.1889, 778.6431, 0.02363221, 80.02012, 1288.43, 361.7992, 1085.534, 297.6938, 509.4681, 790.9401, 1205.206, 357.3529, 1146.152, 502.1556, 319.5085, 392.7117, 549.5448, 0.9659055, 488.8349, 966.4064, 600.9105, 1796.477, 1628.666, 807.0902, 1561.908, 2325.086
259.5, 3.370948, 22.87437, 753.6557, 648.6439, 4.65155, 2283.122, 853.115, 11.75867, 285.3787, 141.7082, 105.8151, 23.59626, 431.168, 566.9905, 2535.891, 0.486026, 935.3875, 286.345, 743.7119, 0.02247707, 76.66829, 1302.746, 339.0697, 1173.695, 391.179, 488.4193, 855.6341, 1169.38, 460.8105, 1099.181, 819.4667, 305.0084, 370.8879, 617.7428, 0.9241436, 467.6292, 926.4296, 573.7341, 1894.073, 1646.613, 1439.672, 1585.21, 2207.222
259.6, 3.22594, 21.83474, 836.7242, 616.6304, 4.392703, 2577.527, 815.5687, 11.18554, 272.0125, 134.2651, 100.2982, 22.39251, 554.4588, 679.8347, 2658.818, 0.4639656, 887.1213, 272.2327, 710.3477, 0.0213784, 73.45686, 1248.079, 317.7681, 1125.5, 372.9507, 468.2401, 875.6094, 1118.154, 438.6857, 1119.427, 773.2253, 291.1664, 350.2769, 801.8497, 0.8841872, 515.9042, 888.1064, 547.7867, 1831.101, 1572.852, 1882.56, 1660.531, 2241.867
259.7, 3.08717, 20.84235, 918.2097, 586.197, 4.148259, 3311.712, 883.2, 10.64035, 259.2722, 127.2129, 95.0689, 21.25017, 599.3354, 645.9423, 2665.598, 0.4429065, 841.3458, 258.8159, 740.469, 0.02033342, 70.37994, 1195.706, 297.8048, 1079.283, 355.5717, 448.8947, 836.3688, 1117.32, 417.6233, 1073.551, 802.4582, 277.9526, 330.8113, 873.6929, 0.8459584, 493.5243, 851.3685, 523.0128, 1802.237, 1502.394, 2424.455, 1626.836, 2243.228
259.8, 2.954369, 19.89507, 876.0975, 557.2656, 3.917418, 3388.013, 844.3297, 10.12173, 247.1287, 120.5312, 90.11224, 20.1661, 571.1659, 613.7396, 2551.617, 0.4228033, 797.9323, 246.0603, 736.8206, 0.01933953, 67.43192, 1391.211, 279.0957, 1034.965, 339.0026, 430.3485, 862.1202, 1068.375, 397.5721, 1029.555, 787.2844, 265.3384, 312.4274, 836.593, 0.8093825, 472.1151, 816.1504, 499.3593, 1728.966, 1435.093, 2473.291, 1693.687, 2230.545
259.9, 2.827281, 24.13904, 835.9168, 529.762, 3.699423, 3287.467, 930.7221, 9.628386, 235.5539, 114.2004, 85.41401, 19.13733, 598.055, 749.7037, 2537.277, 0.4036126, 993.5202, 233.9334, 703.7656, 0.01839421, 64.60737, 1332.832, 261.562, 992.4661, 323.2056, 486.573, 823.4841, 1021.574, 378.4836, 1125.075, 742.8591, 253.2968, 295.0652, 801.0685, 0.774388, 451.6347, 782.3891, 476.7755, 1658.675, 1370.807, 2513.671, 1616.851, 2117.474
260, 2.70566, 23.04192, 831.157, 503.6159, 3.493558, 3182.753, 889.7603, 9.159091, 224.5213, 108.2021, 80.96073, 18.16105, 618.2356, 712.3281, 2521.48, 0.3852929, 942.2545, 222.4041, 804.4511, 0.0174951, 61.90114, 1276.903, 245.1297, 951.7125, 308.1447, 492.6357, 786.5795, 976.8229, 441.6329, 1298.414, 700.9406, 241.8015, 278.6678, 767.0526, 0.7409065, 509.0928, 750.0244, 455.2131, 1591.241, 1309.4, 2675.302, 1543.502, 2171.307
260.1, 2.589271, 21.99467, 825.6028, 478.7602, 3.29915, 3205.437, 894.2974, 8.712669, 214.0054, 102.5189, 76.73964, 17.23457, 589.1777, 676.8158, 2523.781, 0.3678047, 988.7977, 211.4431, 800.0867, 0.01663994, 59.30827, 1223.321, 229.7298, 912.6324, 293.7857, 472.2823, 751.3287, 934.0325, 492.9398, 1245.203, 723.4377, 230.828, 263.1817, 734.481, 0.7088726, 487.0083, 828.7057, 434.6258, 1631.011, 1296.367, 2596.824, 1558.18, 2147.972
260.2, 2.477888, 52.15354, 787.738, 566.0743, 3.11556, 3075.946, 854.9387, 8.288007, 203.982, 97.13416, 72.73862, 16.35536, 561.4857, 643.0739, 2542.401, 0.3511103, 937.7757, 201.0222, 809.6116, 0.01582658, 56.824, 1260.805, 215.2974, 875.1571, 280.0957, 452.7698, 717.6578, 1077, 469.2725, 1248.861, 825.4294, 220.3525, 248.5562, 727.5974, 0.6782237, 465.8818, 826.6979, 414.9697, 1710.776, 1299.692, 2499.273, 1515.038, 2163.829
260.3, 2.371297, 49.78317, 843.7243, 538.136, 2.942186, 2971.851, 820.3786, 7.884042, 194.4281, 92.03227, 68.94621, 15.521, 535.0952, 611.0142, 2457.968, 0.3351736, 889.3864, 191.115, 773.291, 0.01505298, 54.44379, 1359.366, 201.7717, 1035.255, 267.0437, 487.0773, 723.8021, 1029.821, 446.7415, 1197.68, 816.4761, 210.3524, 234.7434, 696.7012, 0.6489, 445.6718, 792.5002, 396.2025, 1641.224, 1241.471, 2459.346, 1502.576, 2082.083
260.4, 2.269291, 47.52053, 843.0553, 511.5766, 2.778461, 2873.614, 877.129, 7.499767, 185.3217, 87.19836, 65.35152, 14.7292, 509.945, 580.5528, 2619.794, 0.3199604, 937.4797, 181.696, 738.5999, 0.01431719, 52.16329, 1338.213, 189.0957, 992.7443, 254.5998, 466.9536, 751.3401, 984.7089, 425.2923, 1148.597, 806.549, 422.8036, 221.6982, 667.1169, 0.6208441, 535.34, 826.015, 378.284, 1574.5, 1225.961, 2464.206, 1500.485, 2342.088
