 , C000, C001, C002, C003, C005, C007, C008, C009, C010, C011, C013, C014, C016, C017, C018, C019, C020, C022, C024, C025, C032, C036, C038, C040, C042, C043, C044, C045, C048, C051, C055, C062, C063
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
304.7, 222.5201, 356.0228, 331.194, 294.6842, 399.7648, 295.4107, 940.17, 890.7269, 530.8726, 360.7594, 557.1203, 446.0501, 1490.038, 5.628536, 250.667, 753.8935, 67.2611, 187.2297, 284.7358, 23.00381, 1196.426, 157.7878, 426.8035, 445.9044, 1999.384, 714.1149, 303.9646, 789.2477, 647.7892, 510.0584, 473.8589, 619.7349, 373.5534
304.8, 211.8846, 338.5911, 314.8051, 281.541, 380.1047, 281.1487, 898.2918, 840.8944, 502.9139, 343.1348, 528.3412, 424.659, 1633.645, 5.362869, 239.9586, 719.4188, 64.00001, 179.1576, 271.9218, 21.96063, 1146.536, 150.4888, 408.977, 421.7388, 1959.099, 681.1395, 290.134, 756.8026, 621.1953, 486.7384, 453.4663, 593.3132, 356.2372
304.9, 201.7574, 322.0129, 299.2273, 268.9841, 361.4115, 267.5752, 858.279, 821.2498, 476.4277, 326.3713, 501.0487, 404.2937, 1690.989, 5.109742, 229.7077, 686.5205, 60.89703, 171.4335, 259.6846, 20.96476, 1098.727, 143.5273, 391.895, 398.8828, 1876.066, 649.6869, 276.9327, 848.5995, 595.6932, 464.4847, 433.9514, 568.0179, 393.1174
305, 192.1142, 306.2465, 284.4203, 256.9872, 343.6375, 254.657, 972.3317, 887.1431, 451.3364, 310.4268, 475.1661, 384.9051, 1620.312, 4.868563, 219.8947, 655.1266, 57.94449, 164.0425, 247.998, 20.01405, 1052.911, 136.8879, 375.5265, 377.2654, 1876.945, 619.6866, 264.3321, 837.2928, 571.238, 443.2484, 415.2762, 543.8011, 426.6587
305.1, 182.932, 291.252, 270.346, 245.5253, 326.7377, 242.3624, 929.0209, 902.727, 427.5666, 295.2611, 450.6205, 366.4463, 1605.929, 4.638767, 210.5009, 625.1684, 55.1351, 156.9701, 236.8374, 19.10646, 1081.823, 130.5557, 359.8416, 356.8197, 1797.394, 618.7543, 252.3048, 802.8725, 547.7867, 422.983, 397.4047, 520.6168, 453.5703
305.2, 174.1886, 276.9916, 256.9682, 234.5747, 310.669, 230.6615, 887.6393, 890.8238, 405.0486, 280.8364, 427.3428, 348.8727, 1604.205, 4.419817, 201.5084, 596.5801, 52.46193, 150.2026, 226.179, 18.24002, 1114.629, 124.5163, 344.8119, 337.4819, 1721.215, 590.1824, 240.8248, 769.8672, 525.2983, 403.6441, 380.3023, 498.4208, 432.5448
305.3, 165.8631, 263.4295, 244.2524, 224.1124, 295.3906, 219.5254, 848.101, 981.5355, 383.7165, 267.1164, 405.2676, 332.1419, 1537.156, 4.211203, 192.9, 569.2992, 49.91836, 143.7269, 216.0003, 17.41287, 1100.577, 118.7564, 330.4099, 319.1922, 1688.805, 562.9299, 229.8671, 738.2187, 503.733, 385.1895, 363.936, 477.1712, 412.494
305.4, 157.9356, 284.9087, 236.0817, 214.1168, 280.8635, 208.927, 907.7344, 926.6227, 363.5079, 254.0667, 384.3328, 316.2135, 1472.909, 4.012434, 184.6594, 543.2657, 47.49811, 137.5303, 206.2796, 16.62323, 1073.511, 113.2628, 316.6095, 301.8937, 1662.629, 536.9357, 219.408, 707.8712, 483.0531, 367.5785, 348.2739, 456.8275, 393.3727
305.5, 150.3869, 270.9589, 290.7997, 204.567, 471.345, 198.8403, 867.301, 874.782, 344.3636, 241.6545, 364.4793, 301.0489, 1411.347, 3.823048, 176.7708, 518.4228, 45.19521, 131.6009, 196.9964, 15.8694, 1159.789, 108.0234, 303.3855, 385.4302, 1609.852, 512.1419, 209.4248, 678.7713, 479.9615, 350.7728, 333.2859, 437.3512, 375.1377
305.6, 143.1991, 257.6921, 281.722, 195.4432, 448.1647, 189.2405, 828.6686, 825.8416, 326.2275, 229.8487, 345.6514, 286.6116, 1485.441, 3.6426, 169.2193, 601.2878, 43.00396, 125.9272, 188.131, 15.14976, 1141.24, 103.0264, 290.7138, 502.3709, 1541.621, 488.493, 199.8959, 650.8677, 543.2552, 334.7354, 318.9429, 418.7052, 357.748
