 , C001, C002, C003, C004, C005, C009, C011, C012, C013, C014, C015, C018, C021, C022, C025, C028, C029, C030, C031, C032, C033, C034, C036, C037, C038, C041, C042, C043, C045, C047, C048, C049, C050, C051, C052, C053, C055, C056, C057, C058, C059, C060, C067, C071, C072, C074, C077, C078, C084, C085, C087, C088, C089, C090, C094, C102, C107, C129, C134, C136
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
314.1, 841.4722, 500.1544, 418.7819, 1.460973, 649.4, 1060.054, 1568.257, 733.1969, 930.9384, 1410.648, 425.6345, 444.0495, 233.8156, 417.222, 399.325, 844.1654, 173.5295, 6.549842, 781.6213, 2299.247, 1158.208, 1199.136, 349.5191, 49.87362, 1633.65, 979.0438, 924.7735, 1064.801, 349.5046, 1352.216, 775.5659, 1.614882, 426.8729, 120.256, 7.654925, 686.376, 538.8751, 1314.923, 1920.137, 246.4384, 1523.56, 964.9694, 606.7035, 300.7506, 974.042, 333.0846, 0.004869223, 849.3201, 627.2751, 1.407964, 2043.155, 1145.42, 586.5657, 822.5538, 22.02259, 1659.424, 1629.041, 844.4608, 642.8073, 1254.271
314.2, 803.425, 473.8867, 399.7175, 1.394107, 619.9747, 1011.953, 1612.111, 943.0448, 887.1236, 1352.322, 403.2239, 508.6978, 223.5542, 398.8505, 668.7826, 804.8307, 165.811, 6.267449, 748.7621, 2198.081, 1130.888, 1147.925, 410.985, 47.71454, 1700.908, 932.1027, 883.8564, 1017.77, 334.1678, 1290.623, 744.1433, 1.54471, 408.1702, 115.3175, 7.344583, 642.2249, 686.4739, 1412.847, 1864.893, 262.7457, 1525.47, 922.3106, 698.9186, 287.5966, 927.4, 318.5623, 0.004653811, 879.3036, 598.317, 1.339043, 2004.517, 1089.468, 558.3973, 783.5253, 21.09482, 1717.628, 1557.625, 797.5796, 704.3033, 1269.128
314.3, 819.5804, 448.9984, 381.5209, 1.330302, 591.8826, 966.0356, 1607.724, 964.0111, 845.371, 1341.852, 381.9933, 482.28, 213.7432, 462.5014, 639.0619, 767.3289, 158.4357, 5.997231, 717.2843, 2280.473, 1275.551, 1117.217, 545.9576, 45.64894, 1823.875, 887.4122, 844.7498, 1036.527, 319.5039, 1231.836, 713.9938, 1.477586, 390.287, 110.5818, 7.046822, 675.2789, 656.5765, 1408.583, 1776.443, 277.8366, 1466.399, 881.5376, 729.4324, 275.0179, 882.9915, 304.6731, 0.00444793, 835.4218, 631.8189, 1.273496, 1917.751, 1234.676, 531.5817, 746.3486, 20.20613, 1698.965, 1559.204, 865.5341, 670.4251, 1204.422
314.4, 782.5231, 425.4174, 364.1528, 1.269416, 565.0635, 922.2014, 1588.568, 1059.12, 805.5835, 1286.372, 361.8805, 457.2342, 204.3627, 469.2528, 610.662, 731.5745, 151.3885, 5.738664, 687.1298, 2237.407, 1342.456, 1118.321, 520.3159, 43.67275, 1835.447, 844.8645, 1008.269, 990.7444, 305.4836, 1175.727, 685.0659, 1.413379, 373.1873, 106.0406, 6.761133, 787.3618, 772.9946, 1413.412, 1692.188, 262.3946, 1523.82, 842.5671, 764.9221, 262.9893, 840.7095, 291.3895, 0.004251156, 793.7299, 664.6479, 1.211157, 1971.586, 1174.364, 506.0539, 813.8206, 19.35487, 1680.019, 1621.738, 981.5556, 638.1766, 1143.015
314.5, 747.1414, 403.0747, 347.5753, 1.211318, 580.3229, 880.3561, 1601.563, 1011.123, 767.6686, 1320.765, 342.8267, 433.4891, 195.394, 508.8388, 836.4888, 697.4861, 144.6548, 5.491244, 658.243, 2200.18, 1356.371, 1070.561, 495.8785, 41.78212, 1757.235, 840.9919, 963.6575, 946.9842, 295.7667, 1122.174, 657.3099, 1.351963, 356.8368, 101.6859, 6.487027, 801.6621, 739.3291, 1420.068, 1652.805, 292.625, 1457.725, 856.8735, 987.3351, 251.4868, 800.4522, 278.6851, 0.004063087, 861.144, 680.9014, 1.15187, 1941.403, 1116.998, 481.7519, 775.2065, 18.53948, 1709.238, 1550.643, 927.0635, 705.9685, 1255.971
314.6, 820.4371, 381.9055, 331.7524, 1.155878, 554.0275, 847.3989, 1524.847, 1063.196, 731.5381, 1344.005, 324.7761, 410.9771, 186.8188, 486.4331, 799.3152, 664.9861, 138.2206, 5.254492, 630.5707, 2221.79, 1292.256, 1024.841, 472.5888, 39.97334, 1843.078, 800.6699, 921.02, 905.1569, 282.7879, 1071.059, 637.5254, 1.293215, 341.2027, 97.50999, 6.224033, 882.5964, 707.1298, 1356.514, 1574.414, 276.361, 1394.497, 818.9933, 1012.511, 240.4875, 762.1226, 266.5345, 0.003883338, 818.1685, 683.1285, 1.095484, 1857.369, 1188.819, 458.617, 810.265, 17.75844, 1832.167, 1482.664, 1064.134, 719.5892, 1222.99
314.7, 799.2105, 361.8481, 316.6499, 25.17722, 528.9236, 863.5046, 1451.805, 1015.015, 697.1082, 1335.817, 307.676, 420.4349, 178.6199, 481.2094, 763.7936, 634.0005, 132.0726, 5.027947, 604.0616, 2163.467, 1403.692, 981.0727, 519.9374, 38.24285, 1908.735, 776.8978, 946.8224, 865.177, 354.9146, 1022.273, 611.6956, 1.23702, 326.2535, 93.50559, 5.971701, 978.5343, 676.3328, 1363.005, 1499.741, 261.0009, 1413.604, 782.7877, 1164.159, 229.9692, 725.6284, 254.9138, 0.003711541, 834.7889, 651.5919, 1.041859, 1896.397, 1178.713, 436.5931, 771.8195, 17.01031, 1871.719, 1417.666, 1005.057, 720.593, 1160.636
314.8, 763.0742, 342.8441, 302.2349, 24.02491, 504.9573, 824.3228, 1382.262, 969.0169, 664.2987, 1280.586, 291.4762, 551.6929, 170.7809, 460.0203, 729.8506, 604.4586, 126.198, 4.81117, 578.6671, 2129.553, 1455.899, 950.6656, 495.5178, 36.58728, 1913.177, 753.6682, 947.0849, 890.1376, 339.3404, 975.7097, 586.9124, 1.183266, 311.9594, 89.66565, 5.729599, 1207.772, 646.8771, 1405.303, 1481.291, 246.4946, 1408.714, 748.1827, 1227.239, 219.9109, 690.8817, 243.7996, 0.003547344, 793.1287, 663.5957, 0.9908594, 1911.373, 1224.775, 415.6268, 735.1982, 16.29369, 1788.461, 1355.517, 1072.531, 932.274, 1101.462
314.9, 781.9755, 324.8381, 288.4761, 22.92534, 605.0803, 786.9189, 1540.421, 1013.87, 633.0334, 1409.148, 276.1293, 523.0424, 163.2859, 439.7643, 697.4161, 576.2933, 120.5847, 4.603739, 554.34, 2223.676, 1483.434, 910.0655, 472.245, 35.00339, 1880.403, 763.8608, 905.1807, 958.704, 366.4903, 1008.925, 563.1332, 1.131849, 298.2914, 85.9834, 5.497313, 1148.659, 686.0321, 1342.41, 1411.035, 232.7945, 1347.611, 751.5049, 1166.014, 210.2926, 657.7989, 233.1701, 0.003390412, 753.5474, 885.2908, 0.9423559, 1886.322, 1292.151, 395.6674, 700.3146, 15.60726, 1827.973, 1408.241, 1218.117, 1017.534, 1125.676
315, 777.8005, 307.7779, 275.3436, 21.87609, 577.6631, 878.7206, 1529.091, 967.9243, 603.2396, 1350.885, 261.5905, 495.8797, 156.1199, 420.4002, 666.4229, 549.4404, 115.2211, 4.405251, 531.0357, 2161.311, 1413.313, 899.3307, 450.0653, 33.48806, 1831.271, 888.7677, 931.8973, 916.3589, 350.4081, 962.9688, 701.6375, 1.082666, 497.222, 82.45236, 5.274443, 1127.092, 656.154, 1355.915, 1415.663, 219.8559, 1289.16, 745.5908, 1221.574, 201.095, 711.7978, 441.1628, 0.003240422, 715.9415, 844.4214, 0.8962266, 1888.133, 1229.031, 376.6665, 814.5593, 14.94975, 1985.203, 1483.172, 1310.551, 1087.489, 1068.283
315.1, 849.5909, 291.6136, 262.809, 20.87487, 551.4883, 870.3376, 1558.652, 1023.104, 574.848, 1295.031, 247.8172, 470.1276, 149.2683, 401.8887, 636.8071, 523.8387, 110.0961, 4.215321, 508.7111, 2114.705, 1346.507, 860.923, 428.9273, 32.03833, 1816.293, 846.155, 924.7754, 875.8843, 335.0316, 954.2674, 703.1561, 1.03562, 475.4371, 79.06634, 5.060609, 1084.648, 627.5771, 1377.9, 1425.075, 207.6364, 1233.243, 762.1698, 1334.893, 192.2996, 685.1474, 421.9283, 0.003097067, 680.2123, 805.4387, 0.8523555, 1876.132, 1168.995, 358.578, 775.9102, 14.31994, 1896.897, 1418.151, 1555.918, 1035.179, 1013.817
