 , C000, C001, C003, C005, C006, C007, C009, C015, C016, C017, C019, C023, C024, C026, C027, C028, C030, C032, C034, C036, C039, C042, C043, C045, C048, C051, C055, C058, C059, C060, C063, C066, C067, C068, C069, C075, C079, C088, C089, C101, C107
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
74.7, 379.4417, 915.9113, 908.9894, 1428.418, 35.51762, 1033.485, 440.8619, 2131.755, 1134.152, 402.7659, 2157.052, 735.7761, 255.0869, 259.3131, 1165.064, 82.10136, 434.3137, 220.3884, 489.6861, 319.6469, 924.6187, 266.3943, 1450.539, 350.0988, 661.5442, 0.02779898, 388.2936, 767.0068, 1003.342, 224.3681, 423.353, 575.1595, 2456.469, 738.9502, 803.6151, 782.1329, 581.036, 1044.133, 563.6615, 757.068, 1306.444
74.8, 362.3041, 876.2189, 962.4667, 1366.918, 34.02259, 985.7819, 471.3462, 2152.378, 1123.809, 416.6474, 2161.004, 760.0067, 252.038, 248.7927, 1117.27, 78.78554, 416.3096, 211.0494, 489.4478, 306.6124, 886.7982, 254.8418, 1446.785, 335.6713, 680.2302, 0.02643247, 370.8117, 734.0793, 1022.42, 214.8944, 531.4958, 549.7425, 2395.409, 707.4186, 768.7357, 748.7573, 572.8474, 999.708, 571.5454, 724.7336, 1388.384
74.90000000000001, 345.9405, 838.2466, 1059.989, 1308.066, 32.5905, 1054.937, 449.6618, 2062.364, 1142.143, 398.4276, 2141.418, 731.089, 241.7505, 238.699, 1071.437, 75.60363, 399.0519, 202.1061, 467.8898, 294.1094, 850.5247, 243.7903, 1424.567, 321.8384, 648.9436, 0.02513312, 354.1169, 702.5654, 1100.221, 205.8207, 565.8102, 573.5261, 2503.824, 733.2649, 735.3702, 740.7267, 606.0335, 957.1728, 579.4529, 693.7802, 1387.914
75, 330.316, 914.1013, 1137.794, 1464.199, 31.21869, 1006.244, 428.9749, 2165.54, 1094.643, 455.566, 2054.399, 752.999, 254.363, 229.0148, 1066.831, 72.55023, 518.8138, 193.5417, 447.2814, 310.324, 921.6622, 233.218, 1364.756, 308.5755, 648.0432, 0.02389765, 338.1737, 672.4044, 1053.892, 197.1301, 542.3499, 548.1813, 2416.143, 749.5597, 703.4529, 709.118, 597.6554, 987.2243, 644.6603, 763.7602, 1328.15
75.09999999999999, 315.3972, 874.4874, 1085.436, 1401.159, 29.90462, 959.7985, 409.2398, 2089.806, 1049.118, 435.6443, 2052.319, 722.4012, 243.9806, 219.7236, 1061.583, 69.62015, 497.3068, 185.3403, 521.9148, 297.6696, 883.9627, 223.1042, 1399.238, 295.8592, 650.0802, 0.02272291, 322.9483, 643.5382, 1114.926, 188.8065, 554.2932, 527.0286, 2532.576, 717.5754, 672.921, 797.244, 612.6481, 945.2202, 617.9847, 764.5706, 1386.9
75.2, 301.1523, 871.9281, 1132.338, 1363.978, 28.64586, 1000.446, 473.0462, 2052.59, 1005.486, 416.5938, 1968.921, 753.1356, 234.0219, 210.8533, 1018.034, 66.8084, 476.6914, 220.7553, 498.9268, 314.4528, 847.8052, 213.429, 1340.49, 283.6669, 653.132, 0.02160592, 308.4084, 615.9112, 1067.978, 180.8343, 531.3104, 503.7386, 2451.507, 717.8323, 643.7142, 799.5131, 594.4387, 966.2675, 667.4329, 810.0148, 1454.455
75.3, 339.9616, 834.1418, 1118.637, 1329.743, 27.44009, 954.2681, 451.2835, 2004.471, 1059.947, 398.3764, 1998.724, 722.5322, 224.4698, 202.2989, 976.2714, 64.11021, 500.6463, 232.3255, 476.9513, 301.6301, 884.6212, 204.1734, 1311.301, 271.9771, 637.1858, 0.02054383, 294.5232, 610.7985, 1124.027, 173.1988, 569.4164, 534.0303, 2370.194, 814.7523, 615.775, 799.1542, 564.9628, 925.1551, 654.9448, 775.419, 1391.826
75.40000000000001, 324.6072, 797.993, 1067.16, 1272.492, 26.28507, 910.2216, 449.0152, 2048.769, 1015.865, 380.9556, 1917.504, 777.876, 247.5045, 248.4239, 971.828, 61.521, 479.8925, 317.0834, 455.9437, 289.3303, 912.9183, 195.3192, 1360.194, 260.769, 714.1305, 0.01953395, 281.263, 605.3405, 1076.695, 165.8856, 545.8066, 540.2, 2344.522, 779.9863, 713.0817, 896.9708, 662.2726, 885.7919, 657.4051, 778.194, 1441.497
75.5, 324.1811, 864.7366, 1018.053, 1247.329, 25.17867, 1047.034, 490.4028, 2005.533, 1015.375, 364.2966, 1844.609, 819.5991, 240.421, 238.3452, 993.5615, 59.03635, 519.076, 313.0814, 435.8615, 277.532, 951.994, 186.8489, 1372.791, 250.0227, 681.2847, 0.01857372, 268.5999, 579.3533, 1127.523, 158.8812, 553.7877, 516.3279, 2398.709, 746.7037, 730.7256, 901.2131, 629.433, 892.2884, 673.3982, 888.6992, 1379.426
75.59999999999999, 316.4713, 837.6697, 1110.663, 1193.626, 24.11884, 998.7052, 467.8417, 2014.226, 1012.466, 348.3661, 1916.776, 786.295, 264.2528, 228.6754, 952.8029, 56.65205, 497.5582, 302.572, 529.1728, 266.2148, 933.2261, 178.746, 1315.154, 239.7193, 679.8293, 0.01766069, 256.5069, 554.4818, 1080.045, 152.1726, 530.8259, 493.5108, 2408.125, 784.8095, 699.0099, 915.8095, 598.2217, 854.3236, 645.5335, 893.3696, 1320.027
