 , C001, C002, C003, C005, C007, C008, C009, C010, C011, C013, C015, C017, C018, C019, C020, C021, C022, C024, C025, C026, C028, C029, C031, C033, C036, C039, C040, C041, C042, C044, C048, C050, C052, C054, C057, C058, C061, C065, C072, C073, C100, C102, C103, C123, C132, C133, C142
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
26.7, 250.2204, 705.1759, 366.1313, 2.444341, 315.0899, 818.3665, 476.3696, 321.4608, 56.78287, 371.5171, 700.0475, 483.3433, 93.19558, 1076.908, 1775.49, 979.3042, 1287.427, 295.7582, 622.6642, 198.5479, 334.1715, 1159.216, 739.5129, 358.3174, 1.209429, 256.2451, 586.0045, 877.2787, 227.1002, 315.8398, 3.779441, 590.9086, 431.3892, 593.9573, 783.3148, 917.9321, 533.6282, 379.3864, 656.6541, 453.9098, 514.3413, 854.151, 558.0978, 942.9706, 570.1647, 836.4149, 1432.915
26.8, 238.5269, 674.7311, 350.3652, 2.340541, 300.1576, 854.0686, 472.0137, 303.8549, 53.97381, 353.6376, 818.1329, 460.5395, 89.39739, 1030.351, 1969.685, 1021.325, 1251.799, 355.8056, 597.3939, 212.1521, 422.6874, 1129.351, 730.1468, 434.1253, 1.159973, 297.5692, 561.5891, 924.4303, 217.8934, 301.4148, 3.624601, 644.5254, 594.2686, 592.267, 846.7828, 910.9133, 525.2045, 363.1366, 627.8798, 434.2451, 529.9333, 816.2158, 532.8047, 902.6248, 540.5031, 919.8905, 1365.088
26.9, 227.3797, 645.6008, 368.8229, 2.241148, 285.933, 863.9694, 519.5922, 325.6339, 51.30372, 336.6186, 981.2462, 515.9367, 139.7289, 985.8073, 1941.428, 977.4825, 1200.009, 338.8251, 573.149, 203.5074, 402.5978, 1190.801, 699.8154, 416.2659, 1.112539, 285.4384, 538.191, 931.1751, 209.0599, 398.1691, 3.476104, 648.2884, 604.6675, 563.25, 884.5823, 941.5716, 497.9385, 347.5828, 810.6104, 631.4767, 539.2915, 807.3884, 547.5478, 864.0051, 512.3845, 875.4421, 1300.472
27, 216.7536, 617.728, 374.8213, 2.145976, 272.3825, 903.0309, 492.9384, 320.9109, 48.76572, 320.4186, 938.2343, 566.1479, 169.5239, 1111.748, 1906.376, 935.5223, 1184.177, 322.655, 549.8882, 195.215, 383.4631, 1141.395, 670.744, 403.4602, 1.067046, 273.8022, 615.9078, 889.1448, 200.5845, 516.0959, 3.333691, 619.9405, 579.3148, 535.6546, 864.8102, 901.1124, 620.7292, 332.6952, 775.0899, 661.478, 515.2635, 859.5288, 706.6391, 928.2034, 539.8839, 833.1415, 1308.974
27.1, 265.3219, 591.0587, 358.681, 2.054846, 259.4742, 977.4961, 467.652, 360.9837, 46.35327, 304.9982, 897.1078, 539.4374, 162.6149, 1063.685, 1816.452, 994.1107, 1135.184, 307.2566, 527.5713, 187.2605, 365.2379, 1094.039, 642.8802, 386.8622, 1.023412, 262.6404, 590.2465, 849.0117, 192.4527, 492.5247, 3.197113, 663.4694, 641.5009, 545.9178, 827.578, 862.3917, 588.504, 318.4452, 888.6725, 632.8209, 492.3062, 821.3548, 674.6141, 923.2761, 511.7975, 869.1006, 1286.395
27.2, 252.9226, 565.5407, 343.2357, 1.967586, 247.1776, 1097.47, 443.6627, 341.2133, 44.06017, 290.32, 897.8851, 625.3361, 155.9875, 1055.805, 1762.786, 951.4368, 1200.608, 292.593, 506.1602, 179.6301, 347.8788, 1090.403, 633.8801, 370.9471, 0.9815628, 251.9336, 565.6545, 810.69, 184.6505, 470.0301, 3.06613, 634.4577, 614.6038, 703.5658, 791.9487, 825.3348, 563.9263, 304.8056, 922.2205, 605.4052, 470.3717, 784.8762, 644.0404, 899.6388, 485.1723, 845.8074, 1225.504
27.3, 241.1027, 541.1245, 469.7385, 1.884031, 235.4637, 1047.291, 420.904, 322.5256, 41.8805, 276.3482, 858.5272, 595.8331, 149.6302, 1010.16, 1685.727, 910.5946, 1150.936, 278.6293, 485.618, 287.96, 331.3448, 1195.118, 636.9892, 355.6868, 0.9414248, 241.6633, 542.087, 774.098, 177.1647, 448.5628, 2.940513, 748.0059, 588.8344, 669.0959, 808.3717, 789.8703, 534.65, 291.7502, 881.8093, 579.1773, 449.4145, 750.0176, 635.9948, 916.0135, 459.9322, 900.1602, 1254.73
27.4, 229.8352, 550.7095, 449.5109, 1.804025, 224.305, 1203.236, 399.3127, 344.5674, 114.5724, 263.0487, 894.7891, 567.7222, 143.5321, 1155.704, 1795.972, 871.5057, 1103.319, 333.8123, 465.9095, 276.2263, 315.5966, 1239.493, 610.5276, 366.5374, 0.9029282, 231.8116, 519.5015, 739.1577, 169.9823, 428.076, 2.820043, 715.2976, 668.1477, 636.3147, 785.5607, 808.5925, 512.437, 279.2541, 858.1613, 554.0857, 635.5191, 716.7073, 755.926, 876.821, 436.0051, 856.6651, 1326.741
27.5, 219.0943, 526.9335, 430.1544, 1.727416, 284.9417, 1208.934, 454.8444, 325.696, 108.9045, 250.3894, 855.567, 540.9374, 137.6824, 1105.741, 1711.256, 834.0948, 1057.671, 387.334, 447.0009, 264.9708, 353.4021, 1308.427, 585.1653, 351.4584, 0.8660057, 222.3616, 497.8569, 705.7945, 163.0912, 408.5248, 2.704508, 684.0196, 734.5521, 605.1396, 803.0556, 820.0121, 485.8337, 267.2931, 914.2607, 647.0451, 607.2038, 684.8764, 736.5725, 919.7585, 413.3228, 815.2717, 1285.801
27.6, 208.8553, 504.184, 411.6313, 1.65406, 271.4382, 1153.658, 472.9588, 307.8582, 128.0905, 238.3392, 818.0641, 631.8041, 132.0712, 1057.938, 1798.116, 798.2897, 1013.913, 368.8488, 428.8597, 254.1739, 419.1441, 1254.141, 658.3362, 336.9998, 0.830593, 213.2968, 477.1142, 737.1233, 156.4793, 389.8666, 2.593707, 654.1093, 703.7534, 575.4918, 768.482, 784.7763, 460.6116, 255.8444, 874.1982, 664.9197, 580.1501, 654.4592, 721.1772, 880.4057, 391.8206, 775.8785, 1272.724
27.7, 199.0949, 482.4167, 393.906, 1.583819, 258.5746, 1100.91, 465.7107, 415.5944, 121.7538, 226.869, 782.2052, 699.1448, 126.6886, 1012.201, 1761.918, 764.0218, 1072.722, 351.2458, 411.4547, 279.7376, 515.4558, 1240.921, 686.817, 323.136, 0.7966285, 204.6015, 487.8736, 703.8519, 150.1356, 432.8459, 2.487445, 715.7247, 674.2462, 547.2966, 735.3969, 835.0052, 436.699, 244.8862, 1126.317, 636.1135, 554.3017, 625.3929, 737.4285, 842.7368, 371.4369, 738.3887, 1405.466
27.8, 189.7905, 461.5892, 376.9438, 1.516561, 342.5374, 1243.04, 441.821, 392.833, 115.7306, 215.9508, 813.0837, 712.7761, 121.5254, 1197.325, 1727.795, 731.2248, 1028.341, 334.483, 394.7561, 300.7034, 573.7767, 1189.435, 658.2855, 309.8425, 0.7640529, 196.2607, 467.5468, 672.0823, 144.049, 566.0687, 2.385537, 734.7991, 645.9761, 520.4828, 814.5217, 799.1251, 425.4253, 394.5202, 1076.962, 608.5552, 529.605, 597.6174, 704.0081, 912.4937, 448.2379, 773.6148, 1357.061
27.9, 209.0089, 441.6609, 360.7122, 1.45216, 326.3044, 1263.607, 501.6924, 371.3182, 110.0054, 205.558, 777.4431, 679.1478, 190.197, 1145.562, 1733.86, 741.9749, 1134.21, 318.5201, 403.8158, 288.4505, 601.4299, 1171.375, 630.9393, 297.0959, 0.7328094, 188.2599, 448.0669, 641.7466, 138.2092, 540.2151, 2.287803, 720.7461, 618.8914, 613.5627, 779.4544, 827.0749, 403.3393, 377.6222, 1198.248, 582.1908, 506.0087, 571.0756, 672.1024, 975.776, 526.2938, 736.2344, 1309.62
28, 199.2413, 478.8036, 345.1794, 1.390493, 310.8407, 1334.446, 475.9569, 449.5786, 104.5634, 195.6654, 743.3647, 647.106, 182.4455, 1096.037, 1700.184, 710.1243, 1087.285, 435.9907, 454.7764, 339.5683, 617.2211, 1122.776, 689.0997, 284.8737, 0.7028434, 180.5853, 460.3549, 826.9088, 132.6061, 515.5424, 2.194074, 689.2298, 629.5378, 718.9706, 745.8969, 791.5355, 495.43, 361.4479, 1145.741, 556.9686, 483.4637, 772.431, 641.6425, 976.4784, 498.9144, 700.6601, 1352.877
28.1, 212.1924, 458.1321, 330.3156, 1.331445, 371.6052, 1273.432, 466.1293, 424.9559, 125.0314, 186.2489, 800.2258, 857.7026, 304.1365, 1112.317, 1619.987, 747.6371, 1116.859, 452.7576, 506.4316, 325.7317, 687.1707, 1113.582, 660.4734, 279.7626, 0.6741028, 173.2236, 446.9576, 789.5847, 127.2302, 491.9965, 2.104185, 683.9911, 603.1423, 683.7459, 738.0038, 757.5234, 469.7097, 518.1316, 1095.535, 532.8391, 461.9232, 761.648, 612.5631, 934.6989, 472.9594, 691.3909, 1383.623
28.2, 202.276, 438.353, 316.0917, 1.274904, 404.7814, 1410.892, 466.0259, 401.6819, 177.099, 177.2855, 765.1487, 944.1, 291.7415, 1064.229, 1561.79, 715.5435, 1070.651, 531.4042, 485.8784, 312.4589, 654.5107, 1205.406, 633.0363, 268.2534, 0.6465375, 166.1619, 428.3355, 753.9453, 164.0615, 469.5259, 2.017978, 695.3694, 668.3092, 650.247, 808.2102, 786.9965, 500.1721, 523.7068, 1074.807, 711.2271, 441.3424, 727.8212, 639.5075, 894.7069, 448.3546, 685.5178, 1480.788
28.3, 192.823, 419.4279, 302.4804, 1.220764, 449.6899, 1437.047, 442.12, 379.6824, 168.3378, 168.7536, 795.2919, 899.558, 279.8515, 1018.221, 1563.515, 684.8275, 1026.355, 506.0435, 478.2608, 299.727, 623.4031, 1178.937, 606.739, 257.2178, 0.6200994, 159.3882, 410.4893, 746.0438, 157.4104, 448.0817, 1.935303, 664.9628, 640.2881, 703.0551, 773.4147, 797.0582, 474.2057, 501.2755, 1027.71, 700.4023, 421.6786, 799.6422, 744.6653, 1035.379, 459.4979, 652.3941, 1410.696
28.4, 183.8118, 448.3539, 289.4552, 1.168924, 595.0834, 1511.902, 419.4404, 358.8879, 160.0101, 160.6322, 760.4311, 857.1174, 268.4462, 1015.021, 1525.052, 695.6355, 1073.082, 481.893, 496.026, 287.5138, 593.774, 1149.223, 593.9809, 246.6361, 0.5947424, 152.8905, 393.3866, 712.3698, 151.0289, 427.6169, 1.856016, 635.8857, 613.4418, 773.9526, 842.9062, 828.0669, 556.1082, 535.0788, 1074.265, 670.0588, 402.8908, 807.3843, 779.6857, 991.0795, 468.218, 620.871, 1343.921
28.5, 175.2217, 524.0374, 387.7217, 1.119285, 573.5549, 1487.599, 397.9242, 411.6973, 152.0944, 152.9017, 848.9857, 816.6791, 257.5056, 1028.263, 1611.334, 700.5626, 1028.685, 458.8952, 475.8951, 400.5249, 733.8271, 1144.901, 772.5874, 236.4897, 0.5704222, 146.6578, 414.9135, 907.1859, 144.9061, 408.0867, 1.779976, 608.0802, 587.7212, 887.2533, 806.617, 792.4849, 527.2379, 674.1569, 1027.191, 641.0299, 384.9402, 771.5262, 797.9812, 1039.202, 443.8599, 590.871, 1280.307
28.6, 167.033, 566.0481, 371.0259, 1.071754, 546.3738, 1453.046, 810.0083, 403.21, 268.3909, 145.5432, 925.09, 778.1488, 268.7344, 1001.395, 1638.835, 767.282, 986.126, 585.6772, 456.5812, 470.3603, 880.5306, 1097.4, 845.0729, 226.7608, 0.5470966, 140.6791, 420.2827, 1082.534, 139.0315, 389.4485, 1.707052, 711.5255, 651.787, 930.1981, 771.8901, 758.4319, 541.0287, 645.2816, 1010.248, 723.0811, 367.7893, 792.306, 865.2413, 1056.816, 504.865, 607.545, 1219.704
28.7, 193.9459, 541.6099, 355.0491, 1.026241, 520.481, 1495.335, 1039.011, 481.3926, 255.1135, 138.5388, 959.0932, 835.9588, 257.7821, 1151.649, 1561.531, 734.3451, 1094.394, 557.7263, 449.6451, 480.726, 838.6807, 1103.339, 1083.287, 217.4321, 0.5247248, 134.9442, 402.772, 1033.672, 133.3951, 371.6616, 1.637116, 680.4125, 624.4586, 1120.399, 821.4227, 855.5267, 521.5134, 617.6429, 1193.812, 902.5064, 351.4026, 809.3257, 863.2109, 1011.599, 544.6838, 578.189, 1237.308
